"","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","24.378","23.185","29.387","19.083","9.989","6.531","-8.522","-0.661","7.199","6.296","2.242","0.345","2.395","-0.281","-7.019","-0.885","6.056","1.868","18.724","7.363","-9.648","-30.384","-18.409","-7.586","-14.387","-9.927","10.16","-0.71","-14.305","0.811","-0.401","13.748","38.576","147.379","117","101.497","95.102","80.183","74.455","85.199","100.031","37.16"
"B Annualized Returns","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","13.085","9.313","10.842","2.991","6.973","2.087","-1.013","6.707","4.595","-1.782","-7.899","-3.85","-5.905","-7.647","-6.688","-2.525","-9.063","-15.71","-11.458","-16.556","-15.744","-20.653","-15.703","-16.451","-17.263","-16.464","-9.789","-13.34","-22.015","-14.514","-16.407","-1.954","10.632","90.799","70.908","62.735","54.444","43.451","45.045","55.332","59.512","10.796"
"P Volatility","12.4","12.39","11.68","10.43","9.92","12.6","10.87","14.67","15.76","16.47","17.64","17.89","16.59","19.38","19.97","19.9","23.7","25.83","22.19","18.4","17.59","22.56","30.34","36.26","36.05","38.63","41.06","40.89","40.67","42.44","45.82","47.33","48.13","35.89","29.67","27.43","28.21","29.98","32.96","31.32","32.56","15.05"
"B Volatility","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","3.36","3.39","2.33","0.91","0.42","0.129999999999999","-1.68","0.199999999999999","-0.92","-0.140000000000001","0.990000000000002","0.960000000000001","-2.06","-0.27","0.5","0.289999999999999","5.86","7.98","8.62","6.45","5.6","6.82","10.19","12.72","13.13","15.68","17.75","16.81","15.89","17.49","18.74","20.2","23.29","17.79","14.71","12.36","12.96","15.03","18.89","19.11","19.15","4.06"
"P Tracking Error","8.96","9.6","9.76","9.31","8.23","7.42","7.92","7.48","6.65","6.83","6.57","7.74","7.56","6.52","5.75","5.74","7.46","9.8","10.26","8.46","7.83","9.41","11.88","14.81","15.25","18.07","19.74","18.28","18.47","20.9","21.73","23.15","27.13","23.43","22.3","20.66","21.33","21.35","24.8","24.89","26.35","16.75"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.46","0.97","1.11","0.32","0.85","0.28","-0.13","0.9","0.69","-0.26","-1.2","-0.5","-0.78","-1.17","-1.16","-0.44","-1.21","-1.6","-1.12","-1.96","-2.01","-2.19","-1.32","-1.11","-1.13","-0.91","-0.5","-0.73","-1.19","-0.69","-0.76","-0.08","0.39","3.88","3.18","3.04","2.55","2.04","1.82","2.22","2.26","0.64"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.71","1.14","1.25","0.86","0.98","0.19","0.16","0.33","0.54","-0.03","-0.35","-0.41","-0.29","-0.58","-0.52","-0.47","-0.78","-1.37","-1.89","-1.66","-1.61","-1.34","-1.14","-1.39","-1.63","-1.73","-1.49","-1.87","-2.29","-1.82","-1.7","-1.17","-1.2","2.65","2.8","2.84","2.99","2.61","1.6","1.14","2.09","2.9"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.88","0.74","0.62","0.67","0.83","0.68","0.88","0.87","0.91","0.98","0.95","0.81","0.93","0.98","0.97","1.3","1.4","1.55","1.44","1.36","1.35","1.46","1.49","1.52","1.61","1.69","1.65","1.57","1.6","1.61","1.66","1.78","1.63","1.36","1.22","1.23","1.49","1.69","1.71","1.52","0.28"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","42.13","34.15","27.4","24.71","34.6","64.48","56.56","72.66","82.46","81.84","84.62","79.43","81.8","87.96","90.81","90.85","94.47","92.35","88.82","85.39","84.8","87.21","93.31","92.65","92.06","90.14","91.51","94.24","90.42","86.66","89.41","89.23","82.72","63.77","40.83","38.5","38.27","50.3","46.79","38.43","32.27","-6.62"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.5865","-10.3989","-10.4501","-9.791","-10.0313","-12.0184","-19.3278","-16.2452","-15.6888","-17.185","-19.1327","-18.2535","-15.4126","-18.308","-19.1748","-17.1592","-18.1975","-18.3108","-13.5904","-13.0075","-15.5165","-43.7739","-41.6374","-43.1797","-44.163","-45.2258","-47.5708","-46.8797","-48.3813","-49.7323","-49.1238","-48.4215","-42.0308","-24.3717","-26.0922","-25.6316","-9.7157","-14.4035","-14.6667","-14.7279","-14.3471","-12.8114"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.427","-0.2394","-0.290600000000001","0.368499999999999","0.1282","-1.8439","0.450399999999998","3.533","4.0894","2.5932","0.645499999999998","1.5247","4.3656","1.4702","0.603399999999997","2.4753","-1.7509","-2.5684","-6.7543","-6.1714","-2.7607","-9.8489","-7.7124","-9.2547","-10.238","-11.3008","-13.6458","-12.9547","-14.4563","-15.8073","-15.1988","-14.4965","-13.5105","-14.7672","-16.4877","-16.0271","-0.1112","-4.799","-5.0622","-7.2507","-9.1346","-7.5989"
