"","2016-03-28_to_2017-03-29_GrowthPortfolio_3QRank","2016-04-28_to_2017-04-29_GrowthPortfolio_3QRank","2016-05-31_to_2017-05-29_GrowthPortfolio_3QRank","2016-06-28_to_2017-06-29_GrowthPortfolio_3QRank","2016-07-28_to_2017-07-29_GrowthPortfolio_3QRank","2016-08-29_to_2017-08-29_GrowthPortfolio_3QRank","2016-09-28_to_2017-09-29_GrowthPortfolio_3QRank","2016-10-28_to_2017-10-29_GrowthPortfolio_3QRank","2016-11-28_to_2017-11-29_GrowthPortfolio_3QRank","2016-12-28_to_2017-12-29_GrowthPortfolio_3QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_3QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_3QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_3QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_3QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_3QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_3QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_3QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_3QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_3QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_3QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_3QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_3QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_3QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_3QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_3QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_3QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_3QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_3QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_3QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_3QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_3QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_3QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_3QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_3QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_3QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_3QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_3QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_3QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_3QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_3QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_3QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_3QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_3QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_3QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_3QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_3QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_3QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_3QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_3QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_3QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_3QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_3QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_3QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_3QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_3QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_3QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.04","23.523","23.721","17.756","15.741","16.157","22.651","36.173","28.573","25.834","34.415","24.637","26.169","23.03","23.846","21.322","22.901","30.564","29.805","5.863","10.051","-3.43","-1.589","10.636","10.258","13.166","0.411","9.519","9.169","2.599","0.813","21.176","16.06","27.971","25.602","10.302","-4.015","7.881","12.025","4.599","16.763","22.089","19.057","23.008","30.895","37.765","27.553","48.434","52.147","42.824","50.495","53.423","39.438","42.779","34.905","42.773","37.633"
"B Annualized Returns","14.896","14.856","15.433","16.85","13.919","12.196","17.118","21.446","19.115","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","-0.856000000000002","8.667","8.288","0.905999999999999","1.822","3.961","5.533","14.727","9.458","6.968","9.233","12.879","14.321","11.012","12.335","8.979","8.835","11.444","13.713","3.196","5.796","4.079","5.894","5.93","2.93","1.994","-3.052","1.219","1.355","2.237","-0.832","6.197","1.334","-2.468","1.61","4.206","5.716","8.096","2.865","1.591","8.623","2.14","7.006","14.365","15.013","22.065","14.44","22.09","0.790999999999997","-0.447000000000003","11.733","12.858","3.816","14.145","4.205","3.642","9.004"
"P Volatility","8.4","8.23","7.39","8.7","8.51","7.3","8.62","8.95","5.66","6.13","6.03","8.8","9.38","11.11","11.03","10.31","11.49","11.35","10.44","10.5","16.32","16.07","17.44","21.82","21.68","21.99","21.97","23.09","24.76","22.94","22.62","15.65","16.72","11.27","9.93","7.97","11.08","19.12","22.32","26.87","27.14","25.05","28.27","26.39","25.77","32.2","27.7","20.25","17.84","14.54","14.89","14.69","13.1","12.88","10.56","12.65","10.76"
"B Volatility","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","2.1","1.86","1.02","2.46","2.81","1.68","3.05","4.7","1.87","2.1","1.97","0.9","1.48","2.17","2.07","1.27","2.49","2","0.92","1","3.85","3.52","2.97","5.21","5.07","5.34","5.04","4.44","5.11","3.47","3.01","-2.19","-1.13","-2.3","-2.02","-4.02","-4.66","-1.03","-1.22","2.73","4.19","1.74","4.19","1.61","0.82","5.12","0.57","2.15","-0.260000000000002","-0.420000000000002","-0.18","-0.56","-1.85","-1.19","-1.65","-0.76","-0.23"
"P Tracking Error","6.21","4.68","3.99","4.12","4.33","3.36","4.81","6.76","4","3.97","3.85","4.35","3.91","4.1","4.44","3.48","4.95","6.4","6.26","4.93","7.35","7.49","7.37","7.78","8.05","8.21","7.57","7.46","7.26","5.85","5.9","7.64","7.01","5.81","7.1","7.72","8.48","7.3","7.81","9.01","8.31","7.96","7.74","7.14","6.68","7.57","4.5","7.33","7.35","7.74","6.43","6.55","7.83","6.23","6.07","5.99","5.36"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
