"","2015-09-25_to_2018-09-26_ValuePortfolio_1QRank","2015-10-26_to_2018-10-26_ValuePortfolio_1QRank","2015-11-25_to_2018-11-26_ValuePortfolio_1QRank","2015-12-28_to_2018-12-26_ValuePortfolio_1QRank","2016-01-25_to_2019-01-26_ValuePortfolio_1QRank","2016-02-25_to_2019-02-26_ValuePortfolio_1QRank","2016-03-28_to_2019-03-26_ValuePortfolio_1QRank","2016-04-25_to_2019-04-26_ValuePortfolio_1QRank","2016-05-25_to_2019-05-26_ValuePortfolio_1QRank","2016-06-27_to_2019-06-26_ValuePortfolio_1QRank","2016-07-25_to_2019-07-26_ValuePortfolio_1QRank","2016-08-25_to_2019-08-26_ValuePortfolio_1QRank","2016-09-26_to_2019-09-26_ValuePortfolio_1QRank","2016-10-25_to_2019-10-26_ValuePortfolio_1QRank","2016-11-25_to_2019-11-26_ValuePortfolio_1QRank","2016-12-27_to_2019-12-26_ValuePortfolio_1QRank","2017-01-25_to_2020-01-26_ValuePortfolio_1QRank","2017-02-27_to_2020-02-26_ValuePortfolio_1QRank","2017-03-27_to_2020-03-26_ValuePortfolio_1QRank","2017-04-25_to_2020-04-26_ValuePortfolio_1QRank","2017-05-25_to_2020-05-26_ValuePortfolio_1QRank","2017-06-26_to_2020-06-26_ValuePortfolio_1QRank","2017-07-25_to_2020-07-26_ValuePortfolio_1QRank","2017-08-25_to_2020-08-26_ValuePortfolio_1QRank","2017-09-25_to_2020-09-26_ValuePortfolio_1QRank","2017-10-25_to_2020-10-26_ValuePortfolio_1QRank","2017-11-27_to_2020-11-26_ValuePortfolio_1QRank","2017-12-26_to_2020-12-26_ValuePortfolio_1QRank","2018-01-25_to_2021-01-26_ValuePortfolio_1QRank","2018-02-26_to_2021-02-26_ValuePortfolio_1QRank","2018-03-26_to_2021-03-26_ValuePortfolio_1QRank","2018-04-25_to_2021-04-26_ValuePortfolio_1QRank","2018-05-25_to_2021-05-26_ValuePortfolio_1QRank","2018-06-25_to_2021-06-26_ValuePortfolio_1QRank","2018-07-25_to_2021-07-26_ValuePortfolio_1QRank","2018-08-27_to_2021-08-26_ValuePortfolio_1QRank","2018-09-25_to_2021-09-26_ValuePortfolio_1QRank","2018-10-25_to_2021-10-26_ValuePortfolio_1QRank","2018-11-26_to_2021-11-26_ValuePortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.326","10.192","13.461","10.848","21.687","22.207","17.582","13.272","10.111","18.093","15.374","14.65","14.87","15.462","19.526","22.039","13.116","4.102","-7.401","6.01","20.795","13.989","19.254","6.269","8.627","7.565","10.007","11.338","10.278","10.155","11.887","19.512","14.899","14.347","9.659","21.817","24.063","31.119","23.656"
"B Annualized Returns","14.561","8.672","8.556","6.27","12.377","12.678","11.452","12.073","10.581","13.367","11.734","9.823","11.534","12.143","12.358","12.621","12.775","9.569","3.949","5.899","7.385","7.244","9.087","12.478","9.719","9.953","11.754","11.384","10.66","11.083","14.33","16.6","15.497","16.344","15.794","15.558","15.184","19.096","19.763"
"AR DIFF(P-B)","7.765","1.52","4.905","4.578","9.31","9.529","6.13","1.199","-0.469999999999999","4.726","3.64","4.827","3.336","3.319","7.168","9.418","0.340999999999999","-5.467","-11.35","0.111","13.41","6.745","10.167","-6.209","-1.092","-2.388","-1.747","-0.0460000000000012","-0.382","-0.928000000000001","-2.443","2.912","-0.598000000000001","-1.997","-6.135","6.259","8.879","12.023","3.893"
"P Volatility","14.82","12.07","11.89","12.33","16.67","18.18","15.74","11.84","9.87","16.21","16.88","15.01","12.85","12.57","11.91","13.74","10.49","13.76","17.13","22.76","28.47","27.95","25.68","20.74","19.03","20.18","21.26","20.72","17.77","17.49","20.98","22.45","22.56","23.5","25.98","26.51","25.66","26.52","27.53"
"B Volatility","9.3","8.27","9.47","9.36","10.52","11.28","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","5.52","3.8","2.42","2.97","6.15","6.9","4.9","0.99","-1.11","4.37","4.61","2.76","0.51","0.34","-0.25","1.51","-1.78","1.57","3.77","7.32","11.42","10.75","8.49","3.33","1.27","2.19","3.19","1.72","-1.1","-1.2","2.41","3.8","3.78","4.72","7.24","7.79","6.92","8.08","8.82"
"P Tracking Error","8.16","6.31","5.58","6.7","9.93","9.73","6.97","3.42","4.25","6.73","7.48","5.79","6.37","7.38","8.45","8.69","4.98","5.34","7.57","14.28","18.76","17.56","16.07","6.07","4.87","5.88","6.2","5.06","7.01","6.85","6.69","6.09","6.33","7.61","10.97","11.64","11.31","11.88","10.96"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.95","0.24","0.88","0.68","0.94","0.98","0.88","0.35","-0.11","0.7","0.49","0.83","0.52","0.45","0.85","1.08","0.07","-1.02","-1.5","0.01","0.71","0.38","0.63","-1.02","-0.22","-0.41","-0.28","-0.01","-0.05","-0.14","-0.37","0.48","-0.09","-0.26","-0.56","0.54","0.79","1.01","0.36"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
