"","2015-09-25_to_2017-09-26_VGPortfolio_1QRank","2015-10-26_to_2017-10-26_VGPortfolio_1QRank","2015-11-25_to_2017-11-26_VGPortfolio_1QRank","2015-12-28_to_2017-12-26_VGPortfolio_1QRank","2016-01-25_to_2018-01-26_VGPortfolio_1QRank","2016-02-25_to_2018-02-26_VGPortfolio_1QRank","2016-03-28_to_2018-03-26_VGPortfolio_1QRank","2016-04-25_to_2018-04-26_VGPortfolio_1QRank","2016-05-25_to_2018-05-26_VGPortfolio_1QRank","2016-06-27_to_2018-06-26_VGPortfolio_1QRank","2016-07-25_to_2018-07-26_VGPortfolio_1QRank","2016-08-25_to_2018-08-26_VGPortfolio_1QRank","2016-09-26_to_2018-09-26_VGPortfolio_1QRank","2016-10-25_to_2018-10-26_VGPortfolio_1QRank","2016-11-25_to_2018-11-26_VGPortfolio_1QRank","2016-12-27_to_2018-12-26_VGPortfolio_1QRank","2017-01-25_to_2019-01-26_VGPortfolio_1QRank","2017-02-27_to_2019-02-26_VGPortfolio_1QRank","2017-03-27_to_2019-03-26_VGPortfolio_1QRank","2017-04-25_to_2019-04-26_VGPortfolio_1QRank","2017-05-25_to_2019-05-26_VGPortfolio_1QRank","2017-06-26_to_2019-06-26_VGPortfolio_1QRank","2017-07-25_to_2019-07-26_VGPortfolio_1QRank","2017-08-25_to_2019-08-26_VGPortfolio_1QRank","2017-09-25_to_2019-09-26_VGPortfolio_1QRank","2017-10-25_to_2019-10-26_VGPortfolio_1QRank","2017-11-27_to_2019-11-26_VGPortfolio_1QRank","2017-12-26_to_2019-12-26_VGPortfolio_1QRank","2018-01-25_to_2020-01-26_VGPortfolio_1QRank","2018-02-26_to_2020-02-26_VGPortfolio_1QRank","2018-03-26_to_2020-03-26_VGPortfolio_1QRank","2018-04-25_to_2020-04-26_VGPortfolio_1QRank","2018-05-25_to_2020-05-26_VGPortfolio_1QRank","2018-06-25_to_2020-06-26_VGPortfolio_1QRank","2018-07-25_to_2020-07-26_VGPortfolio_1QRank","2018-08-27_to_2020-08-26_VGPortfolio_1QRank","2018-09-25_to_2020-09-26_VGPortfolio_1QRank","2018-10-25_to_2020-10-26_VGPortfolio_1QRank","2018-11-26_to_2020-11-26_VGPortfolio_1QRank","2018-12-26_to_2020-12-26_VGPortfolio_1QRank","2019-01-25_to_2021-01-26_VGPortfolio_1QRank","2019-02-25_to_2021-02-26_VGPortfolio_1QRank","2019-03-25_to_2021-03-26_VGPortfolio_1QRank","2019-04-25_to_2021-04-26_VGPortfolio_1QRank","2019-05-28_to_2021-05-26_VGPortfolio_1QRank","2019-06-25_to_2021-06-26_VGPortfolio_1QRank","2019-07-25_to_2021-07-26_VGPortfolio_1QRank","2019-08-26_to_2021-08-26_VGPortfolio_1QRank","2019-09-25_to_2021-09-26_VGPortfolio_1QRank","2019-10-25_to_2021-10-26_VGPortfolio_1QRank","2019-11-25_to_2021-11-26_VGPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.651","16.374","17.724","22.021","33.773","24.725","19.657","17.9","19.255","25.363","21.396","21.434","22.6","13.505","12.476","4.986","8.214","11.097","13.157","13.876","12.865","14.038","16.881","15.956","11.376","13.324","9.989","11.395","11.778","5.284","-0.248","3.065","4.078","1.94","4.53","11.016","10.227","17.438","21.617","26.585","27.357","24.688","28.425","28.061","30.278","32.317","30.07","36.616","31.025","33.255","30.183"
"B Annualized Returns","13.662","11.169","11.618","14.189","23.641","19.282","14.283","13.003","14.094","16.694","14.368","15.054","16.365","11.363","9.889","4.295","7.676","8.593","9.725","10.925","8.186","9.299","10.507","8.532","9.195","8.72","9.888","9.941","7.746","5.885","-0.536","3.671","4.838","5.221","6.294","9.586","6.355","12.082","16.519","22.534","20.133","16.699","19.12","19.57","22.398","21.101","21.274","24.58","22.176","22.957","21.024"
"AR DIFF(P-B)","4.989","5.205","6.106","7.832","10.132","5.443","5.374","4.897","5.161","8.669","7.028","6.38","6.235","2.142","2.587","0.691","0.538","2.504","3.432","2.951","4.679","4.739","6.374","7.424","2.181","4.604","0.101000000000001","1.454","4.032","-0.601","0.288","-0.606","-0.76","-3.281","-1.764","1.43","3.872","5.356","5.098","4.051","7.224","7.989","9.305","8.491","7.88","11.216","8.796","12.036","8.849","10.298","9.159"
"P Volatility","11.31","10.42","10.59","10.35","8.91","8.56","8.12","8.37","8.3","8.51","7.83","8.24","8.25","7.92","10.07","10.14","12.58","14.27","15.66","15.9","16.23","16.74","17.07","17.21","17.11","16.35","16.48","15.96","15.15","14.09","15.52","20.56","24.71","26.16","26.19","25.34","25.9","23.29","24.87","25.5","24.98","25.04","24.63","24.85","24.12","25.81","26.49","26.46","23.18","24.77","23.32"
"B Volatility","9.59","7.96","8","7.83","6.27","6.8","6.88","7.42","7.43","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","1.72","2.46","2.59","2.52","2.64","1.76","1.24","0.949999999999999","0.870000000000001","1.07","0.61","0.84","0.8","0.84","0.94","1.02","0.92","1.64","2.93","3.15","3.28","2.7","2.34","2.49","2.28","1.54","1.72","1.07","0.620000000000001","-0.0400000000000009","0.0700000000000003","2.44","4.44","5.68","5.81","4.72","4.79","2.69","4.09","5.01","4.95","4.95","4.52","4.72","4.77","6.8","7.48","7.64","4.35","5.32","3.54"
"P Tracking Error","3.69","3.18","3.41","3.71","4.37","3.81","3.6","3.27","3.44","3.08","3.04","4.07","3.52","3.94","3.46","4.16","3.57","3.31","4.78","5.06","5.55","5.68","5.26","5.46","5.11","5.2","3.85","4.15","4.68","3.66","4.28","4.97","6.03","7.23","7.52","6.56","6.49","5.72","6.72","7.79","7.47","7.05","6.64","6.86","7.21","9.41","9.86","9.96","7.38","8.19","6.82"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.35","1.64","1.79","2.11","2.32","1.43","1.49","1.5","1.5","2.81","2.31","1.57","1.77","0.54","0.75","0.17","0.15","0.76","0.72","0.58","0.84","0.83","1.21","1.36","0.43","0.89","0.03","0.35","0.86","-0.16","0.07","-0.12","-0.13","-0.45","-0.23","0.22","0.6","0.94","0.76","0.52","0.97","1.13","1.4","1.24","1.09","1.19","0.89","1.21","1.2","1.26","1.34"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
