"","1 Y 2016-03-28 to 2017-03-29","1 Y 2016-04-28 to 2017-04-29","1 Y 2016-05-31 to 2017-05-29","1 Y 2016-06-28 to 2017-06-29","1 Y 2016-07-28 to 2017-07-29","1 Y 2016-08-29 to 2017-08-29","1 Y 2016-09-28 to 2017-09-29","1 Y 2016-10-28 to 2017-10-29","1 Y 2016-11-28 to 2017-11-29","1 Y 2016-12-28 to 2017-12-29","1 Y 2017-01-30 to 2018-01-29","1 Y 2017-02-28 to 2018-03-01","1 Y 2017-03-28 to 2018-03-29","1 Y 2017-04-28 to 2018-04-29","1 Y 2017-05-30 to 2018-05-29","1 Y 2017-06-28 to 2018-06-29","1 Y 2017-07-28 to 2018-07-29","1 Y 2017-08-28 to 2018-08-29","1 Y 2017-09-28 to 2018-09-29","1 Y 2017-10-30 to 2018-10-29","1 Y 2017-11-28 to 2018-11-29","1 Y 2017-12-28 to 2018-12-29","1 Y 2018-01-29 to 2019-01-29","1 Y 2018-02-28 to 2019-03-01","1 Y 2018-03-28 to 2019-03-29","1 Y 2018-04-30 to 2019-04-29","1 Y 2018-05-29 to 2019-05-29","1 Y 2018-06-28 to 2019-06-29","1 Y 2018-07-30 to 2019-07-29","1 Y 2018-08-28 to 2019-08-29","1 Y 2018-09-28 to 2019-09-29","1 Y 2018-10-29 to 2019-10-29","1 Y 2018-11-28 to 2019-11-29","1 Y 2018-12-28 to 2019-12-29","1 Y 2019-01-28 to 2020-01-29","1 Y 2019-02-28 to 2020-02-29","1 Y 2019-03-28 to 2020-03-29","1 Y 2019-04-29 to 2020-04-29","1 Y 2019-05-28 to 2020-05-29","1 Y 2019-06-28 to 2020-06-29","1 Y 2019-07-29 to 2020-07-29","1 Y 2019-08-28 to 2020-08-29","1 Y 2019-09-30 to 2020-09-29","1 Y 2019-10-28 to 2020-10-29","1 Y 2019-11-29 to 2020-11-29","1 Y 2019-12-30 to 2020-12-29","1 Y 2020-01-28 to 2021-01-29","1 Y 2020-02-28 to 2021-03-01","1 Y 2020-03-30 to 2021-03-29","1 Y 2020-04-28 to 2021-04-29","1 Y 2020-05-28 to 2021-05-29","1 Y 2020-06-29 to 2021-06-29","1 Y 2020-07-28 to 2021-07-29","1 Y 2020-08-28 to 2021-08-29","1 Y 2020-09-28 to 2021-09-29","1 Y 2020-10-28 to 2021-10-29","1 Y 2020-11-30 to 2021-11-29"
"P Information Ratio","1.29","1.63","1.35","0.77","0.76","0.8","1.31","1.4","0.68","0.84","0.54","-0.09","1.88","0.34","1.05","1.36","0.83","1.37","0.75","0.18","0.56","0.29","0.94","1.02","0.08","-0.14","-0.55","-0.06","-0.08","0.15","0.06","0.23","0.05","0.23","-0.79","-0.97","-1.59","-0.25","-0.35","-0.6","-0.15","-0.39","-0.08","-0.17","0.28","0.24","0.34","1.27","3.56","1.7","2.12","1.65","1.29","1.73","1.81","1.36","0.57"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.09","0.08","-0.07","-0.13","-0.2","-0.24","-0.69","-0.38","-0.11","-0.18","-0.46","-0.21","-0.04","0.45","0.45","0.76","0.78","0.9","0.72","0.69","0.4","0.35","0.21","0.4","0.05","-0.01","-0.26","-0.26","0.09","-0.02","-0.12","-0.17","-0.18","-0.55","-0.53","-0.84","-0.36","-0.65","-0.7","-0.29","-0.35","-0.5","-0.54","-0.66","-0.22","0.19","0.34","0.67","1.46","1.32","0.89","1.34","1.29","0.8","0.39","1.61","1.78"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.49","1.43","1.39","1.53","1.58","1.52","1.74","1.55","1.17","1.31","1.32","1.14","1.02","0.76","0.76","0.79","0.82","0.71","0.73","0.79","0.9","0.83","0.92","1","1.12","1.12","1.05","1.11","1.16","1.13","1.2","1.18","1.22","1.18","1.17","1.08","0.93","1.29","1.31","1.4","1.41","1.43","1.38","1.33","1.36","1.43","1.43","1.33","1.45","1.3","1.18","1.11","1.16","1.3","1.36","1.07","0.39"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","80.99","82.7","83.3","78.93","79.87","77.22","81.76","71.89","61.57","73.17","71.92","75.51","91.14","69.81","63.5","61.97","62.34","52.39","59.84","65.42","78.95","76.71","80.7","87.13","95.46","96.09","93.2","94.69","95.24","94.12","93.89","92.82","90.65","77.08","78.15","70.71","79.5","88.25","92.12","89.95","90.1","90.85","90.34","88.91","87.26","88.52","91.13","83.2","77.49","65.59","58.94","54.9","55.88","55.79","46.16","35.52","11.77"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.2569","-5.4266","-5.7023","-5.1265","-5.2723","-4.8968","-4.1948","-3.2774","-3.1995","-3.0615","-3.1911","-10.0702","-9.9312","-9.9851","-10.0604","-10.0712","-10.1255","-10.1233","-10.3373","-10.8666","-11.2837","-18.8663","-17.4741","-17.588","-18.6604","-19.0741","-17.927","-19.2956","-19.0423","-19.0287","-18.2142","-14.2933","-13.2909","-7.9543","-7.9436","-12.9109","-36.5922","-36.566","-36.5119","-37.317","-37.7899","-37.7811","-37.6785","-37.7204","-37.5796","-38.1651","-38.074","-32.9432","-11.8143","-11.5948","-11.375","-8.5291","-8.4758","-8.5269","-6.7377","-5.2736","-4.5724"
"B Max Drawdown","-5.5957","-5.5957","-5.5957","-4.634","-4.6339","-4.4739","-3.8091","-2.412","-2.412","-2.412","-2.412","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5507","-9.878","-15.8093","-16.4756","-16.4756","-16.4757","-16.4757","-16.4756","-16.4756","-16.4757","-16.4757","-16.326","-13.0069","-12.2736","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4469","-5.2126","-5.2125"
"MD DIFF(P-B)","0.3388","0.1691","-0.1066","-0.4925","-0.638400000000001","-0.422899999999999","-0.3857","-0.8654","-0.7875","-0.6495","-0.7791","-0.519600000000001","-0.380600000000001","-0.4345","-0.5098","-0.5206","-0.574900000000001","-0.572700000000001","-0.786700000000002","-1.3159","-1.4057","-3.057","-0.9985","-1.1124","-2.1847","-2.5984","-1.4514","-2.82","-2.5666","-2.553","-1.8882","-1.2864","-1.0173","-1.1182","-1.1075","-0.879799999999999","-2.6672","-2.64100000000001","-2.5869","-3.392","-3.86490000000001","-3.8561","-3.7535","-3.7954","-3.6546","-4.24010000000001","-4.149","-4.4229","-2.2098","-1.9903","-1.7705","1.0754","1.1286","1.0776","0.7092","-0.0609999999999999","0.6401"
