"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.033","14.291","13.069","17.678","23.313","21.059","21.341","27.35","15.094","12.902","13.193","13.584","12.653","14.785","19.395","17.165","1.022","4.297","-8.448","-5.598","4.421","6.095","9.105","3.731","9.306","8.433","0.755","4.552","16.285","16.976","29.783","22.591","2.967","-13.936","-8.158","2.077","-4.951","-0.83","11.082","4.594","0.915","8.978","12.597","9.707","27.534","65.18","55.252","45.397","45.988","39.941","36.897","35.718","39.72","21.919"
"B Annualized Returns","19.871","13.919","12.137","15.598","21.004","19.318","19.45","25.274","14.816","10.448","11.769","12.971","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","3.162","0.372","0.932","2.08","2.309","1.741","1.891","2.076","0.277999999999999","2.454","1.424","0.613","1.36","0.913","0.849999999999998","1.073","-1.994","-0.147","-0.939","1.77","1.817","-1.983","-1.036","-0.464","1.006","1.067","1.086","2.912","1.166","-0.602","-0.398999999999997","-1.328","-3.129","-4.205","-5.452","-6.788","-7.827","-7.367","-8.867","-8.036","-6.795","-6.347","-3.409","-5.995","-0.41","8.60000000000001","9.16","6.635","5.33","3.209","7.487","5.851","-0.798999999999999","-4.445"
"P Volatility","7.34","6.45","6.55","6.58","5.44","4.32","4.28","4.67","5","7.62","7.91","7.95","7.92","7.95","8.16","7.61","7.26","11.16","11.8","14.66","16.79","17.23","17.62","18.35","19.31","20.28","20.35","19.91","18.4","18.17","13.87","11.51","11.8","15.48","22.71","26.43","26.07","26.3","27.32","27.53","26.95","25.94","29.9","29.09","27.1","16.65","14.68","14","13.82","14.5","14.37","13.6","15.6","12.16"
"B Volatility","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","1.1","0.75","0.93","1.01","1.19","0.53","0.25","0.61","-0.54","-0.28","-1.03","-1.01","-1.12","-1.05","-1.19","-1.91","-2.24","-1.31","-0.75","0.19","0.109999999999999","0.620000000000001","0.970000000000002","1.42","0.66","0.630000000000003","0.880000000000003","0.300000000000001","0.559999999999999","0.32","0.299999999999999","-0.44","-0.19","-0.26","2.56","2.89","3.15","3.35","4.01","3.45","2.17","0.990000000000002","2.82","1.96","2.26","-1.45","-0.280000000000001","-1.07","-1.43","-0.449999999999999","0.299999999999999","1.39","2.19","1.17"
"P Tracking Error","2.2","1.96","2.09","2.12","2.25","1.52","1.28","2.25","2.21","2.13","3.38","3.26","2.6","2.67","3.2","3.61","3.74","2.91","3.43","2.61","2.75","2.61","2.87","2.64","2.95","2.95","2.45","2.27","1.8","2.53","2.42","2.16","2.1","1.66","4.77","4.42","5.08","5.13","5.39","5.32","4.99","6.25","6.69","6.68","6.76","5.76","5.89","6.41","5.81","6.96","6.06","5.76","5.49","5.61"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
