"","2016-03-28_to_2019-03-29_GrowthPortfolio_3QRank","2016-04-28_to_2019-04-29_GrowthPortfolio_3QRank","2016-05-31_to_2019-05-29_GrowthPortfolio_3QRank","2016-06-28_to_2019-06-29_GrowthPortfolio_3QRank","2016-07-28_to_2019-07-29_GrowthPortfolio_3QRank","2016-08-29_to_2019-08-29_GrowthPortfolio_3QRank","2016-09-28_to_2019-09-29_GrowthPortfolio_3QRank","2016-10-28_to_2019-10-29_GrowthPortfolio_3QRank","2016-11-28_to_2019-11-29_GrowthPortfolio_3QRank","2016-12-28_to_2019-12-29_GrowthPortfolio_3QRank","2017-01-30_to_2020-01-29_GrowthPortfolio_3QRank","2017-02-28_to_2020-02-29_GrowthPortfolio_3QRank","2017-03-28_to_2020-03-29_GrowthPortfolio_3QRank","2017-04-28_to_2020-04-29_GrowthPortfolio_3QRank","2017-05-30_to_2020-05-29_GrowthPortfolio_3QRank","2017-06-28_to_2020-06-29_GrowthPortfolio_3QRank","2017-07-28_to_2020-07-29_GrowthPortfolio_3QRank","2017-08-28_to_2020-08-29_GrowthPortfolio_3QRank","2017-09-28_to_2020-09-29_GrowthPortfolio_3QRank","2017-10-30_to_2020-10-29_GrowthPortfolio_3QRank","2017-11-28_to_2020-11-29_GrowthPortfolio_3QRank","2017-12-28_to_2020-12-29_GrowthPortfolio_3QRank","2018-01-29_to_2021-01-29_GrowthPortfolio_3QRank","2018-02-28_to_2021-03-01_GrowthPortfolio_3QRank","2018-03-28_to_2021-03-29_GrowthPortfolio_3QRank","2018-04-30_to_2021-04-29_GrowthPortfolio_3QRank","2018-05-29_to_2021-05-29_GrowthPortfolio_3QRank","2018-06-28_to_2021-06-29_GrowthPortfolio_3QRank","2018-07-30_to_2021-07-29_GrowthPortfolio_3QRank","2018-08-28_to_2021-08-29_GrowthPortfolio_3QRank","2018-09-28_to_2021-09-29_GrowthPortfolio_3QRank","2018-10-29_to_2021-10-29_GrowthPortfolio_3QRank","2018-11-28_to_2021-11-29_GrowthPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.144","18.815","15.661","16.35","15.48","14.773","13.94","18.461","15.187","14.928","16.193","9.984","1.768","7.451","11.195","10.786","15.038","23.52","31.434","19.666","30.055","34.853","36.089","31.055","27.614","27.245","23.946","27.202","27.56","27.313","25.511","34.438","31.807"
"B Annualized Returns","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","2.515","6.487","5.747","3.3","3.833","4.49","3.027","5.859","2.626","1.99","3.384","2.266","-0.753","0.236","3.139","3.051","5.413","10.733","21.513","10.904","18.588","23.359","26.913","18.214","12.554","10.519","7.895","10.763","11.167","11.427","11.168","14.097","12.575"
"P Volatility","11.08","13.72","13.31","14.03","14.33","13.46","16.06","17.6","18.22","18.46","17.23","18.22","19.47","21.62","22.98","23.43","23.14","20.91","25.19","21.25","22.58","25.09","27.49","25.14","24.53","25.1","25.32","23.85","25.06","24.26","23.5","20.49","21.9"
"B Volatility","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.24","2.87","2.33","2.19","2.06","1.21","3.72","5.37","6.06","6.23","4.96","6.03","6.11","6.18","5.93","6.23","5.95","3.5","7.43","3.26","4.51","6.09","8.62","6.7","5.96","6.45","6.54","5.07","6.32","5.54","4.76","2.05","3.19"
"P Tracking Error","4.59","5.57","5","4.71","4.85","4.42","5.95","7.26","7.7","7.67","6.64","7.65","7.85","7.58","7.36","7.71","7.69","6.42","12.19","6.37","8.97","10.61","13.54","10.56","9.23","10.54","10.66","9.19","10.4","10.12","10.33","10.01","9.52"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.55","1.16","1.15","0.7","0.79","1.02","0.51","0.81","0.34","0.26","0.51","0.3","-0.1","0.03","0.43","0.4","0.7","1.67","1.76","1.71","2.07","2.2","1.99","1.72","1.36","1","0.74","1.17","1.07","1.13","1.08","1.41","1.32"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.2","0.35","0.3","0.15","0.26","0.32","0.1","0.08","-0.24","-0.24","-0.02","-0.17","-0.09","-0.11","0.03","0.08","0.21","0.68","1.28","0.69","1.16","1.37","1.74","1.06","0.9","0.64","0.35","0.42","0.58","0.69","0.76","0.81","0.81"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.93","1.17","1.13","1.12","1.1","1.04","1.23","1.36","1.42","1.44","1.34","1.42","1.39","1.36","1.31","1.33","1.31","1.15","1.27","1.14","1.16","1.22","1.3","1.27","1.25","1.25","1.25","1.19","1.24","1.19","1.13","0.97","1.06"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","82.75","84.83","86.67","89.48","89.02","89.04","89.11","88.9","89.75","91.07","90.73","89.96","90.66","94.14","95.05","94.8","93.95","91.96","79.62","92.11","85.37","84.33","79.48","85.73","89.08","85.27","85.19","86.9","85.55","84.36","81.27","75.5","80.78"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.602","-23.6949","-22.6161","-22.5833","-21.8479","-21.8831","-25.1714","-26.777","-28.8112","-28.9721","-26.1035","-27.0693","-40.5386","-40.4108","-39.5224","-40.1324","-39.3069","-36.3864","-40.222","-36.3387","-37.8041","-39.235","-40.7251","-39.2878","-37.9688","-38.1285","-38.7321","-37.6115","-38.5705","-38.2293","-36.5194","-35.722","-36.5212"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
