"","1 Y 2017-08-15 to 2018-08-16","1 Y 2017-09-15 to 2018-09-16","1 Y 2017-10-16 to 2018-10-16","1 Y 2017-11-15 to 2018-11-16","1 Y 2017-12-15 to 2018-12-16","1 Y 2018-01-15 to 2019-01-16","1 Y 2018-02-15 to 2019-02-16","1 Y 2018-03-15 to 2019-03-16","1 Y 2018-04-16 to 2019-04-16","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-15 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-15 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.52","21.334","13.871","7.631","-1.369","-1.616","5.776","7.253","10.988","3.516","0.549","4.151","0.092","4.875","8.847","12.994","21.27","25.048","17.546","-21.959","-7.305","-3.763","5.971","1.288","9.275","10.826","11.653","20.309","19.313","22.601","30.462","111.682","89.656","88.542","54.731","50.335","46.713","54.331"
"B Annualized Returns","15.096","16.236","9.864","5.826","-2.843","-5.774","1.626","2.735","8.56","5.652","3.872","7.347","1.689","3.789","6.398","14.294","25.432","26.784","21.847","-15.812","-3.479","-0.439","8.135","7.745","18.445","12.636","16.206","16.219","15.933","13.611","13.991","61.478","49.505","45.901","35.17","34.569","32.559","33.935"
"AR DIFF(P-B)","8.424","5.098","4.007","1.805","1.474","4.158","4.15","4.518","2.428","-2.136","-3.323","-3.196","-1.597","1.086","2.449","-1.3","-4.162","-1.736","-4.301","-6.147","-3.826","-3.324","-2.164","-6.457","-9.17","-1.81","-4.553","4.09","3.38","8.99","16.471","50.204","40.151","42.641","19.561","15.766","14.154","20.396"
"P Volatility","8.86","8.45","9.03","13.39","12.74","15.86","17.66","18.84","19.67","20.87","23.03","24.49","23.38","21.96","21.13","20.59","16.11","13.62","14.82","17.27","25.09","28.24","30.22","30.57","32.56","29.58","31.83","30.25","36.03","34.78","31.55","23.41","19.48","18.99","17.76","15.41","19","18.53"
"B Volatility","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","-0.49","-1.07","-0.470000000000001","0.92","0.19","1.39","0.98","2.23","3.02","3.94","4.38","4.84","3.91","2.35","3.29","2.74","2.54","1.67","2.83","1.53","4.94","4.7","7.3","7.62","9.25","5.5","7.05","5.3","8.95","7.65","7.02","5.63","4.91","4.3","2.89","0.84","5.34","6.8"
"P Tracking Error","3.57","4.08","4.36","4.33","4.6","4.65","4.66","4.45","4.48","5.22","5.37","5.6","4.9","3.23","4.15","3.51","3.48","2.77","3.25","3.42","6.28","5.74","8.43","8.9","10.4","6.29","8.54","7.91","11.06","10.01","8.76","11.26","11.92","11.68","10.72","8.38","11.49","12.42"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
