"","2017-04-18_to_2019-04-19_CorePortfolio_12QRank","2017-05-18_to_2019-05-19_CorePortfolio_12QRank","2017-06-19_to_2019-06-19_CorePortfolio_12QRank","2017-07-18_to_2019-07-19_CorePortfolio_12QRank","2017-08-18_to_2019-08-19_CorePortfolio_12QRank","2017-09-18_to_2019-09-19_CorePortfolio_12QRank","2017-10-18_to_2019-10-19_CorePortfolio_12QRank","2017-11-20_to_2019-11-19_CorePortfolio_12QRank","2017-12-18_to_2019-12-19_CorePortfolio_12QRank","2018-01-18_to_2020-01-19_CorePortfolio_12QRank","2018-02-20_to_2020-02-19_CorePortfolio_12QRank","2018-03-19_to_2020-03-19_CorePortfolio_12QRank","2018-04-18_to_2020-04-19_CorePortfolio_12QRank","2018-05-18_to_2020-05-19_CorePortfolio_12QRank","2018-06-18_to_2020-06-19_CorePortfolio_12QRank","2018-07-18_to_2020-07-19_CorePortfolio_12QRank","2018-08-20_to_2020-08-19_CorePortfolio_12QRank","2018-09-18_to_2020-09-19_CorePortfolio_12QRank","2018-10-18_to_2020-10-19_CorePortfolio_12QRank","2018-11-19_to_2020-11-19_CorePortfolio_12QRank","2018-12-18_to_2020-12-19_CorePortfolio_12QRank","2019-01-18_to_2021-01-19_CorePortfolio_12QRank","2019-02-19_to_2021-02-19_CorePortfolio_12QRank","2019-03-18_to_2021-03-19_CorePortfolio_12QRank","2019-04-18_to_2021-04-19_CorePortfolio_12QRank","2019-05-20_to_2021-05-19_CorePortfolio_12QRank","2019-06-18_to_2021-06-19_CorePortfolio_12QRank","2019-07-18_to_2021-07-19_CorePortfolio_12QRank","2019-08-19_to_2021-08-19_CorePortfolio_12QRank","2019-09-18_to_2021-09-19_CorePortfolio_12QRank","2019-10-18_to_2021-10-19_CorePortfolio_12QRank","2019-11-18_to_2021-11-19_CorePortfolio_12QRank","2019-12-18_to_2021-12-19_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.541","10.034","9.524","10.063","10.451","10.35","9.264","10.446","9.605","9.478","11.236","-8.27","0.951","2.212","3.066","6.318","7.609","4.724","9.714","13.701","18.96","18.999","18.018","18.107","19.513","19.288","18.211","16.55","21.726","19.689","20.849","16.909","15.294"
"B Annualized Returns","11.369","9.957","9.215","9.972","9.775","9.57","7.977","9.94","9.144","9.1","11.669","-5.752","3.017","3.787","5.663","7.019","8.685","6.899","11.22","15.355","20.67","19.208","18.523","17.476","19.654","20.377","19.468","19.183","22.724","21.423","22.955","22.601","20.599"
"AR DIFF(P-B)","0.172000000000001","0.077","0.308999999999999","0.0910000000000011","0.676","0.779999999999999","1.287","0.506","0.461","0.378","-0.433","-2.518","-2.066","-1.575","-2.597","-0.701000000000001","-1.076","-2.175","-1.506","-1.654","-1.71","-0.209","-0.504999999999999","0.631","-0.140999999999998","-1.089","-1.257","-2.633","-0.998000000000001","-1.734","-2.106","-5.692","-5.305"
"P Volatility","12.72","12.68","13.55","14.07","14.14","14.26","14.27","14.24","14.36","14.16","13.65","15.2","19.4","21.3","21.6","21.77","22.42","22.43","22.03","22.32","22.96","22.2","21.94","21.95","22.12","21.23","21.64","21.56","21.37","21.38","21.77","20.9","20.99"
"B Volatility","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","19.86"
"V DIFF(P-B)","-0.0299999999999994","-0.27","-0.489999999999998","-0.66","-0.58","-0.57","-0.540000000000001","-0.52","-0.530000000000001","-0.369999999999999","-0.48","-0.25","1.28","1.03","1.12","1.39","1.8","1.32","1.43","1.54","2.47","2.17","1.85","1.84","1.99","1.88","2.63","2.55","2.55","2.55","2.32","1.12","1.13"
"P Tracking Error","3.2","3.35","3.15","3.06","3.1","3.18","3.11","3.03","3.06","2.74","2.94","2.42","3.63","3.67","3.83","4.4","4.56","4.12","4.44","4.33","5.18","4.92","4.65","4.77","4.8","5.71","5.29","5.66","5.51","5.44","5.62","5.72","5.79"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.05","0.02","0.1","0.03","0.22","0.25","0.41","0.17","0.15","0.14","-0.15","-1.04","-0.57","-0.43","-0.68","-0.16","-0.24","-0.53","-0.34","-0.38","-0.33","-0.04","-0.11","0.13","-0.03","-0.19","-0.24","-0.47","-0.18","-0.32","-0.37","-1","-0.92"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.05","0.03","0.05","0.07","0.08","0.11","0.15","0.06","0.09","0.08","0.06","-0.03","-0.16","-0.13","-0.17","-0.17","-0.07","-0.32","-0.22","-0.17","-0.29","-0.23","-0.17","-0.05","-0.03","-0.21","-0.12","-0.29","-0.22","-0.28","-0.22","-0.38","-0.44"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.95","0.94","0.93","0.94","0.94","0.94","0.94","0.94","0.96","0.94","0.97","1.05","1.04","1.04","1.05","1.07","1.05","1.05","1.05","1.1","1.08","1.07","1.07","1.08","1.06","1.11","1.1","1.1","1.1","1.08","1.02","1.02"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.49","92.99","94.75","95.55","95.39","95.22","95.41","95.61","95.59","96.27","95.48","97.43","96.58","97.02","96.85","95.93","96.06","96.66","95.96","96.32","95.44","95.45","95.72","95.45","95.55","92.72","94.68","93.59","93.88","94.06","93.61","92.18","92.05"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-17.988","-17.6379","-17.6959","-17.6565","-17.5697","-17.7908","-17.8238","-17.975","-17.9822","-18.0233","-17.7322","-32.7014","-38.1889","-38.2062","-38.2698","-38.5725","-38.6538","-38.4272","-38.3324","-38.1625","-38.9849","-38.6143","-38.6448","-38.5574","-38.8576","-38.4637","-38.9951","-38.9305","-38.6909","-38.8617","-38.7825","-37.8197","-37.737"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","1.7902","2.1403","2.0823","2.1217","2.2085","1.9874","1.9544","1.8032","1.796","1.7549","2.046","-3.1687","-4.2639","-4.28120000000001","-4.3448","-4.6475","-4.7288","-4.5022","-4.4074","-4.2375","-5.05990000000001","-4.6893","-4.7198","-4.6324","-4.9326","-4.53870000000001","-5.0701","-5.0055","-4.7659","-4.9367","-4.8575","-3.8947","-3.812"
