"","1 Y 2015-09-25 to 2018-09-26","1 Y 2015-10-26 to 2018-10-26","1 Y 2015-11-25 to 2018-11-26","1 Y 2015-12-28 to 2018-12-26","1 Y 2016-01-25 to 2019-01-26","1 Y 2016-02-25 to 2019-02-26","1 Y 2016-03-28 to 2019-03-26","1 Y 2016-04-25 to 2019-04-26","1 Y 2016-05-25 to 2019-05-26","1 Y 2016-06-27 to 2019-06-26","1 Y 2016-07-25 to 2019-07-26","1 Y 2016-08-25 to 2019-08-26","1 Y 2016-09-26 to 2019-09-26","1 Y 2016-10-25 to 2019-10-26","1 Y 2016-11-25 to 2019-11-26","1 Y 2016-12-27 to 2019-12-26","1 Y 2017-01-25 to 2020-01-26","1 Y 2017-02-27 to 2020-02-26","1 Y 2017-03-27 to 2020-03-26","1 Y 2017-04-25 to 2020-04-26","1 Y 2017-05-25 to 2020-05-26","1 Y 2017-06-26 to 2020-06-26","1 Y 2017-07-25 to 2020-07-26","1 Y 2017-08-25 to 2020-08-26","1 Y 2017-09-25 to 2020-09-26","1 Y 2017-10-25 to 2020-10-26","1 Y 2017-11-27 to 2020-11-26","1 Y 2017-12-26 to 2020-12-26","1 Y 2018-01-25 to 2021-01-26","1 Y 2018-02-26 to 2021-02-26","1 Y 2018-03-26 to 2021-03-26","1 Y 2018-04-25 to 2021-04-26","1 Y 2018-05-25 to 2021-05-26","1 Y 2018-06-25 to 2021-06-26","1 Y 2018-07-25 to 2021-07-26","1 Y 2018-08-27 to 2021-08-26","1 Y 2018-09-25 to 2021-09-26","1 Y 2018-10-25 to 2021-10-26","1 Y 2018-11-26 to 2021-11-26","2 Y 2015-09-25 to 2018-09-26","2 Y 2015-10-26 to 2018-10-26","2 Y 2015-11-25 to 2018-11-26","2 Y 2015-12-28 to 2018-12-26","2 Y 2016-01-25 to 2019-01-26","2 Y 2016-02-25 to 2019-02-26","2 Y 2016-03-28 to 2019-03-26","2 Y 2016-04-25 to 2019-04-26","2 Y 2016-05-25 to 2019-05-26","2 Y 2016-06-27 to 2019-06-26","2 Y 2016-07-25 to 2019-07-26","2 Y 2016-08-25 to 2019-08-26","2 Y 2016-09-26 to 2019-09-26","2 Y 2016-10-25 to 2019-10-26","2 Y 2016-11-25 to 2019-11-26","2 Y 2016-12-27 to 2019-12-26","2 Y 2017-01-25 to 2020-01-26","2 Y 2017-02-27 to 2020-02-26","2 Y 2017-03-27 to 2020-03-26","2 Y 2017-04-25 to 2020-04-26","2 Y 2017-05-25 to 2020-05-26","2 Y 2017-06-26 to 2020-06-26","2 Y 2017-07-25 to 2020-07-26","2 Y 2017-08-25 to 2020-08-26","2 Y 2017-09-25 to 2020-09-26","2 Y 2017-10-25 to 2020-10-26","2 Y 2017-11-27 to 2020-11-26","2 Y 2017-12-26 to 2020-12-26","2 Y 2018-01-25 to 2021-01-26","2 Y 2018-02-26 to 2021-02-26","2 Y 2018-03-26 to 2021-03-26","2 Y 2018-04-25 to 2021-04-26","2 Y 2018-05-25 to 2021-05-26","2 Y 2018-06-25 to 2021-06-26","2 Y 2018-07-25 to 2021-07-26","2 Y 2018-08-27 to 2021-08-26","2 Y 2018-09-25 to 2021-09-26","2 Y 2018-10-25 to 2021-10-26","2 Y 2018-11-26 to 2021-11-26","3 Y 2015-09-25 to 2018-09-26","3 Y 2015-10-26 to 2018-10-26","3 Y 2015-11-25 to 2018-11-26","3 Y 2015-12-28 to 2018-12-26","3 Y 2016-01-25 to 2019-01-26","3 Y 2016-02-25 to 2019-02-26","3 Y 2016-03-28 to 2019-03-26","3 Y 2016-04-25 to 2019-04-26","3 Y 2016-05-25 to 2019-05-26","3 Y 2016-06-27 to 2019-06-26","3 Y 2016-07-25 to 2019-07-26","3 Y 2016-08-25 to 2019-08-26","3 Y 2016-09-26 to 2019-09-26","3 Y 2016-10-25 to 2019-10-26","3 Y 2016-11-25 to 2019-11-26","3 Y 2016-12-27 to 2019-12-26","3 Y 2017-01-25 to 2020-01-26","3 Y 2017-02-27 to 2020-02-26","3 Y 2017-03-27 to 2020-03-26","3 Y 2017-04-25 to 2020-04-26","3 Y 2017-05-25 to 2020-05-26","3 Y 2017-06-26 to 2020-06-26","3 Y 2017-07-25 to 2020-07-26","3 Y 2017-08-25 to 2020-08-26","3 Y 2017-09-25 to 2020-09-26","3 Y 2017-10-25 to 2020-10-26","3 Y 2017-11-27 to 2020-11-26","3 Y 2017-12-26 to 2020-12-26","3 Y 2018-01-25 to 2021-01-26","3 Y 2018-02-26 to 2021-02-26","3 Y 2018-03-26 to 2021-03-26","3 Y 2018-04-25 to 2021-04-26","3 Y 2018-05-25 to 2021-05-26","3 Y 2018-06-25 to 2021-06-26","3 Y 2018-07-25 to 2021-07-26","3 Y 2018-08-27 to 2021-08-26","3 Y 2018-09-25 to 2021-09-26","3 Y 2018-10-25 to 2021-10-26","3 Y 2018-11-26 to 2021-11-26"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.459","4.097","7.027","-5.696","-4.744","3.734","2.871","9.768","0.01","1.895","5.56","1.604","4.679","19.103","24.692","42.243","27.55","16.253","-2.449","1.806","29.683","11.213","20.113","35.011","25.431","36.246","36.025","45.784","51.552","31.122","74.671","74.093","58.934","59.506","53.899","47.608","52.816","40.733","33.255","23.367","15.718","14.243","8.218","9.51","9.633","10.377","12.98","8.942","10.483","12.532","14.058","14.344","12.449","14.042","14.299","9.76","10.954","2.987","6.875","15.633","9.485","13.991","19.095","13.842","28.948","25.777","42.639","37.611","15.289","27.403","30.234","31.39","27.057","26.952","35.672","32.734","28.569","30.406","21.514","12.428","13.984","11.969","18.368","17.216","13.767","14.819","12.631","16.987","15.706","14.759","16.309","16.169","16.406","16.182","13.868","12.791","7.465","9.441","17.953","13.876","17.545","21.643","15.865","20.502","18.069","21.8","22.568","12.369","20.863","23.042","19.821","19.041","19.603","22.075","22.1","25.476","25.353"
"B Annualized Returns","16.386","3.839","2.777","-7.939","-6.146","0.514","6.015","10.234","3.604","7.004","6.64","-0.636","2.466","11.716","17.471","31.293","24.718","11.543","-6.249","-3.056","6.777","2.876","7.057","21.246","10.775","11.93","15.575","14.838","18.682","27.944","51.119","45.63","40.251","38.814","36.632","28.495","37.236","34.514","26.504","16.365","11.477","9.889","4.295","7.676","8.593","9.725","10.968","8.415","9.299","10.507","8.532","9.204","8.72","9.888","9.941","7.767","5.885","0.333","3.671","4.838","5.575","6.294","9.586","6.539","13.082","16.519","25.461","20.699","16.826","19.028","19.32","22.398","21.207","20.861","24.818","22.176","22.719","20.703","15.602","8.773","8.551","6.27","11.864","12.76","11.452","12.015","10.581","13.367","11.734","9.891","11.534","12.143","12.358","12.621","12.775","9.569","3.949","5.899","7.381","7.541","9.087","12.496","9.725","9.631","11.754","11.384","10.237","11.569","15.01","16.187","15.497","16.275","16.197","15.558","15.184","19.811","19.652"
"AR DIFF(P-B)","7.073","0.258","4.25","2.243","1.402","3.22","-3.144","-0.465999999999999","-3.594","-5.109","-1.08","2.24","2.213","7.387","7.221","10.95","2.832","4.71","3.8","4.862","22.906","8.337","13.056","13.765","14.656","24.316","20.45","30.946","32.87","3.178","23.552","28.463","18.683","20.692","17.267","19.113","15.58","6.21899999999999","6.751","7.002","4.241","4.354","3.923","1.834","1.04","0.652000000000001","2.012","0.527000000000001","1.184","2.025","5.526","5.14","3.729","4.154","4.358","1.993","5.069","2.654","3.204","10.795","3.91","7.697","9.509","7.303","15.866","9.258","17.178","16.912","-1.537","8.375","10.914","8.992","5.85","6.091","10.854","10.558","5.85","9.703","5.912","3.655","5.433","5.699","6.504","4.456","2.315","2.804","2.05","3.62","3.972","4.868","4.775","4.026","4.048","3.561","1.093","3.222","3.516","3.542","10.572","6.335","8.458","9.147","6.14","10.871","6.315","10.416","12.331","0.799999999999999","5.853","6.855","4.324","2.766","3.406","6.517","6.916","5.665","5.701"
"P Volatility","9.91","9.68","17.13","17.13","16.84","19.89","20.33","21.71","21.2","23.46","25.14","24.71","23.55","21.53","20.13","17.58","12.49","13.72","14.43","25.85","34.93","35.29","33.66","34.17","32.62","33.83","32.35","35.79","34.99","28.56","19.7","18.17","17.74","15.77","16.71","16.51","15.4","17.42","13.81","8.77","7.85","12.12","12.17","13.46","14.51","14.82","15.82","15.42","17.3","18.05","17.84","17.11","17.52","16.44","17.92","16.21","16.51","17.48","23.12","28.34","28.93","27.77","28.33","27.56","26.57","25.83","26.42","25.03","22","22.98","24.08","23.91","23.91","24.92","23.42","23.19","22.83","24.9","10.61","9.96","12.71","12.61","13.06","13.37","12.95","13.64","13.36","14.74","15.12","15.1","14.53","14.85","13.64","14.76","13.63","14.01","14.84","19.28","23.39","23.83","22.92","23.32","22.67","22.77","22.11","23.58","23.08","20.16","21.28","22.13","23.24","23.41","23.9","22.98","22.89","21.16","22.94"
"B Volatility","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","9.3","8.27","9.47","9.36","10.52","11.28","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.390000000000001","0.18","4.66","4.58","2.37","3.21","3.72","5.06","4.27","4.81","5.49","5.24","3.94","3.69","2.28","4.01","0.540000000000001","1.73","-1.31","5.7","11.39","12.37","10.71","10.86","8.54","9.05","7.4","8.71","7.86","3.72","1.6","3.21","2.67","0.52","1.76","2.44","3.19","4.01","2.82","1.32","0.77","2.99","3.05","1.8","1.88","2.09","3.07","2.47","3.26","3.32","3.12","2.28","2.71","1.68","3.03","1.68","2.38","2.03","5","8.07","8.45","7.39","7.71","6.45","5.97","5.05","5.93","5","1.91","2.87","3.95","4.56","4.9","5.91","4.6","4.36","3.38","5.12","1.31","1.69","3.24","3.25","2.54","2.09","2.11","2.79","2.38","2.9","2.85","2.85","2.19","2.62","1.48","2.53","1.36","1.82","1.48","3.84","6.34","6.63","5.73","5.91","4.91","4.78","4.04","4.58","4.21","1.47","2.71","3.48","4.46","4.63","5.16","4.26","4.15","2.72","4.23"
"P Tracking Error","2.93","2.92","7.21","6.94","5.27","5.41","4.79","6.06","5.43","6.69","6.85","6.62","5.66","5.95","6.51","7.77","4.51","4","7.95","11.48","18.25","18.28","17.02","17.12","13.47","14.53","10.93","12.05","13.13","7.64","5.64","7.32","7.87","6.68","6.56","7.49","8.64","7.19","7.04","3.22","2.93","5.05","4.95","4.05","4.16","3.97","4.45","4.16","5.25","5.09","5.2","4.52","5.11","5.29","6.48","4.57","4.37","7.11","9.04","13.48","13.39","12.23","12.45","10.23","10.99","8.03","9.12","10.03","5.61","6.63","7.19","7.72","8.09","8.68","7.9","8.21","7.61","8.34","3.41","3.03","4.78","4.86","4.72","4.25","4.06","4.27","4.12","4.63","4.59","4.87","4.2","4.86","4.55","5.57","4.11","3.81","5.94","7.45","11.01","11.06","10.29","10.35","8.67","9.31","6.93","7.86","8.68","5.11","6.01","6.35","7.05","7.18","7.49","6.94","7.18","6.32","7.08"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
