"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.38","1.08","0.75","0.78","1.92","1.67","1.65","0.67","0.46","1.42","0.9","1.24","1.06","0.74","0.99","0.19","-0.05","0.53","0.11","0.82","0.88","0.57","0.06","-0.32","-0.23","-0.16","0.27","0.1","0.18","-0.36","0.15","-0.31","-0.6","-1.69","-0.46","-0.29","-0.69","-0.38","-0.55","-0.1","-0.53","0.23","0.12","0.58","0.53","3.6","2.41","2.21","2.02","1.62","1.68","1.7","2.14","0.82"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.08","-0.11","-0.29","-0.64","-0.14","0.15","0.01","-0.42","-0.22","0.04","0.68","0.57","0.76","0.75","0.72","0.38","0.57","0.29","0.32","0.14","0.46","0.12","0.05","-0.24","-0.26","0.06","-0.02","0.13","-0.29","-0.2","-0.44","-0.44","-0.67","-0.32","-0.57","-0.67","-0.47","-0.39","-0.71","-0.73","-0.69","-0.27","-0.13","0.34","-0.71","1.41","1.4","0.9","1.42","1.37","0.81","0.43","1.7","2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.54","1.57","1.51","1.67","1.46","1.06","1.22","1.3","1.12","1.04","0.76","0.72","0.75","0.77","0.72","0.8","0.85","0.89","0.87","0.96","1.06","1.15","1.13","1.04","1.07","1.12","1.11","1.13","1.21","1.23","1.28","1.15","1.07","0.95","1.3","1.36","1.38","1.39","1.44","1.36","1.34","1.39","1.39","1.44","1.56","1.43","1.3","1.18","1.12","1.16","1.32","1.38","1.11","0.38"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","79.94","80.07","78.99","85.29","72.59","59.27","65.52","74.39","78.22","90.64","69.48","60.79","56.08","59.68","54.52","67.44","68.67","78.73","77.45","82.9","87.48","95.52","95.54","93.06","94.23","94.69","94.26","94.05","92.72","91.47","86.5","79.52","74.57","80.71","88.05","91.76","89.29","90.34","90.57","90.17","88.76","89.59","89.33","91.36","92.99","78.94","65.38","60.31","57.06","56.39","56.9","46.57","36.86","10.44"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.1954","-5.018","-5.4","-4.5752","-3.2223","-3.1365","-3.2897","-3.4349","-9.9051","-9.9556","-10.0539","-10.0545","-10.1408","-10.0237","-10.2391","-10.1571","-11.5454","-11.3731","-19.328","-18.0933","-18.7389","-18.9382","-18.8369","-17.8967","-18.974","-18.8543","-18.4903","-17.8641","-14.9683","-13.4052","-7.7152","-7.7185","-12.8952","-38.1683","-36.8494","-37.3321","-36.9055","-37.0833","-38.244","-37.6678","-38.0132","-38.5363","-37.8013","-37.9173","-32.551","-11.3658","-11.9106","-11.088","-8.4707","-8.3277","-8.5873","-6.8211","-5.0628","-4.624"
"B Max Drawdown","-4.6339","-4.6339","-4.4739","-3.8091","-2.412","-2.412","-2.412","-2.412","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5507","-9.878","-15.8093","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4756","-16.4757","-16.4757","-16.326","-13.0069","-12.2736","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.561500000000001","-0.3841","-0.9261","-0.7661","-0.8103","-0.7245","-0.8777","-1.0229","-0.3545","-0.405000000000001","-0.503300000000001","-0.503900000000002","-0.590200000000001","-0.473100000000001","-0.688500000000001","-0.6065","-1.9947","-1.4951","-3.5187","-1.6177","-2.2632","-2.4626","-2.3612","-1.4211","-2.4984","-2.3786","-2.0146","-1.5381","-1.9614","-1.1316","-0.8791","-0.8824","-0.864100000000001","-4.2433","-2.92440000000001","-3.4071","-2.98050000000001","-3.1583","-4.319","-3.7428","-4.0882","-4.6113","-3.8763","-3.9923","-4.0307","-1.7613","-2.3061","-1.4835","1.1338","1.2768","1.0172","0.6258","0.1497","0.588500000000001"
