"","2018-06-28_to_2021-06-29_GrowthPortfolio_20QRank","2018-07-30_to_2021-07-29_GrowthPortfolio_20QRank","2018-08-28_to_2021-08-29_GrowthPortfolio_20QRank","2018-09-28_to_2021-09-29_GrowthPortfolio_20QRank","2018-10-29_to_2021-10-29_GrowthPortfolio_20QRank","2018-11-28_to_2021-11-29_GrowthPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","26.454","26.752","24.673","21.878","30.954","32.055"
"B Annualized Returns","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","10.015","10.359","8.787","7.535","10.613","12.823"
"P Volatility","22.34","21.71","21.55","21.06","19.52","20.05"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","3.56","2.97","2.83","2.32","1.08","1.34"
"P Tracking Error","6.63","6.42","6.17","5.92","5.35","5.25"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","1.51","1.61","1.42","1.27","1.98","2.44"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.51","0.6","0.53","0.48","0.68","0.84"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.15","1.11","1.11","1.08","1.02","1.03"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","92.45","91.95","92.45","92.4","92.29","93.05"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-35.5652","-34.6642","-35.2903","-35.0972","-34.2227","-33.7665"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.6402","-0.739200000000004","-1.3653","-1.1722","-0.297700000000006","0.158499999999997"
