"","1 Y 2016-09-27 to 2018-09-28","1 Y 2016-10-27 to 2018-10-28","1 Y 2016-11-28 to 2018-11-28","1 Y 2016-12-27 to 2018-12-28","1 Y 2017-01-27 to 2019-01-28","1 Y 2017-02-27 to 2019-02-28","1 Y 2017-03-27 to 2019-03-28","1 Y 2017-04-27 to 2019-04-28","1 Y 2017-05-30 to 2019-05-28","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2016-09-27 to 2018-09-28","2 Y 2016-10-27 to 2018-10-28","2 Y 2016-11-28 to 2018-11-28","2 Y 2016-12-27 to 2018-12-28","2 Y 2017-01-27 to 2019-01-28","2 Y 2017-02-27 to 2019-02-28","2 Y 2017-03-27 to 2019-03-28","2 Y 2017-04-27 to 2019-04-28","2 Y 2017-05-30 to 2019-05-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.031","4.669","5.534","-7.358","-4.417","5.965","9.423","10.569","4.399","8.515","8.393","4.218","2.779","16.184","17.148","34.032","26.889","7.723","-14.089","-4.858","7.348","-0.794","5.563","16.892","11.064","12.117","22.629","25.772","26.429","39.661","76.097","67.353","59.765","61.69","53.098","48.912","46.613","53.658","36.678","19.381","15.088","14.059","7.46","10.053","11.898","13.007","12.51","13.06","14.468","15.198","15.015","10.288","11.758","10.357","10.85","11.163","7.894","-2.766","2.829","4.403","2.564","6.063","9.028","7.312","13.804","17.745","28.524","23.951","20.731","22.125","24.864","29.317","25.881","25.044","30.61","28.003","26.363","27.32"
"B Annualized Returns","16.233","5.804","3.104","-7.224","-6.88","1.753","7.378","10.865","3.254","8.345","5.537","-0.952","2.466","13.335","17.471","31.293","22.755","6.675","-6.249","-2.199","8.341","5.834","7.251","20.659","8.768","11.557","16.012","14.412","14.484","22.877","57.925","45.449","38.363","39.87","35.872","28.495","32.67","34.241","31.113","16.152","12.661","10.388","4.735","7.697","8.552","9.456","10.709","8.232","9.952","10.184","8.356","8.995","8.238","9.888","9.911","6.635","4.185","0.333","4.272","6.251","6.888","7.532","9.663","5.568","13.322","16.47","21.862","19.108","17.13","18.077","19.301","22.435","20.838","20.736","24.818","22.24","22.374","23.014"
"AR DIFF(P-B)","3.798","-1.135","2.43","-0.133999999999999","2.463","4.212","2.045","-0.295999999999999","1.145","0.17","2.856","5.17","0.313","2.849","-0.323","2.739","4.134","1.048","-7.84","-2.659","-0.992999999999999","-6.628","-1.688","-3.767","2.296","0.56","6.617","11.36","11.945","16.784","18.172","21.904","21.402","21.82","17.226","20.417","13.943","19.417","5.565","3.229","2.427","3.671","2.725","2.356","3.346","3.551","1.801","4.828","4.516","5.014","6.659","1.293","3.52","0.468999999999999","0.939","4.528","3.709","-3.099","-1.443","-1.848","-4.324","-1.469","-0.635","1.744","0.482000000000001","1.275","6.662","4.843","3.601","4.048","5.563","6.882","5.043","4.308","5.792","5.763","3.989","4.306"
"P Volatility","9.23","9.38","13.28","13.05","16.39","20.44","20.85","20.61","21.18","22.04","23.93","23.96","22.94","21.97","21.55","15.47","11.28","11.1","13.69","26.7","31.6","33.66","34.36","33.35","34.16","35.37","35.19","38.26","37.45","36.78","22.24","18.19","17.31","17.69","17.28","17.43","15.8","15.83","9.56","8.89","7.97","10.08","9.98","13.17","15.12","15.18","14.94","15.73","16.29","17.38","17.44","16.7","17.2","16.93","16.2","15.63","15.59","16.44","22.93","25.41","27.05","27.47","26.83","27.22","27.82","27.93","28.24","26.83","27.46","28.38","27.16","27.32","27.73","27.7","28.08","26.91","26.98","28.54"
"B Volatility","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","7.59","7.39","9.37","9.32","11.77","13","13.1","13.1","13.39","14.14","14.43","14.43","14.56","14.52","14.47","14.59","14.29","13.9","15.36","18.32","20.44","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","20.23"
"V DIFF(P-B)","-0.789999999999999","-0.569999999999999","0.459999999999999","0.280000000000001","1.65","3.02","3.87","3.66","3.78","3.46","5.05","5.22","4.06","4.92","4.46","2.91","1.09","1.01","-1.5","6.55","7.65","9.87","10.54","9.35","9.17","9.7","9.51","11.04","10.18","12.44","5.58","5.04","3.81","3.75","3.49","4.97","5.5","3.57","-1.09","1.3","0.58","0.710000000000001","0.66","1.4","2.12","2.08","1.84","2.34","2.15","2.95","3.01","2.14","2.68","2.46","1.61","1.34","1.69","1.08","4.61","4.97","6.45","6.95","6.17","5.92","7.03","7.05","7.97","7.2","7.86","8.78","7.62","8.22","8.7","8.67","9.23","8.06","7.51","8.31"
"P Tracking Error","6.18","6.27","6.59","6.44","6.27","6.87","5.72","5.83","6.27","5.98","6.63","6.65","5.78","7.33","6.81","5.73","5.19","5.35","6.09","10.6","10.79","13.43","13.91","13.24","12.96","14.34","14.07","15.08","13.69","14.89","10.07","8.69","8.87","8.74","8.62","9.98","9.35","9.2","8.13","5.36","4.98","5.02","4.95","4.74","5.07","5.15","5.31","6.16","5.86","6.27","6.32","5.7","6.39","5.91","5.43","5.45","6.07","5.33","8.13","7.99","9.8","10.1","9.66","9.56","10.69","10.68","11.27","10.56","11.16","12.29","10.61","11.68","12.02","11.93","12.72","11.63","11.67","12.74"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
