"","2017-04-11_to_2020-04-12_ALLPortfolio_3QRank","2017-05-11_to_2020-05-12_ALLPortfolio_3QRank","2017-06-12_to_2020-06-12_ALLPortfolio_3QRank","2017-07-11_to_2020-07-12_ALLPortfolio_3QRank","2017-08-11_to_2020-08-12_ALLPortfolio_3QRank","2017-09-11_to_2020-09-12_ALLPortfolio_3QRank","2017-10-11_to_2020-10-12_ALLPortfolio_3QRank","2017-11-13_to_2020-11-12_ALLPortfolio_3QRank","2017-12-11_to_2020-12-12_ALLPortfolio_3QRank","2018-01-11_to_2021-01-12_ALLPortfolio_3QRank","2018-02-12_to_2021-02-12_ALLPortfolio_3QRank","2018-03-12_to_2021-03-12_ALLPortfolio_3QRank","2018-04-11_to_2021-04-12_ALLPortfolio_3QRank","2018-05-11_to_2021-05-12_ALLPortfolio_3QRank","2018-06-11_to_2021-06-12_ALLPortfolio_3QRank","2018-07-11_to_2021-07-12_ALLPortfolio_3QRank","2018-08-13_to_2021-08-12_ALLPortfolio_3QRank","2018-09-11_to_2021-09-12_ALLPortfolio_3QRank","2018-10-11_to_2021-10-12_ALLPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.183","11.747","13.156","15.37","20.798","10.92","13.503","17.941","18.592","21.34","22.444","17.473","21.248","16.077","17.973","19.19","19.701","21.509","25.133"
"B Annualized Returns","5.829","6.215","7.768","9.506","11.436","10.314","11.396","11.02","11.249","11.137","13.191","11.443","16.004","14.177","15.133","16.454","16.49","16.192","18.99"
"AR DIFF(P-B)","1.354","5.532","5.388","5.864","9.362","0.606","2.107","6.921","7.343","10.203","9.253","6.03","5.244","1.9","2.84","2.736","3.211","5.317","6.143"
"P Volatility","18.05","21.68","23.1","23","23.27","21.24","20.92","21.1","23.15","22.6","22.15","21.13","22.61","21.58","21.21","22.05","22.37","22.72","22.44"
"B Volatility","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","2.61","4.63","5.9","5.81","5.86","3.48","2.93","3.03","4.15","3.73","3.49","2.6","4.05","2.89","2.52","3.4","3.74","4.07","4.21"
"P Tracking Error","5.66","8.14","9.85","9.9","9.93","5.2","4.84","6.02","6.66","6.99","6.97","5.93","6.71","6.27","6.05","5.98","6.65","6.71","6.85"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.24","0.68","0.55","0.59","0.94","0.12","0.44","1.15","1.1","1.46","1.33","1.02","0.78","0.3","0.47","0.46","0.48","0.79","0.9"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.06","0.27","0.44","0.32","0.51","-0.11","0.07","0.42","0.4","0.59","0.36","0.27","0.25","0.05","0.08","0.09","0.1","0.21","0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.19","1.24","1.23","1.23","1.17","1.14","1.13","1.18","1.15","1.13","1.1","1.18","1.11","1.09","1.15","1.16","1.18","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","90.9","87.91","84.5","83.93","84.3","95.96","95.98","92.8","93.74","91.72","91.13","92.64","93.09","92.25","92.29","94.01","92.67","93.21","92.78"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-39.4734","-40.2196","-41.0869","-41.0062","-40.5965","-38.5723","-38.2131","-37.6917","-38.6026","-38.8543","-38.981","-37.9044","-38.7325","-38.5038","-38.1127","-38.1643","-39.5717","-39.0234","-39.3469"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-5.5484","-6.2946","-7.1619","-7.0812","-6.6715","-4.6473","-4.2881","-3.7667","-4.67760000000001","-4.9293","-5.056","-3.97940000000001","-4.8075","-4.5788","-4.1877","-4.2393","-5.6467","-5.09840000000001","-5.4219"
