"","1 Y 2016-03-28 to 2019-03-29","1 Y 2016-04-28 to 2019-04-29","1 Y 2016-05-31 to 2019-05-29","1 Y 2016-06-28 to 2019-06-29","1 Y 2016-07-28 to 2019-07-29","1 Y 2016-08-29 to 2019-08-29","1 Y 2016-09-28 to 2019-09-29","1 Y 2016-10-28 to 2019-10-29","1 Y 2016-11-28 to 2019-11-29","1 Y 2016-12-28 to 2019-12-29","1 Y 2017-01-30 to 2020-01-29","1 Y 2017-02-28 to 2020-02-29","1 Y 2017-03-28 to 2020-03-29","1 Y 2017-04-28 to 2020-04-29","1 Y 2017-05-30 to 2020-05-29","1 Y 2017-06-28 to 2020-06-29","1 Y 2017-07-28 to 2020-07-29","1 Y 2017-08-28 to 2020-08-29","1 Y 2017-09-28 to 2020-09-29","1 Y 2017-10-30 to 2020-10-29","1 Y 2017-11-28 to 2020-11-29","1 Y 2017-12-28 to 2020-12-29","1 Y 2018-01-29 to 2021-01-29","1 Y 2018-02-28 to 2021-03-01","1 Y 2018-03-28 to 2021-03-29","1 Y 2018-04-30 to 2021-04-29","1 Y 2018-05-29 to 2021-05-29","1 Y 2018-06-28 to 2021-06-29","1 Y 2018-07-30 to 2021-07-29","1 Y 2018-08-28 to 2021-08-29","1 Y 2018-09-28 to 2021-09-29","1 Y 2018-10-29 to 2021-10-29","1 Y 2018-11-28 to 2021-11-29","2 Y 2016-03-28 to 2019-03-29","2 Y 2016-04-28 to 2019-04-29","2 Y 2016-05-31 to 2019-05-29","2 Y 2016-06-28 to 2019-06-29","2 Y 2016-07-28 to 2019-07-29","2 Y 2016-08-29 to 2019-08-29","2 Y 2016-09-28 to 2019-09-29","2 Y 2016-10-28 to 2019-10-29","2 Y 2016-11-28 to 2019-11-29","2 Y 2016-12-28 to 2019-12-29","2 Y 2017-01-30 to 2020-01-29","2 Y 2017-02-28 to 2020-02-29","2 Y 2017-03-28 to 2020-03-29","2 Y 2017-04-28 to 2020-04-29","2 Y 2017-05-30 to 2020-05-29","2 Y 2017-06-28 to 2020-06-29","2 Y 2017-07-28 to 2020-07-29","2 Y 2017-08-28 to 2020-08-29","2 Y 2017-09-28 to 2020-09-29","2 Y 2017-10-30 to 2020-10-29","2 Y 2017-11-28 to 2020-11-29","2 Y 2017-12-28 to 2020-12-29","2 Y 2018-01-29 to 2021-01-29","2 Y 2018-02-28 to 2021-03-01","2 Y 2018-03-28 to 2021-03-29","2 Y 2018-04-30 to 2021-04-29","2 Y 2018-05-29 to 2021-05-29","2 Y 2018-06-28 to 2021-06-29","2 Y 2018-07-30 to 2021-07-29","2 Y 2018-08-28 to 2021-08-29","2 Y 2018-09-28 to 2021-09-29","2 Y 2018-10-29 to 2021-10-29","2 Y 2018-11-28 to 2021-11-29","3 Y 2016-03-28 to 2019-03-29","3 Y 2016-04-28 to 2019-04-29","3 Y 2016-05-31 to 2019-05-29","3 Y 2016-06-28 to 2019-06-29","3 Y 2016-07-28 to 2019-07-29","3 Y 2016-08-29 to 2019-08-29","3 Y 2016-09-28 to 2019-09-29","3 Y 2016-10-28 to 2019-10-29","3 Y 2016-11-28 to 2019-11-29","3 Y 2016-12-28 to 2019-12-29","3 Y 2017-01-30 to 2020-01-29","3 Y 2017-02-28 to 2020-02-29","3 Y 2017-03-28 to 2020-03-29","3 Y 2017-04-28 to 2020-04-29","3 Y 2017-05-30 to 2020-05-29","3 Y 2017-06-28 to 2020-06-29","3 Y 2017-07-28 to 2020-07-29","3 Y 2017-08-28 to 2020-08-29","3 Y 2017-09-28 to 2020-09-29","3 Y 2017-10-30 to 2020-10-29","3 Y 2017-11-28 to 2020-11-29","3 Y 2017-12-28 to 2020-12-29","3 Y 2018-01-29 to 2021-01-29","3 Y 2018-02-28 to 2021-03-01","3 Y 2018-03-28 to 2021-03-29","3 Y 2018-04-30 to 2021-04-29","3 Y 2018-05-29 to 2021-05-29","3 Y 2018-06-28 to 2021-06-29","3 Y 2018-07-30 to 2021-07-29","3 Y 2018-08-28 to 2021-08-29","3 Y 2018-09-28 to 2021-09-29","3 Y 2018-10-29 to 2021-10-29","3 Y 2018-11-28 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","3.626","9.898","-3.833","-0.149","2.395","-11.047","1.664","27.916","21.644","41.781","31.034","19.977","2.166","22.992","43.664","16.47","26.324","33.498","-6.075","-5.003","2.928","5.28","3.218","11.197","64.006","51.278","41.498","48.943","45.732","35.955","42.123","48.143","30.597","11.123","14.278","8.571","9.537","11.806","3.912","9.766","17.356","14.995","16.358","11.502","12.535","7.898","17.696","23.006","11.117","18.486","21.189","-7.066","-2.633","2.788","13.397","8.628","7.555","17.024","17.544","15.965","12.1","20.338","20.963","22.234","21.397","21.023","17.822","17.489","12.512","17.781","15.029","8.213","14.045","16.772","14.81","17.402","13.071","10.681","6.069","12.405","20.714","13.804","18.853","24.034","0.025","2.086","5.087","6.172","5.927","7.858","13.834","13.946","12.319","9.692","14.962","12.339","14.938","19.091","17.703"
"B Annualized Returns","7.328","11.172","3.463","8.3","7.814","0.362","1.64","14.979","14.726","30.182","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","9.565","11.087","7.406","9.786","10.53","9.339","8.692","8.657","9.365","9.899","7.105","4.335","-1.227","5.36","5.716","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709","11.314","12.531","9.914","13.05","11.598","10.283","10.913","12.602","12.523","12.938","12.809","7.718","2.521","7.174","8.056","8.005","9.679","12.767","9.796","8.762","11.467","11.698","9.584","13.18","14.551","16.726","16.051","16.426","16.393","15.886","14.246","19.739","19.034"
"AR DIFF(P-B)","-3.702","-1.274","-7.296","-8.449","-5.419","-11.409","0.024","12.937","6.918","11.599","7.042","13.881","11.897","23.207","34.504","13.462","18.184","13.549","-18.126","-13.646","-12.397","-10.42","-9.895","-15.147","12.65","8.007","2.736","8.378","10.11","6.545","11.423","9.012","1.968","1.558","3.191","1.165","-0.248999999999999","1.276","-5.427","1.074","8.699","5.63","6.459","4.397","8.2","9.125","12.336","17.29","5.145","10.66","11.47","-13.869","-13.714","-12.365","-8.568","-9.074","-10.388","-1.314","-2.023","-6.943","-8.256","-0.765999999999998","-3.995","1.217","-1.549","-0.686","6.508","4.958","2.598","4.731","3.431","-2.07","3.132","4.17","2.287","4.464","0.262","2.963","3.548","5.231","12.658","5.799","9.174","11.267","-9.771","-6.676","-6.38","-5.526","-3.657","-5.322","-0.717000000000001","-2.78","-3.732","-6.734","-1.431","-3.547","0.692","-0.648","-1.331"
"P Volatility","24.59","23.01","22.1","25.94","27.91","26.32","26.35","18.62","18.9","14.19","11.63","10.77","10.9","28.29","42.61","44.24","40.8","44.85","32.5","30.49","31.66","32.03","28.83","15.01","19.92","17.18","16.33","15.27","16.55","14.38","16.14","20.36","14.43","17.8","16.58","16.06","18.96","20.13","19.04","18.88","15.2","14.62","14.42","14.79","14.47","13.12","22.68","31.86","32.35","31.44","34.84","27.09","25.15","26.14","23.91","20.21","19.21","23.07","23.17","21.26","23.98","24.1","22.12","25.3","28.44","26.58","16.88","15.01","14.41","17.03","17.45","16.47","16.28","12.76","12.27","12.15","12.4","12.69","11.79","19.24","26.5","26.91","26.24","28.77","22.68","21.54","22.33","21.51","19.03","17.96","21.03","21.01","19.66","22.72","22.94","21.75","24.61","27.34","26.35"
"B Volatility","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.66","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.57","18.57","18.65","18.78","18.78","18.74","18.72","18.32","18.44","18.71"
"V DIFF(P-B)","7.98","6.36","5.17","7.29","8.26","6.85","6.74","0.780000000000001","1.05","0.619999999999999","-0.319999999999999","-1.22","-4.84","8.14","19.07","20.1","17.85","21.54","8.42","5.71","6.71","4.95","1.7","-3.09","1.82","2.22","1.26","0.0199999999999996","1.6","0.31","3.93","6.95","3.44","5.07","3.83","3.11","4.92","5.4","4.32","4.05","0.389999999999999","-0.140000000000001","-0.470000000000001","0.26","0.34","-2.33","4.56","11.59","11.87","11.06","14.22","6.37","4.55","5.36","3.42","0.18","-0.899999999999999","2.96","3.04","1.91","4.52","5.09","3.3","6.47","8.99","6.8","6.04","4.16","3.43","5.19","5.18","4.22","3.94","0.529999999999999","0.109999999999999","-0.0800000000000001","0.130000000000001","0.5","-1.57","3.58","9.45","9.71","9.05","11.36","4.92","3.55","4.26","2.51","0.16","-0.609999999999999","2.46","2.36","0.879999999999999","3.94","4.2","3.03","6.29","8.9","7.64"
"P Tracking Error","9.15","8.58","7.25","9.08","9.66","8.26","9.91","9.32","12.23","12.01","9.47","7.55","17.29","20.35","30.13","29.82","27.63","30.02","10.71","8.88","9.32","6.99","5.97","5.84","5.74","4.54","5.32","7.06","6.5","8.72","9.37","11.96","10.9","7.55","6.54","5.99","7.18","7.8","6","7.26","7.67","9.64","9.5","7.67","6.15","12.91","14.64","21.66","21.05","20.06","21.53","8.39","7.18","7.67","5.91","5.69","6.35","6.63","6.19","6.24","8.89","8.09","8.49","9.43","12.83","11.54","9.18","7.07","6.5","8.1","8.2","6.49","7.14","6.76","8.18","8.11","6.94","5.75","11.59","12.87","18.38","17.94","17.28","18.33","8.39","7.46","7.4","5.92","6.28","6.34","6.2","5.93","6.63","7.9","7.42","7.4","8.71","12.01","11.26"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
