"","2018-06-28_to_2021-06-29_CorePortfolio_20QRank","2018-07-30_to_2021-07-29_CorePortfolio_20QRank","2018-08-28_to_2021-08-29_CorePortfolio_20QRank","2018-09-28_to_2021-09-29_CorePortfolio_20QRank","2018-10-29_to_2021-10-29_CorePortfolio_20QRank","2018-11-28_to_2021-11-29_CorePortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.735","15.212","15.364","14.504","19.289","16.053"
"B Annualized Returns","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","-1.704","-1.181","-0.521999999999998","0.161","-1.052","-3.179"
"P Volatility","19.09","19.1","18.99","19.14","19.39","19.41"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.309999999999999","0.360000000000003","0.27","0.400000000000002","0.949999999999999","0.699999999999999"
"P Tracking Error","4.64","4.37","4.25","4.26","4.75","5.05"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.37","-0.27","-0.12","0.04","-0.22","-0.63"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.03","-0.07","-0.02","0.02","-0.08","-0.21"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","0.99","0.99","0.99","1","1.02","1"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","93.93","94.61","94.84","94.89","93.86","93.01"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-37.3055","-37.3851","-37.0833","-37.2612","-37.7767","-37.8536"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.3805","-3.4601","-3.1583","-3.33620000000001","-3.8517","-3.9286"
