"","1 Y 2015-12-28 to 2017-12-29","1 Y 2016-01-28 to 2018-01-29","1 Y 2016-02-29 to 2018-03-01","1 Y 2016-03-28 to 2018-03-29","1 Y 2016-04-28 to 2018-04-29","1 Y 2016-05-31 to 2018-05-29","1 Y 2016-06-28 to 2018-06-29","1 Y 2016-07-28 to 2018-07-29","1 Y 2016-08-29 to 2018-08-29","1 Y 2016-09-28 to 2018-09-29","1 Y 2016-10-28 to 2018-10-29","1 Y 2016-11-28 to 2018-11-29","1 Y 2016-12-28 to 2018-12-29","1 Y 2017-01-30 to 2019-01-29","1 Y 2017-02-28 to 2019-03-01","1 Y 2017-03-28 to 2019-03-29","1 Y 2017-04-28 to 2019-04-29","1 Y 2017-05-30 to 2019-05-29","1 Y 2017-06-28 to 2019-06-29","1 Y 2017-07-28 to 2019-07-29","1 Y 2017-08-28 to 2019-08-29","1 Y 2017-09-28 to 2019-09-29","1 Y 2017-10-30 to 2019-10-29","1 Y 2017-11-28 to 2019-11-29","1 Y 2017-12-28 to 2019-12-29","1 Y 2018-01-29 to 2020-01-29","1 Y 2018-02-28 to 2020-02-29","1 Y 2018-03-28 to 2020-03-29","1 Y 2018-04-30 to 2020-04-29","1 Y 2018-05-29 to 2020-05-29","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2015-12-28 to 2017-12-29","2 Y 2016-01-28 to 2018-01-29","2 Y 2016-02-29 to 2018-03-01","2 Y 2016-03-28 to 2018-03-29","2 Y 2016-04-28 to 2018-04-29","2 Y 2016-05-31 to 2018-05-29","2 Y 2016-06-28 to 2018-06-29","2 Y 2016-07-28 to 2018-07-29","2 Y 2016-08-29 to 2018-08-29","2 Y 2016-09-28 to 2018-09-29","2 Y 2016-10-28 to 2018-10-29","2 Y 2016-11-28 to 2018-11-29","2 Y 2016-12-28 to 2018-12-29","2 Y 2017-01-30 to 2019-01-29","2 Y 2017-02-28 to 2019-03-01","2 Y 2017-03-28 to 2019-03-29","2 Y 2017-04-28 to 2019-04-29","2 Y 2017-05-30 to 2019-05-29","2 Y 2017-06-28 to 2019-06-29","2 Y 2017-07-28 to 2019-07-29","2 Y 2017-08-28 to 2019-08-29","2 Y 2017-09-28 to 2019-09-29","2 Y 2017-10-30 to 2019-10-29","2 Y 2017-11-28 to 2019-11-29","2 Y 2017-12-28 to 2019-12-29","2 Y 2018-01-29 to 2020-01-29","2 Y 2018-02-28 to 2020-02-29","2 Y 2018-03-28 to 2020-03-29","2 Y 2018-04-30 to 2020-04-29","2 Y 2018-05-29 to 2020-05-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","24.319","25.07","11.56","20.697","14.549","15.84","16.699","23.614","32.167","30.671","2.017","5.534","-12.594","-12.049","1.249","0.802","12.091","5.651","13.199","12.863","0.861","8.997","34.996","22.282","41.745","35.265","14.316","-5.327","3.961","22.938","14.71","21.531","31.67","22.63","19.364","25.017","16.828","29.515","33.962","60.91","69.383","44.017","58.818","45.629","34.047","32.929","50.446","40.154","18.516","22.418","17.987","21.352","17.897","17.768","14.598","22.751","25.087","28.024","18.8","14.872","4.172","8.414","10.153","11.52","15.888","15.623","18.696","18.44","14.219","18.297","20.018","13.899","14.031","15.074","10.849","4.166","8.972","11.523","13.233","16.809","15.287","6.661","15.47","19.713","21.055","26.195","23.252","23.231","33.712","28.859","29.571","31.49","26.516","24.15","33.589","37.175"
"B Annualized Returns","18.866","25.182","11.758","11.848","11.769","11.511","12.343","13.872","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.64","14.979","14.726","30.182","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","13.831","21.241","16.339","13.362","13.43","13.297","14.575","13.992","15.606","15.845","11.434","11.437","5.11","7.595","8.175","9.565","11.087","7.406","9.786","10.53","9.339","8.639","8.657","9.365","9.813","7.105","4.335","-1.227","5.36","5.716","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709"
"AR DIFF(P-B)","5.453","-0.111999999999998","-0.197999999999999","8.849","2.78","4.329","4.356","9.742","13.047","14.579","-0.65","1.279","-5.085","-4.566","-3.457","-6.526","0.918999999999999","2.188","4.899","5.049","0.499","7.357","20.017","7.556","11.563","11.273","8.22","4.404","4.176","13.778","11.702","13.391","11.721","10.579","10.721","9.692","1.128","16.402","7.618","9.55399999999999","26.112","5.255","18.253","10.007","4.637","2.229","11.315","11.525","4.685","1.177","1.648","7.99","4.467","4.471","0.0230000000000015","8.759","9.481","12.179","7.366","3.435","-0.938000000000001","0.819","1.978","1.955","4.801","8.217","8.91","7.91","4.88","9.658","11.361","4.534","4.218","7.969","6.514","5.393","3.612","5.807","7.261","8.983","5.568","-0.142","4.389","4.56","-0.91","8.493","5.309","4.893","14.145","5.951","9.215","10.386","1.558","3.133","10.643","15.466"
"P Volatility","5.33","6.09","8.37","9.41","8.63","7.59","7.98","9.58","9.53","10.85","11.43","17.81","17.18","19.68","23.93","23.28","23.54","23","23.25","25.55","24.72","26.11","22.63","21.15","17.44","14.95","15.31","14.4","25.15","31.14","30.89","29.22","32.95","29.06","26.54","24.53","23.71","28.85","17.28","17.33","17.24","15.39","15.24","15.86","13.49","11.62","15.81","14.73","8.53","8.05","8.23","8.48","8.59","7.97","7.7","9.24","9.2","10.08","9.26","12.99","12.82","16.33","17.51","17.16","17.53","17.56","17.3","18.86","18.28","18.98","19.46","18.23","18.24","17.92","18.12","17.45","22.73","26.68","25.99","25.38","27.38","24.81","20.71","19.46","17.2","20.34","19.14","19.8","24.88","21.32","22.41","20.96","19.32","18.67","20.81","23.61"
"B Volatility","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","7.83","6.27","6.88","6.88","7.42","7.43","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.73","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","1.3","2.03","0.469999999999999","1.51","-0.309999999999999","-1.37","-1.06","0.58","0.18","1.33","1.93","5.34","4.63","5.21","7.32","6.67","6.89","6.07","4.6","5.9","5.25","6.5","4.79","3.3","3.87","3","3.32","-1.34","5","7.6","6.75","6.27","9.64","4.98","1.76","-0.419999999999998","-3.37","1.72","-0.82","-0.770000000000003","2.28","0.32","-0.00999999999999979","0.91","-0.58","-0.590000000000002","2.4","3.74","0.699999999999999","1.78","1.35","1.6","1.17","0.54","0.26","2.02","1.8","2.63","2.18","3.86","3.7","4.67","4.78","4.43","4.78","4.61","3.26","4.13","3.56","4.15","4.65","3.47","3.35","3.39","3.99","2","4.61","6.41","5.51","5","6.76","4.09","0.109999999999999","-1.32","-3.29","0.309999999999999","-0.969999999999999","-0.309999999999999","4.75","1.97","2.95","1.95","0.5","-0.159999999999997","1.36","3.83"
"P Tracking Error","3.16","3.62","3.98","4.3","2.83","4.37","4.21","4.91","4.62","5.45","6.66","7.9","6.78","7.53","8.18","7.48","7.87","8.28","7.41","7.12","7.39","9.14","9.57","6.53","6.86","7.84","5.89","6.74","9.92","10.88","10.42","10.49","13.05","6.95","4.57","5.49","7.64","8.89","8.38","7.99","7.63","6.33","5.96","6.42","4.82","4.14","4.48","6.61","4.11","4.93","4.92","3.9","3.8","4.76","3.87","5.09","5.03","5.57","5.65","6.04","5.6","6.56","6.2","5.76","6.07","7.53","6.47","6.3","6.13","7.46","8.87","6.56","6.75","7.39","6.73","7.21","8.66","9.29","8.61","8.37","9.83","6.06","4.86","5.95","7.27","8.19","8.25","8.46","7.94","7.1","6.97","6.93","6.53","5.8","5.08","6.41"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
