"","1 Y 2017-08-15 to 2020-08-16","1 Y 2017-09-15 to 2020-09-16","1 Y 2017-10-16 to 2020-10-16","1 Y 2017-11-15 to 2020-11-16","1 Y 2017-12-15 to 2020-12-16","1 Y 2018-01-15 to 2021-01-16","1 Y 2018-02-15 to 2021-02-16","1 Y 2018-03-15 to 2021-03-16","1 Y 2018-04-16 to 2021-04-16","1 Y 2018-05-15 to 2021-05-16","1 Y 2018-06-15 to 2021-06-16","1 Y 2018-07-16 to 2021-07-16","1 Y 2018-08-15 to 2021-08-16","1 Y 2018-09-17 to 2021-09-16","1 Y 2018-10-15 to 2021-10-16","2 Y 2017-08-15 to 2020-08-16","2 Y 2017-09-15 to 2020-09-16","2 Y 2017-10-16 to 2020-10-16","2 Y 2017-11-15 to 2020-11-16","2 Y 2017-12-15 to 2020-12-16","2 Y 2018-01-15 to 2021-01-16","2 Y 2018-02-15 to 2021-02-16","2 Y 2018-03-15 to 2021-03-16","2 Y 2018-04-16 to 2021-04-16","2 Y 2018-05-15 to 2021-05-16","2 Y 2018-06-15 to 2021-06-16","2 Y 2018-07-16 to 2021-07-16","2 Y 2018-08-15 to 2021-08-16","2 Y 2018-09-17 to 2021-09-16","2 Y 2018-10-15 to 2021-10-16","3 Y 2017-08-15 to 2020-08-16","3 Y 2017-09-15 to 2020-09-16","3 Y 2017-10-16 to 2020-10-16","3 Y 2017-11-15 to 2020-11-16","3 Y 2017-12-15 to 2020-12-16","3 Y 2018-01-15 to 2021-01-16","3 Y 2018-02-15 to 2021-02-16","3 Y 2018-03-15 to 2021-03-16","3 Y 2018-04-16 to 2021-04-16","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-15 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16"
"P Alpha Stat","0.28","-0.79","-0.25","-0.42","-0.09","0.05","0.31","0.94","1.07","0.95","0.82","0.69","0.9","0.73","0.72","0.64","-0.22","-0.05","-0.23","-0.01","0.01","0.37","-0.25","-0.21","-0.08","-0.13","-0.09","-0.18","-0.29","-0.28","0.38","-0.18","-0.07","-0.16","-0.03","0.02","0.29","-0.23","-0.21","0.03","-0.02","0.02","-0.04","-0.14","-0.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.18","1.1","1.05","1.03","1.02","1.03","1.2","0.9","0.75","0.77","0.83","0.81","0.8","0.87","0.89","1.11","1.06","1.05","1.04","1.02","1.03","1.12","1.1","1.03","0.99","1.02","1","1","1.04","1.04","1.07","1.04","1.03","1.02","1.02","1.03","1.12","1.1","1.04","0.98","1","0.99","1","1.05","1.04"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","82.66","97.51","96.75","93.56","95.99","96.46","92.33","79.53","62.53","62.85","77.55","74.2","67.52","61.39","61.72","86.58","97.3","97.06","95.09","96.29","96.6","92.29","91.83","90.09","89.07","92.32","92.18","88.36","88.53","88.52","85.17","96.65","96.66","94.85","96.59","96.97","93.62","93.36","91.98","91.61","93.69","93.83","91.63","91.66","90.98"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.7849","-37.9059","-36.9609","-37.8525","-37.2627","-36.4979","-38.2255","-13.7272","-9.8899","-9.6474","-7.5758","-7.3627","-7.2144","-6.3286","-6.4905","-38.7849","-37.9059","-36.9609","-37.8525","-37.2627","-36.4979","-38.2255","-39.4579","-38.3247","-37.5026","-37.1544","-36.9431","-37.4222","-38.4291","-38.1174","-38.7849","-37.9059","-36.9609","-37.8525","-37.2627","-36.4979","-38.2255","-39.4579","-38.3247","-37.5026","-37.1544","-36.9431","-37.4222","-38.4291","-38.1174"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-7.4772","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.8599","-3.98090000000001","-3.03590000000001","-3.9275","-3.33770000000001","-2.5729","-4.3005","-2.1903","-0.285400000000001","-0.0428999999999995","2.0287","2.2418","2.3901","1.1486","0.9867","-4.8599","-3.98090000000001","-3.03590000000001","-3.9275","-3.33770000000001","-2.5729","-4.3005","-5.53290000000001","-4.3997","-3.5776","-3.22940000000001","-3.0181","-3.4972","-4.5041","-4.19240000000001","-4.8599","-3.98090000000001","-3.03590000000001","-3.9275","-3.33770000000001","-2.5729","-4.3005","-5.53290000000001","-4.3997","-3.5776","-3.22940000000001","-3.0181","-3.4972","-4.5041","-4.19240000000001"
