"","1 Y 2015-06-15 to 2017-06-16","1 Y 2015-07-15 to 2017-07-16","1 Y 2015-08-17 to 2017-08-16","1 Y 2015-09-15 to 2017-09-16","1 Y 2015-10-15 to 2017-10-16","1 Y 2015-11-16 to 2017-11-16","1 Y 2015-12-15 to 2017-12-16","1 Y 2016-01-15 to 2018-01-16","1 Y 2016-02-15 to 2018-02-16","1 Y 2016-03-15 to 2018-03-16","1 Y 2016-04-15 to 2018-04-16","1 Y 2016-05-16 to 2018-05-16","1 Y 2016-06-15 to 2018-06-16","1 Y 2016-07-15 to 2018-07-16","1 Y 2016-08-15 to 2018-08-16","1 Y 2016-09-15 to 2018-09-16","1 Y 2016-10-17 to 2018-10-16","1 Y 2016-11-15 to 2018-11-16","1 Y 2016-12-15 to 2018-12-16","1 Y 2017-01-16 to 2019-01-16","1 Y 2017-02-15 to 2019-02-16","1 Y 2017-03-15 to 2019-03-16","1 Y 2017-04-17 to 2019-04-16","1 Y 2017-05-15 to 2019-05-16","1 Y 2017-06-15 to 2019-06-16","1 Y 2017-07-17 to 2019-07-16","1 Y 2017-08-15 to 2019-08-16","1 Y 2017-09-15 to 2019-09-16","1 Y 2017-10-16 to 2019-10-16","1 Y 2017-11-15 to 2019-11-16","1 Y 2017-12-15 to 2019-12-16","1 Y 2018-01-15 to 2020-01-16","1 Y 2018-02-15 to 2020-02-16","1 Y 2018-03-15 to 2020-03-16","1 Y 2018-04-16 to 2020-04-16","1 Y 2018-05-15 to 2020-05-16","1 Y 2018-06-15 to 2020-06-16","1 Y 2018-07-16 to 2020-07-16","1 Y 2018-08-15 to 2020-08-16","1 Y 2018-09-17 to 2020-09-16","1 Y 2018-10-15 to 2020-10-16","1 Y 2018-11-15 to 2020-11-16","1 Y 2018-12-17 to 2020-12-16","1 Y 2019-01-15 to 2021-01-16","1 Y 2019-02-15 to 2021-02-16","1 Y 2019-03-15 to 2021-03-16","1 Y 2019-04-15 to 2021-04-16","1 Y 2019-05-15 to 2021-05-16","1 Y 2019-06-17 to 2021-06-16","1 Y 2019-07-15 to 2021-07-16","1 Y 2019-08-15 to 2021-08-16","1 Y 2019-09-16 to 2021-09-16","2 Y 2015-06-15 to 2017-06-16","2 Y 2015-07-15 to 2017-07-16","2 Y 2015-08-17 to 2017-08-16","2 Y 2015-09-15 to 2017-09-16","2 Y 2015-10-15 to 2017-10-16","2 Y 2015-11-16 to 2017-11-16","2 Y 2015-12-15 to 2017-12-16","2 Y 2016-01-15 to 2018-01-16","2 Y 2016-02-15 to 2018-02-16","2 Y 2016-03-15 to 2018-03-16","2 Y 2016-04-15 to 2018-04-16","2 Y 2016-05-16 to 2018-05-16","2 Y 2016-06-15 to 2018-06-16","2 Y 2016-07-15 to 2018-07-16","2 Y 2016-08-15 to 2018-08-16","2 Y 2016-09-15 to 2018-09-16","2 Y 2016-10-17 to 2018-10-16","2 Y 2016-11-15 to 2018-11-16","2 Y 2016-12-15 to 2018-12-16","2 Y 2017-01-16 to 2019-01-16","2 Y 2017-02-15 to 2019-02-16","2 Y 2017-03-15 to 2019-03-16","2 Y 2017-04-17 to 2019-04-16","2 Y 2017-05-15 to 2019-05-16","2 Y 2017-06-15 to 2019-06-16","2 Y 2017-07-17 to 2019-07-16","2 Y 2017-08-15 to 2019-08-16","2 Y 2017-09-15 to 2019-09-16","2 Y 2017-10-16 to 2019-10-16","2 Y 2017-11-15 to 2019-11-16","2 Y 2017-12-15 to 2019-12-16","2 Y 2018-01-15 to 2020-01-16","2 Y 2018-02-15 to 2020-02-16","2 Y 2018-03-15 to 2020-03-16","2 Y 2018-04-16 to 2020-04-16","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-15 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-15 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.944","18.866","18.567","21.096","27.922","32.123","31.48","34.046","24.368","24.968","27.021","20.359","27.142","26.766","25.201","30.32","18.391","7.214","1.303","-3.886","4.449","2.318","11.365","5.595","0.762","6.394","-2.485","0.919","5.036","20.225","36.739","34.129","29.938","-12.887","1.033","20.373","29.76","24.846","40.895","36.695","49.644","44.602","48.818","44.856","49.769","102.285","71.715","50.924","42.114","43.722","37.865","45.91","11.414","10.21","10.38","13.031","16.73","18.884","18.132","27.39","23.706","22.825","22.435","21.584","26.364","23.713","22.598","27.412","24.913","21.038","13.672","12.993","15.521","15.533","21.01","15.97","14.925","15.606","11.298","14.805","11.328","14.648","14.125","13.77","15.023","-4.55","4.905","15.51","17.889","17.594","23.843","22.751","29.675","31.363","40.134","38.588","37.464","30.062","31.746","27.314","27.463","28.195","27.332","30.079"
"B Annualized Returns","17.092","13.658","13.312","16.438","20.336","18.774","18.292","22.06","16.402","15.564","14.04","13.404","14.274","13.838","15.096","16.403","9.864","5.826","-1.963","-5.774","1.626","2.735","8.56","5.652","3.755","7.347","1.689","3.789","6.398","14.294","25.432","26.785","23.106","-15.812","-3.479","-0.439","8.135","7.745","18.445","12.636","16.206","16.219","15.933","13.611","13.991","61.478","49.505","46.323","35.17","34.569","32.559","32.074","7.629","8.026","8.348","11.94","12.143","12.295","14.433","21.546","19.08","16.513","13.425","14.775","15.839","13.757","14.201","16.337","14.973","12.113","7.22","7.243","8.696","8.78","11.262","9.459","8.956","10.54","8.185","9.489","8.117","10.306","9.198","9.299","11.264","-6.875","1.707","2.561","6.147","6.982","9.396","8.256","11.362","15.108","20.572","20.017","17.848","16.648","20.127","20.997","20.899","20.412","24.492","23.14"
"AR DIFF(P-B)","6.852","5.208","5.255","4.658","7.586","13.349","13.188","11.986","7.966","9.404","12.981","6.955","12.868","12.928","10.105","13.917","8.527","1.388","3.266","1.888","2.823","-0.417","2.805","-0.0570000000000004","-2.993","-0.953","-4.174","-2.87","-1.362","5.931","11.307","7.344","6.832","2.925","4.512","20.812","21.625","17.101","22.45","24.059","33.438","28.383","32.885","31.245","35.778","40.807","22.21","4.601","6.944","9.153","5.306","13.836","3.785","2.184","2.032","1.091","4.587","6.589","3.699","5.844","4.626","6.312","9.01","6.809","10.525","9.956","8.397","11.075","9.94","8.925","6.452","5.75","6.825","6.753","9.748","6.511","5.969","5.066","3.113","5.316","3.211","4.342","4.927","4.471","3.759","2.325","3.198","12.949","11.742","10.612","14.447","14.495","18.313","16.255","19.562","18.571","19.616","13.414","11.619","6.317","6.564","7.783","2.84","6.939"
"P Volatility","7.68","7.59","7.69","7.43","5.79","5.62","5.06","5.38","6.87","9.13","10.23","10.05","9.66","9.87","9.96","10.65","10.63","16.86","15.87","18.28","23.83","23.21","24.16","24.09","25.5","28.99","28.03","28.38","25.41","24.88","20.63","17.99","16.04","16.58","24.81","28.51","29.1","27.61","28.56","30.29","29.73","28.07","29.91","30.89","31.08","22.05","18.15","16.42","16.61","14.85","13.88","12.98","11.5","11.08","10.08","9.86","9.83","9.95","10.18","7.7","7.86","8.32","8.9","8.76","8.66","8.44","8.38","8.95","8.25","12.55","11.74","14.6","17.52","17.23","17.86","17.98","18.82","20.97","20.58","20.96","21.42","21.08","21.43","21.02","19.95","20.15","23.83","25.13","25.72","25.12","25.37","26.72","24.36","23.16","22.49","22.53","23.88","23.92","22.92","21.95","21.1","20","18.82","19.24"
"B Volatility","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.37","11.33","10.37","9.84","8","7.99","7.83","6.27","6.8","6.88","7.42","7.43","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","1.44","1.89","2.07","1.86","1.54","1.83","1.03","1.32","1.33","1.23","1.29","1.09","0.620000000000001","0.869999999999999","0.610000000000001","1.13","1.13","4.39","3.32","3.81","7.15","6.6","7.51","7.16","6.85","9.34","8.56","8.77","7.57","7.03","7.06","6.04","4.05","0.839999999999998","4.66","4.97","6.18","4.66","5.25","6.21","4.95","3.12","2.83","3.76","6.55","4.27","3.58","1.73","1.74","0.279999999999999","0.220000000000001","1.25","0.130000000000001","-0.25","-0.289999999999999","0.0199999999999996","1.83","1.96","2.35","1.43","1.06","1.44","1.48","1.33","1.22","1.22","0.98","1.5","1.17","3.42","2.62","2.94","4.89","4.5","5.11","5.03","4.78","6.24","5.86","6.13","6.61","6.32","6.54","6.49","5.82","4.7","5.71","4.86","5.24","4.74","4.75","5.61","3.76","2.38","2","2.5","3.87","3.87","2.92","2.74","2.23","1.13","0.140000000000001","0.539999999999999"
"P Tracking Error","4","4.08","4.47","4.91","6.02","5.26","4.84","4.47","4.09","4.32","5.09","4.05","4.64","4.34","5.4","5.99","5.97","7.22","6.12","6.51","8.63","7.87","8.86","8.7","8.47","10.31","9.68","10.38","9.15","8.66","8.11","7.45","5.43","6.29","8.94","9.01","10.63","9.05","10.56","11.31","9.37","7.97","7.2","7.72","10.11","9.37","10.08","8.84","8.9","10.16","9.45","8.77","4.76","4.73","4.21","4.27","4.81","4.65","4.99","4.33","4.6","4.61","4.76","4.4","4.75","4.39","4.88","5.54","5.45","5.66","5.1","5.21","6.61","6.38","7.02","7.09","6.78","7.94","7.91","8.32","8.62","8.37","8.37","8.35","7.39","8.31","8.94","8.39","9.23","7.92","8.63","10.11","8.18","7.42","7.16","7.35","8.1","8.31","8.38","8.27","8.33","9.14","8.66","7.7"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
