"","2018-06-28_to_2019-06-29_GrowthPortfolio_20QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_20QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_20QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_20QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_20QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_20QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_20QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_20QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_20QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_20QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_20QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_20QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_20QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_20QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_20QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_20QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_20QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_20QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_20QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_20QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_20QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_20QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_20QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_20QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_20QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_20QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_20QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_20QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_20QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.178","13.885","4.156","2.004","23.625","23.324","40.139","34.063","15.65","2.02","14.094","25.89","15.954","24.074","33.897","31.165","28.303","32.793","36.517","38.634","48.666","67.726","58.973","44.724","52.209","43.004","42.281","39.701","49.063","35.897"
"B Annualized Returns","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","3.878","6.071","3.794","0.359","8.646","8.598","9.7","10.071","9.554","11.751","14.309","16.73","12.946","15.934","13.948","19.114","19.66","16.911","20.817","25.521","22.322","16.37","15.702","5.962","11.644","7.382","13.647","9.001","9.932","7.268"
"P Volatility","23.96","25.46","24.38","23.38","19.18","19","13.39","12.77","10.83","13.71","18.06","22.95","24.24","23.3","23.72","23.42","24.09","24","25.5","27.75","19.4","19.6","16.12","15.21","15.53","14.49","13.91","12.82","15.84","13.71"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","5.31","5.81","4.91","3.77","1.34","1.15","-0.18","0.82","-1.16","-2.03","-2.09","-0.59","0.0999999999999979","0.350000000000001","0.41","-0.659999999999997","-0.690000000000001","-0.949999999999999","-1.58","0.620000000000001","1.3","1.5","1.16","0.140000000000001","0.279999999999999","-0.459999999999999","-0.16","0.609999999999999","2.43","2.72"
"P Tracking Error","7.86","7.57","6.41","5.6","4.7","4.68","4.8","4.41","5.3","5.76","5.55","5.99","7","6.63","8.1","6.64","5.99","6.54","6.04","4.62","6.04","5.38","7.05","5.54","5.7","6.2","5.63","5.34","5.09","5.38"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.49","0.8","0.59","0.06","1.84","1.84","2.02","2.28","1.8","2.04","2.58","2.79","1.85","2.4","1.72","2.88","3.28","2.59","3.45","5.52","3.7","3.04","2.23","1.08","2.04","1.19","2.42","1.69","1.95","1.35"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.21","0.43","0.25","0.32","0.4","0.5","0.83","0.45","0.84","0.89","0.86","0.92","1.33","1.06","1.3","1.33","1.45","1.38","1.54","1.98","1.21","1.27","1.05","0.59","0.47","0.71","1.02","0.97","0.19","0.14"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.24","1.26","1.23","1.17","1.04","1.03","0.92","1","0.81","0.81","0.86","0.94","0.96","0.97","0.96","0.93","0.94","0.93","0.92","1.01","1.02","1.04","0.97","0.94","0.95","0.88","0.91","0.96","1.13","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.8","94.83","96.05","95.88","93.51","93.38","86.38","86.77","78.27","85.56","92.09","92.81","90.77","91.08","87.23","91.57","93.52","92.36","94.59","96.93","89.24","91.79","78.81","85.63","85.31","81.24","82.72","80.92","89.79","84.64"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
