"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","4.387","-2.677","-6.433","2.31","2.405","7.336","5.555","3.406","8.639","3.526","7.887","12.281","15.407","25.111","27.489","20.641","-7.962","-12.01","-10.522","-0.944","-2.442","10.002","4.409","12.495","9.078","6.75","7.216","8.807","81.33","63.481","64.047","46.11","42.39","39.228","44.354"
"B Annualized Returns","6.456","-1.963","-6.315","1.626","2.735","8.529","5.145","3.755","7.736","1.037","3.535","8.903","14.294","21.946","26.012","23.106","-3.47","-4.255","-0.439","6.14","7.407","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.322","38.479","35.129","32.572","34.539"
"AR DIFF(P-B)","-2.069","-0.714","-0.117999999999999","0.684","-0.33","-1.193","0.41","-0.349","0.903","2.489","4.352","3.378","1.113","3.165","1.477","-2.465","-4.492","-7.755","-10.083","-7.084","-9.849","-8.443","-9.041","-4.017","-6.698","-9.016","-6.395","-5.225","19.639","13.647","17.725","7.631","7.261","6.656","9.815"
"P Volatility","11.5","11.95","14.83","18.78","18.05","17.89","18.61","19.6","19.55","19.6","19.91","18.14","19.19","14.62","11.2","11.31","15.95","22.93","26.67","26.38","26.42","26.95","26.76","26.95","25.8","29.4","29.06","27.09","17.43","14.71","14.73","13.82","14.26","14.65","14.58"
"B Volatility","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","-0.970000000000001","-0.600000000000001","0.359999999999999","2.1","1.44","1.24","1.68","0.950000000000003","-0.0999999999999979","0.130000000000003","0.300000000000001","0.300000000000001","1.34","1.05","-0.75","-0.68","0.209999999999999","2.78","3.13","3.46","3.47","3.64","2.68","2.17","0.850000000000001","2.32","1.93","2.56","-0.350000000000001","0.140000000000001","0.0400000000000009","-1.05","-0.31","0.99","2.85"
"P Tracking Error","2.62","3.17","2.63","3.6","2.6","2.89","3.26","3.2","3.01","2.67","3.57","2.66","3.34","2.77","2.4","2.42","1.99","4.57","4.6","4.85","5.33","4.95","4.73","4.67","6.1","6.67","6.73","7.59","8.67","9.27","9.81","9.36","10.05","8.55","10.06"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.79","-0.23","-0.04","0.19","-0.13","-0.41","0.13","-0.11","0.3","0.93","1.22","1.27","0.33","1.14","0.62","-1.02","-2.26","-1.7","-2.19","-1.46","-1.85","-1.71","-1.91","-0.86","-1.1","-1.35","-0.95","-0.69","2.27","1.47","1.81","0.82","0.72","0.78","0.98"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.26","-0.08","-0.01","0","-0.09","-0.15","-0.04","-0.05","0.08","0.21","0.54","0.36","0.03","0.19","0.18","-0.06","-0.04","-0.43","-0.86","-0.71","-0.84","-0.78","-1.12","-0.47","-0.58","-0.76","-0.64","-1.05","1.22","1.39","1.23","1.53","1.22","0.99","1.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.92","1.01","1.11","1.08","1.06","1.09","1.04","0.98","1","1","1.01","1.06","1.06","0.92","0.92","1.01","1.12","1.12","1.14","1.14","1.15","1.1","1.07","1","1.06","1.04","1.06","0.86","0.81","0.78","0.73","0.74","0.88","0.9"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.45","92.96","96.52","96.99","98.27","97.48","97.26","97.18","97.41","97.94","96.42","97.61","96.99","96.36","95.73","95.6","98.27","96.85","98","97.9","97.02","98.03","97.39","97.18","93.79","94.6","94.22","91.63","74.7","59.92","56.09","58.15","52.55","63.55","47.7"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.0705","-10.7849","-19.3379","-20.6194","-20.0159","-19.4843","-19.4813","-19.6192","-18.4059","-18.1652","-17.9823","-15.0866","-15.9699","-9.5319","-5.9006","-5.7811","-28.7061","-38.608","-38.6222","-38.2194","-38.8838","-38.2102","-38.1033","-37.9594","-37.8409","-38.3007","-38.1889","-38.4542","-14.2597","-10.5882","-11.1175","-6.8691","-6.7706","-7.1576","-6.5606"
"B Max Drawdown","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-9.5713","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4772"
"MD DIFF(P-B)","-0.911","0.5023","0.440299999999997","-0.841200000000001","-0.2377","0.293899999999997","0.296899999999997","0.158999999999999","1.3723","1.613","1.7959","1.36","-0.227500000000001","0.0394000000000005","0.9356","1.055","-1.9645","-4.683","-4.6972","-4.2944","-4.9588","-4.2852","-4.1783","-4.03440000000001","-3.9159","-4.3757","-4.2639","-4.5292","-2.7228","-0.983700000000001","-1.513","2.7353","2.8338","2.4469","0.9166"
