"","1 Y 2015-09-25 to 2018-09-26","1 Y 2015-10-26 to 2018-10-26","1 Y 2015-11-25 to 2018-11-26","1 Y 2015-12-28 to 2018-12-26","1 Y 2016-01-25 to 2019-01-26","1 Y 2016-02-25 to 2019-02-26","1 Y 2016-03-28 to 2019-03-26","1 Y 2016-04-25 to 2019-04-26","1 Y 2016-05-25 to 2019-05-26","1 Y 2016-06-27 to 2019-06-26","1 Y 2016-07-25 to 2019-07-26","1 Y 2016-08-25 to 2019-08-26","1 Y 2016-09-26 to 2019-09-26","1 Y 2016-10-25 to 2019-10-26","1 Y 2016-11-25 to 2019-11-26","1 Y 2016-12-27 to 2019-12-26","1 Y 2017-01-25 to 2020-01-26","1 Y 2017-02-27 to 2020-02-26","1 Y 2017-03-27 to 2020-03-26","1 Y 2017-04-25 to 2020-04-26","1 Y 2017-05-25 to 2020-05-26","1 Y 2017-06-26 to 2020-06-26","1 Y 2017-07-25 to 2020-07-26","1 Y 2017-08-25 to 2020-08-26","1 Y 2017-09-25 to 2020-09-26","1 Y 2017-10-25 to 2020-10-26","1 Y 2017-11-27 to 2020-11-26","1 Y 2017-12-26 to 2020-12-26","1 Y 2018-01-25 to 2021-01-26","1 Y 2018-02-26 to 2021-02-26","1 Y 2018-03-26 to 2021-03-26","1 Y 2018-04-25 to 2021-04-26","1 Y 2018-05-25 to 2021-05-26","1 Y 2018-06-25 to 2021-06-26","1 Y 2018-07-25 to 2021-07-26","1 Y 2018-08-27 to 2021-08-26","1 Y 2018-09-25 to 2021-09-26","1 Y 2018-10-25 to 2021-10-26","1 Y 2018-11-26 to 2021-11-26","2 Y 2015-09-25 to 2018-09-26","2 Y 2015-10-26 to 2018-10-26","2 Y 2015-11-25 to 2018-11-26","2 Y 2015-12-28 to 2018-12-26","2 Y 2016-01-25 to 2019-01-26","2 Y 2016-02-25 to 2019-02-26","2 Y 2016-03-28 to 2019-03-26","2 Y 2016-04-25 to 2019-04-26","2 Y 2016-05-25 to 2019-05-26","2 Y 2016-06-27 to 2019-06-26","2 Y 2016-07-25 to 2019-07-26","2 Y 2016-08-25 to 2019-08-26","2 Y 2016-09-26 to 2019-09-26","2 Y 2016-10-25 to 2019-10-26","2 Y 2016-11-25 to 2019-11-26","2 Y 2016-12-27 to 2019-12-26","2 Y 2017-01-25 to 2020-01-26","2 Y 2017-02-27 to 2020-02-26","2 Y 2017-03-27 to 2020-03-26","2 Y 2017-04-25 to 2020-04-26","2 Y 2017-05-25 to 2020-05-26","2 Y 2017-06-26 to 2020-06-26","2 Y 2017-07-25 to 2020-07-26","2 Y 2017-08-25 to 2020-08-26","2 Y 2017-09-25 to 2020-09-26","2 Y 2017-10-25 to 2020-10-26","2 Y 2017-11-27 to 2020-11-26","2 Y 2017-12-26 to 2020-12-26","2 Y 2018-01-25 to 2021-01-26","2 Y 2018-02-26 to 2021-02-26","2 Y 2018-03-26 to 2021-03-26","2 Y 2018-04-25 to 2021-04-26","2 Y 2018-05-25 to 2021-05-26","2 Y 2018-06-25 to 2021-06-26","2 Y 2018-07-25 to 2021-07-26","2 Y 2018-08-27 to 2021-08-26","2 Y 2018-09-25 to 2021-09-26","2 Y 2018-10-25 to 2021-10-26","2 Y 2018-11-26 to 2021-11-26","3 Y 2015-09-25 to 2018-09-26","3 Y 2015-10-26 to 2018-10-26","3 Y 2015-11-25 to 2018-11-26","3 Y 2015-12-28 to 2018-12-26","3 Y 2016-01-25 to 2019-01-26","3 Y 2016-02-25 to 2019-02-26","3 Y 2016-03-28 to 2019-03-26","3 Y 2016-04-25 to 2019-04-26","3 Y 2016-05-25 to 2019-05-26","3 Y 2016-06-27 to 2019-06-26","3 Y 2016-07-25 to 2019-07-26","3 Y 2016-08-25 to 2019-08-26","3 Y 2016-09-26 to 2019-09-26","3 Y 2016-10-25 to 2019-10-26","3 Y 2016-11-25 to 2019-11-26","3 Y 2016-12-27 to 2019-12-26","3 Y 2017-01-25 to 2020-01-26","3 Y 2017-02-27 to 2020-02-26","3 Y 2017-03-27 to 2020-03-26","3 Y 2017-04-25 to 2020-04-26","3 Y 2017-05-25 to 2020-05-26","3 Y 2017-06-26 to 2020-06-26","3 Y 2017-07-25 to 2020-07-26","3 Y 2017-08-25 to 2020-08-26","3 Y 2017-09-25 to 2020-09-26","3 Y 2017-10-25 to 2020-10-26","3 Y 2017-11-27 to 2020-11-26","3 Y 2017-12-26 to 2020-12-26","3 Y 2018-01-25 to 2021-01-26","3 Y 2018-02-26 to 2021-02-26","3 Y 2018-03-26 to 2021-03-26","3 Y 2018-04-25 to 2021-04-26","3 Y 2018-05-25 to 2021-05-26","3 Y 2018-06-25 to 2021-06-26","3 Y 2018-07-25 to 2021-07-26","3 Y 2018-08-27 to 2021-08-26","3 Y 2018-09-25 to 2021-09-26","3 Y 2018-10-25 to 2021-10-26","3 Y 2018-11-26 to 2021-11-26"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.291","3.619","4.32","-8.626","-4.643","5.066","5.876","10.18","1.205","3.261","6.208","1.869","4.722","18.636","23.244","42.565","27.408","15.299","-3.851","-0.082","21.677","8.969","17.129","30.821","21.336","34.637","31.279","39.561","43.591","33.692","71.961","75.06","53.575","56.629","50.782","45.279","50.874","42.686","35.684","22.05","15.02","13.135","6.127","9.527","10.358","11.02","13.113","9.519","11.277","12.617","12.635","13.418","11.953","12.718","13.456","9.808","10.888","2.139","5.722","12.216","8.614","12.552","16.893","12.291","26.903","23.742","35.826","33.958","17.56","25.65","27.812","29.747","25.817","25.238","32.753","29.824","27.697","30.257","20.762","12.073","12.504","9.793","17.666","17.292","13.819","14.9","12.953","16.073","15.255","13.642","15.366","15.885","16.063","16.206","14.265","12.69","6.423","8.488","15.113","12.506","15.82","19.672","14.556","19.096","16.388","19.887","20.269","13.653","19.57","21.577","18.784","18.448","18.404","20.496","20.576","24.532","25.204"
"B Annualized Returns","16.778","5.804","2.314","-7.906","-6.88","0.596","5.274","10.865","3.254","7.372","5.537","2.136","2.377","13.335","17.264","30.379","26.029","11.877","-12.166","-4.422","3.229","5.834","7.157","19.637","8.768","14.943","16.012","14.412","18.916","22.877","57.925","47.714","40.118","39.87","33.317","30.566","37.445","34.379","31.113","16.581","12.358","9.643","4.24","7.651","8.735","9.191","10.682","8.476","9.38","10.116","9.17","9.341","8.246","9.782","9.56","8.228","6.094","-3.503","3.051","4.031","6.417","7.109","9.045","5.524","12.253","16.636","22.351","20.73","17.073","17.776","18.722","22.317","20.931","20.548","24.982","22.462","23.095","22.381","15.745","9.315","8.362","6.302","12.073","12.72","11.197","11.911","10.541","13.427","11.472","10.427","11.635","12.003","12.522","12.473","13.13","9.716","1.874","5.417","6.898","8.131","9.322","12.128","9.15","10.555","11.824","11.264","10.725","11.271","13.717","16.174","15.951","16.231","15.374","15.799","15.142","19.043","20.653"
"AR DIFF(P-B)","5.513","-2.185","2.006","-0.72","2.237","4.47","0.602","-0.685","-2.049","-4.111","0.671","-0.267","2.345","5.301","5.98","12.186","1.379","3.422","8.315","4.34","18.448","3.135","9.972","11.184","12.568","19.694","15.267","25.149","24.675","10.815","14.036","27.346","13.457","16.759","17.465","14.713","13.429","8.307","4.571","5.469","2.662","3.492","1.887","1.876","1.623","1.829","2.431","1.043","1.897","2.501","3.465","4.077","3.707","2.936","3.896","1.58","4.794","5.642","2.671","8.185","2.197","5.443","7.848","6.767","14.65","7.106","13.475","13.228","0.486999999999998","7.874","9.09","7.43","4.886","4.69","7.771","7.362","4.602","7.876","5.017","2.758","4.142","3.491","5.593","4.572","2.622","2.989","2.412","2.646","3.783","3.215","3.731","3.882","3.541","3.733","1.135","2.974","4.549","3.071","8.215","4.375","6.498","7.544","5.406","8.541","4.564","8.623","9.544","2.382","5.853","5.403","2.833","2.217","3.03","4.697","5.434","5.489","4.551"
"P Volatility","10.12","10.15","15.17","15.12","16.6","20.54","20.96","21.73","21.11","22.82","24.52","23.95","23.13","21.73","21.18","17.42","12.02","12.54","13.84","28.52","37.7","39.29","37.82","38.09","36.48","37.87","36.51","39.26","39.17","34.27","21.82","18.65","17.35","16.18","16.89","16.38","15.4","16.61","11.37","9.44","8.55","11.14","11.21","13.52","15.13","15.28","15.84","15.48","16.88","17.71","17.52","16.98","17.11","16.62","17.59","16.15","16.2","17.1","24.42","29.65","30.99","29.94","30.19","29.4","29.18","28.34","28.49","27.67","25.29","25.95","26.46","26.28","26.33","27.12","26.1","25.82","25.76","27.03","10.62","10.04","11.8","11.6","12.71","13.73","13.55","13.81","13.62","14.69","15.14","15.04","14.64","14.65","13.93","14.57","13.65","13.9","14.56","20.33","24.47","25.44","24.64","24.84","24.17","24.51","23.77","25.05","24.98","22.69","23.45","23.86","24.57","24.75","25.2","24.48","24.39","23.44","24.53"
"B Volatility","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","7.59","7.39","9.37","9.32","11.77","13","13.1","13.1","13.39","14.14","14.43","14.43","14.56","14.52","14.47","14.59","14.29","13.9","15.36","18.32","20.44","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","19.77","10.32","9.26","10.33","10.29","10.56","11.5","11.06","11.06","11.28","11.87","12.01","12.01","12.08","12.02","11.95","12.01","12.04","11.95","13.38","15.68","17.27","17.38","17.38","17.53","17.99","18.2","18.22","18.9","18.79","18.56","18.3","18.36","18.56","18.58","18.54","18.53","18.53","18.23","18.48"
"V DIFF(P-B)","0.0999999999999996","0.200000000000001","2.35","2.35","1.86","3.12","3.98","4.78","3.71","4.24","5.64","5.21","4.25","4.68","4.09","4.86","1.83","2.45","-1.35","8.37","13.75","15.5","14","14.09","11.49","12.2","10.83","12.04","11.9","9.93","5.16","5.5","3.85","2.24","3.1","3.92","5.1","4.35","0.719999999999999","1.85","1.16","1.77","1.89","1.75","2.13","2.18","2.74","2.09","2.74","3.28","3.09","2.42","2.59","2.15","3","1.86","2.3","1.74","6.1","9.21","10.39","9.42","9.53","8.1","8.39","7.46","8.22","8.04","5.69","6.35","6.92","7.18","7.3","8.09","7.25","6.97","6.29","7.26","0.299999999999999","0.779999999999999","1.47","1.31","2.15","2.23","2.49","2.75","2.34","2.82","3.13","3.03","2.56","2.63","1.98","2.56","1.61","1.95","1.18","4.65","7.2","8.06","7.26","7.31","6.18","6.31","5.55","6.15","6.19","4.13","5.15","5.5","6.01","6.17","6.66","5.95","5.86","5.21","6.05"
"P Tracking Error","5.76","5.79","7.28","7.03","6.63","6.94","5.77","6.03","5.61","6.13","6.87","6.67","5.69","6.84","7.35","7.84","5.33","5.82","8.6","13.8","19.77","21.51","20.35","20.43","16.87","18.59","15.66","16.54","17.01","12.97","9.78","9.83","9.43","8.95","9.12","9.26","9.53","9.18","6.96","5.23","4.73","5.35","5.37","5.07","5.25","5.15","5.49","5.13","5.94","6.06","6.23","5.59","5.99","6.46","6.99","5.85","6.21","7.32","10.34","14.15","15.44","14.31","14.37","12.43","13.58","11.41","12.06","12.72","9.61","10.59","10.57","11.23","11.67","12.03","11.5","11.39","11.1","11.4","5.06","4.9","5.33","5.09","5.24","5.13","5.14","5.2","5.06","5.57","5.57","5.79","5.32","5.58","5.63","5.95","5.06","5.26","6.48","8.8","11.89","12.86","12.14","12.11","10.65","11.47","9.67","10.31","10.95","8.39","9","9.04","9.66","9.99","10.2","9.81","9.87","9.45","9.81"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
