"","2015-09-25_to_2017-09-26_ValuePortfolio_1QRank","2015-10-26_to_2017-10-26_ValuePortfolio_1QRank","2015-11-25_to_2017-11-26_ValuePortfolio_1QRank","2015-12-28_to_2017-12-26_ValuePortfolio_1QRank","2016-01-25_to_2018-01-26_ValuePortfolio_1QRank","2016-02-25_to_2018-02-26_ValuePortfolio_1QRank","2016-03-28_to_2018-03-26_ValuePortfolio_1QRank","2016-04-25_to_2018-04-26_ValuePortfolio_1QRank","2016-05-25_to_2018-05-26_ValuePortfolio_1QRank","2016-06-27_to_2018-06-26_ValuePortfolio_1QRank","2016-07-25_to_2018-07-26_ValuePortfolio_1QRank","2016-08-25_to_2018-08-26_ValuePortfolio_1QRank","2016-09-26_to_2018-09-26_ValuePortfolio_1QRank","2016-10-25_to_2018-10-26_ValuePortfolio_1QRank","2016-11-25_to_2018-11-26_ValuePortfolio_1QRank","2016-12-27_to_2018-12-26_ValuePortfolio_1QRank","2017-01-25_to_2019-01-26_ValuePortfolio_1QRank","2017-02-27_to_2019-02-26_ValuePortfolio_1QRank","2017-03-27_to_2019-03-26_ValuePortfolio_1QRank","2017-04-25_to_2019-04-26_ValuePortfolio_1QRank","2017-05-25_to_2019-05-26_ValuePortfolio_1QRank","2017-06-26_to_2019-06-26_ValuePortfolio_1QRank","2017-07-25_to_2019-07-26_ValuePortfolio_1QRank","2017-08-25_to_2019-08-26_ValuePortfolio_1QRank","2017-09-25_to_2019-09-26_ValuePortfolio_1QRank","2017-10-25_to_2019-10-26_ValuePortfolio_1QRank","2017-11-27_to_2019-11-26_ValuePortfolio_1QRank","2017-12-26_to_2019-12-26_ValuePortfolio_1QRank","2018-01-25_to_2020-01-26_ValuePortfolio_1QRank","2018-02-26_to_2020-02-26_ValuePortfolio_1QRank","2018-03-26_to_2020-03-26_ValuePortfolio_1QRank","2018-04-25_to_2020-04-26_ValuePortfolio_1QRank","2018-05-25_to_2020-05-26_ValuePortfolio_1QRank","2018-06-25_to_2020-06-26_ValuePortfolio_1QRank","2018-07-25_to_2020-07-26_ValuePortfolio_1QRank","2018-08-27_to_2020-08-26_ValuePortfolio_1QRank","2018-09-25_to_2020-09-26_ValuePortfolio_1QRank","2018-10-25_to_2020-10-26_ValuePortfolio_1QRank","2018-11-26_to_2020-11-26_ValuePortfolio_1QRank","2018-12-26_to_2020-12-26_ValuePortfolio_1QRank","2019-01-25_to_2021-01-26_ValuePortfolio_1QRank","2019-02-25_to_2021-02-26_ValuePortfolio_1QRank","2019-03-25_to_2021-03-26_ValuePortfolio_1QRank","2019-04-25_to_2021-04-26_ValuePortfolio_1QRank","2019-05-28_to_2021-05-26_ValuePortfolio_1QRank","2019-06-25_to_2021-06-26_ValuePortfolio_1QRank","2019-07-25_to_2021-07-26_ValuePortfolio_1QRank","2019-08-26_to_2021-08-26_ValuePortfolio_1QRank","2019-09-25_to_2021-09-26_ValuePortfolio_1QRank","2019-10-25_to_2021-10-26_ValuePortfolio_1QRank","2019-11-25_to_2021-11-26_ValuePortfolio_1QRank"
"P Information Ratio","0.83","0.46","0.37","0.68","1.53","1.85","2.29","0.68","-0.36","2.54","1.27","0.84","-0.16","-0.37","0.68","1.05","0.38","-0.46","-0.59","-0.19","0.42","0.47","0.68","-0.59","-0.38","-0.35","-0.39","-0.05","0.46","0.41","-1.78","-1.07","-1.1","-0.75","-1.14","-0.22","0.47","0.93","0.18","-0.07","-0.45","-0.34","0.42","0.16","0.72","0.98","0.69","0.67","0.35","0.53","0.49"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0","-0.19","-0.09","0.06","0.28","0.37","0.65","0.36","0.1","0.77","0.62","0.38","0.22","0.17","0.43","0.66","0.2","-0.23","-0.41","-0.18","0.01","0.22","0.44","-0.25","-0.1","0.01","-0.19","0.04","0.29","0.39","-0.42","-0.45","-0.59","-0.48","-1.23","-0.27","0.17","0.29","-0.21","-0.99","-0.72","-0.38","0","-0.04","0.05","0.23","0.04","-0.11","-0.34","-0.05","0.1"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.5","1.54","1.22","1.24","1.53","1.43","1.22","0.88","0.79","1.12","1.04","0.95","0.8","0.74","0.76","0.83","0.82","1","1.18","1.17","1.2","1.06","1","1.11","0.98","1","1","0.94","0.8","0.73","0.93","1.14","1.15","1.26","1.33","1.37","1.31","1.36","1.47","1.62","1.29","1.18","1.11","1.2","1.48","1.58","1.68","1.69","1.36","1.37","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.41","78.01","76.34","65.98","44.53","52.08","64.94","83.2","67.79","70.93","53.88","64.78","55.47","47.42","63.08","59.88","82.88","84.34","79.69","72.54","75.33","72.72","74.03","88.88","88.77","88.27","87.53","88.83","81.45","78.74","90.74","95.12","94.57","95.6","92.11","93.66","93.62","91.49","94.08","92.42","94.19","92.83","94.06","91.34","87.46","84.16","83.02","79.26","88.85","88.11","92.91"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.7399","-23.3583","-15.1836","-13.0847","-11.8102","-12.3108","-10.5504","-9.3758","-8.9949","-10.4659","-9.9325","-10.3934","-9.8062","-9.8753","-9.1562","-18.1341","-16.5538","-21.169","-25.1182","-23.9666","-23.5176","-22.9167","-20.8975","-23.1899","-19.533","-20.0681","-20.6599","-18.7825","-14.7395","-14.5996","-39.4281","-37.0024","-38.1353","-41.0984","-45.4898","-43.0941","-40.8091","-42.6396","-42.626","-46.2949","-40.7585","-37.7377","-36.9147","-37.8055","-43.2815","-42.9384","-44.9316","-50.3189","-42.753","-43.779","-35.5433"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-10.4348","-10.0532","-2.1737","-1.0906","-6.081","-2.1513","-0.3909","0.7837","1.1646","-0.3064","0.227","-0.2339","0.353299999999999","0.2842","1.0183","1.6441","3.2244","-1.3908","-5.34","-4.1884","-3.7394","-3.1385","-1.1193","-3.4117","0.245199999999997","-0.289900000000003","-0.881700000000002","0.995699999999999","5.0387","5.1786","-5.5031","-3.0774","-4.2103","-7.1734","-11.5648","-9.1691","-6.8841","-8.7146","-8.701","-12.3699","-6.8335","-3.8127","-2.98970000000001","-3.8805","-9.3565","-9.0134","-11.0066","-16.3939","-8.828","-9.85400000000001","-1.6183"
