"","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.15","26.91","28.876","26.568","2.616","7.546","-5.914","-4.945","5.108","10.185","14.014","4.549","9.33","11.169","1.758","0.157","24.867","29.285","41.638","35.015","16.137","-4.437","7.967","21.636","12.971","19.852","27.865","26.968","26.454","34.787","40.498","35.6","36.955","62.807","51.214","37.975","45.947","39.038","38.108","32.839","43.561","34.852"
"B Annualized Returns","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","11.857","13.038","10.331","10.476","-0.4","3.102","1.595","2.423","2.504","2.107","3.873","0.354","1.03","3.803","2.089","-1.483","9.748","11.707","11.456","11.096","10.041","5.294","10.673","12.771","10.095","13.315","7.916","14.338","18.744","19.462","24.492","19.898","9.011","6.227","5.122","-0.786999999999999","5.289","2.306","8.698","2.972","3.042","8.488"
"P Volatility","9.68","9.74","10.03","11.55","11.03","17.58","18.32","20.26","24.44","24.9","23.86","24.28","26.44","26.56","26.35","25.45","20.65","18.85","13.58","12.36","12.51","13.84","20.43","23.93","25.67","24.8","25.47","25.2","25.84","26.46","26.93","28.19","25.7","17.85","15.06","14.35","14.63","12.54","12.02","11.03","13.87","13.42"
"B Volatility","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","0.640000000000001","0.74","0.68","2.03","1.53","5.11","5.77","5.79","7.76","8.29","7.21","7.35","7.79","6.91","6.88","5.84","2.81","1","0.00999999999999979","0.41","0.52","-1.9","0.280000000000001","0.390000000000001","2.75","1.85","2.16","1.12","1.06","1.51","-0.149999999999999","1.06","0.859999999999999","-0.25","0.0999999999999996","-0.720000000000001","-0.619999999999999","-2.41","-2.05","-1.18","0.459999999999999","2.43"
"P Tracking Error","5.33","4.72","4.89","5.9","4.72","8","7.99","8.26","9.4","10.25","9.48","9.31","9.93","8.85","8.59","7.96","7.42","6.62","7.08","6.21","5.59","6.54","6.73","6.29","7.97","8.35","8.44","6.85","6.4","6.37","6.04","5.03","6.09","6.57","7.37","5.68","6.25","7.05","5.84","4.54","4.84","4.64"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","2.22","2.76","2.11","1.78","-0.08","0.39","0.2","0.29","0.27","0.21","0.41","0.04","0.1","0.43","0.24","-0.19","1.31","1.77","1.62","1.79","1.8","0.81","1.59","2.03","1.27","1.59","0.94","2.09","2.93","3.06","4.05","3.96","1.48","0.95","0.69","-0.14","0.85","0.33","1.49","0.65","0.63","1.83"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.09","1.08","0.68","0.7","0.53","0.21","0.23","0.29","0.04","0.16","0.04","-0.1","-0.04","0.33","0.26","0.18","0.44","0.56","1.04","0.66","0.54","0.67","0.68","0.6","0.92","0.89","0.76","0.9","1.32","1.41","1.62","1.49","0.8","0.91","0.73","0.33","0.27","0.55","0.93","0.75","0.19","0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.95","0.94","1.04","1.05","1.29","1.36","1.32","1.41","1.43","1.36","1.38","1.36","1.31","1.32","1.26","1.08","0.99","0.86","0.9","0.94","0.8","0.96","0.98","1.07","1.02","1.03","1.01","1.01","1.03","0.97","1.02","1","0.92","0.89","0.88","0.88","0.74","0.78","0.84","0.97","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","67.27","74.12","73.93","71.12","79.87","81.6","85.76","87.23","92.41","90.43","89.67","91.34","91.63","93.57","94.36","93.59","86.22","86.32","71.87","73.02","78.25","80.94","88.15","92.37","89.68","87.43","87.9","91.8","93.2","93.64","94.51","96.51","93.77","85.66","74.81","84.29","81.56","75.52","81.23","84.68","86.57","88.53"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.2089","-10.2057","-10.2332","-10.4729","-15.2491","-16.2491","-25.5031","-26.0364","-27.02","-26.2102","-25.8996","-25.7374","-26.5896","-25.6567","-25.5831","-24.8965","-18.4596","-16.9792","-5.9314","-6.2404","-13.0163","-35.6011","-35.4985","-34.5977","-34.6766","-33.8052","-34.1988","-34.4148","-34.2015","-34.5452","-33.7182","-35.6263","-31.0128","-10.479","-11.0008","-10.3025","-10.8715","-10.8752","-10.1176","-9.9716","-10.4294","-9.1648"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
