"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.17","0.56","1.13","0.09","0.44","-0.17","0.11","0.43","-0.55","-1.22","-0.47","0","-0.41","-0.19","-0.29","-0.04","0.21","0.76","0.83","0.79","1.1","1.23","2.23","2.21","2.25","1.63","1.79","1.35","2.02","0.61","0.85","0.99","1.23","0.44","0.55","0.03","0.13","0.68","0.13","-0.69","-0.43","-0.22","-0.4","-0.23","-0.22","-0.07","0.07","0.28","0.62","0.39","0.27","0.26","0.47","0.59","0.41","0.3","0.47","0.43","0.33","0.37"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.12","0.32","0.43","0.33","-0.17","-0.27","-0.12","0.02","-0.47","-0.02","-0.53","-0.42","-0.04","-0.15","-0.24","-0.41","0.26","0.34","0.44","0.72","-0.26","1.1","1.05","0.58","0.8","0.8","0.61","0.18","0.9","1.33","0.27","0.41","0.42","0.27","0.15","0.02","0.11","0.19","-0.04","-0.07","-0.46","-0.35","-0.11","-0.15","-0.14","-0.26","-0.03","-0.03","-0.1","-0.07","-0.27","-0.16","0.16","-0.05","-0.12","-0.03","-0.22","-0.11","-0.1","-0.12"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.21","1.21","1.2","1.21","1.2","1.16","1.02","0.96","0.82","1.22","1.27","1.28","1.31","1.34","1.29","1.31","1.29","1.34","1.32","1.4","1.17","1.22","1.13","1.11","1.09","1.15","1.24","1.02","0.61","1.07","1.1","1.1","1.09","1.09","1.08","1.06","1.05","1.01","1","1.18","1.2","1.21","1.24","1.27","1.22","1.28","1.26","1.32","1.29","1.28","1.29","1.31","1.31","1.32","1.32","1.37","1.34","1.29","1.3"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.16","95.44","95","95.67","90.8","91.83","84.56","75.11","74.37","83.01","89.31","92.04","89.55","88.35","88.93","88.73","88.17","88.7","89.99","90.63","91.83","81.93","78.42","75.19","76.25","76.11","68.64","66.16","63.13","42.19","86.3","86.65","86.32","87.73","85.8","86.82","86.88","86.6","85.65","89.18","91.31","92.49","90.72","90.23","90.6","90.26","89.4","89.73","89.42","88.3","88.77","88.38","90.41","87.87","87.55","88.25","86.71","86.6","85.03","84.4"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.0391","-19.8634","-19.7735","-19.2767","-15.4919","-13.596","-6.5393","-6.439","-12.7074","-35.9886","-35.2583","-35.6561","-35.2662","-36.1608","-36.6699","-36.4507","-37.1736","-36.5457","-37.2159","-36.7961","-30.9851","-8.288","-8.4826","-8.421","-8.2119","-8.3963","-7.9908","-6.5469","-4.97","-4.8684","-20.0391","-19.8634","-19.7735","-19.627","-19.7343","-20.0706","-19.5206","-18.3971","-18.5132","-35.9886","-35.2583","-35.6561","-35.2662","-36.1608","-36.6699","-36.4507","-37.1736","-36.5457","-37.2159","-36.7961","-36.8648","-36.7727","-36.3553","-36.5369","-37.0925","-36.8736","-37.9891","-37.6511","-37.6985","-38.3603"
"B Max Drawdown","-16.4756","-16.4757","-16.4756","-16.326","-13.0069","-12.2737","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125","-16.4756","-16.4757","-16.4756","-16.4757","-16.4757","-16.4757","-16.4756","-16.4756","-16.4757","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.5635","-3.3877","-3.2979","-2.9507","-2.485","-1.3223","0.2968","0.3971","-0.676299999999999","-2.0636","-1.3333","-1.7311","-1.3412","-2.2358","-2.7449","-2.5257","-3.2486","-2.6207","-3.2909","-2.87110000000001","-2.4648","1.3165","1.1219","1.1835","1.3925","1.2082","1.6137","0.9","0.242500000000001","0.3441","-3.5635","-3.3877","-3.2979","-3.1513","-3.2586","-3.5949","-3.045","-1.9215","-2.0375","-2.0636","-1.3333","-1.7311","-1.3412","-2.2358","-2.7449","-2.5257","-3.2486","-2.6207","-3.2909","-2.87110000000001","-2.93980000000001","-2.8477","-2.4303","-2.61190000000001","-3.1675","-2.94860000000001","-4.0641","-3.7261","-3.77350000000001","-4.43530000000001"
