"","1 Y 2016-12-28 to 2018-12-29","1 Y 2017-01-30 to 2019-01-29","1 Y 2017-02-28 to 2019-03-01","1 Y 2017-03-28 to 2019-03-29","1 Y 2017-04-28 to 2019-04-29","1 Y 2017-05-30 to 2019-05-29","1 Y 2017-06-28 to 2019-06-29","1 Y 2017-07-28 to 2019-07-29","1 Y 2017-08-28 to 2019-08-29","1 Y 2017-09-28 to 2019-09-29","1 Y 2017-10-30 to 2019-10-29","1 Y 2017-11-28 to 2019-11-29","1 Y 2017-12-28 to 2019-12-29","1 Y 2018-01-29 to 2020-01-29","1 Y 2018-02-28 to 2020-02-29","1 Y 2018-03-28 to 2020-03-29","1 Y 2018-04-30 to 2020-04-29","1 Y 2018-05-29 to 2020-05-29","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2016-12-28 to 2018-12-29","2 Y 2017-01-30 to 2019-01-29","2 Y 2017-02-28 to 2019-03-01","2 Y 2017-03-28 to 2019-03-29","2 Y 2017-04-28 to 2019-04-29","2 Y 2017-05-30 to 2019-05-29","2 Y 2017-06-28 to 2019-06-29","2 Y 2017-07-28 to 2019-07-29","2 Y 2017-08-28 to 2019-08-29","2 Y 2017-09-28 to 2019-09-29","2 Y 2017-10-30 to 2019-10-29","2 Y 2017-11-28 to 2019-11-29","2 Y 2017-12-28 to 2019-12-29","2 Y 2018-01-29 to 2020-01-29","2 Y 2018-02-28 to 2020-02-29","2 Y 2018-03-28 to 2020-03-29","2 Y 2018-04-30 to 2020-04-29","2 Y 2018-05-29 to 2020-05-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-7.628","-5.686","6.978","7.881","10.702","5.183","11.764","10.409","3.493","5.752","18.958","17.983","33.257","26.872","4.187","-12.584","-4.485","2.812","-4.488","3.286","9.935","1.701","2.106","12.614","12.852","10.816","27.683","56.107","47.857","44.316","44.846","38.238","36.296","37.321","42.236","28.419","5.492","8.406","9.02","10.735","11.538","8.286","10.483","11.235","10.709","9.929","9.647","10.122","11.252","9.648","4.797","-2.724","2.657","2.328","2.323","5.777","5.997","3.686","8.534","14.013","21.051","15.535","17.496","17.289","17.423","21.02","16.362","17.986","22.418","19.796","21.035","19.278"
"B Annualized Returns","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.64","14.979","14.726","30.182","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","5.11","7.595","8.175","9.565","11.087","7.406","9.786","10.53","9.339","8.639","8.657","9.365","9.813","7.105","4.335","-1.227","5.36","5.716","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709"
"AR DIFF(P-B)","-0.119","1.797","2.272","0.553","-0.470000000000001","1.72","3.464","2.595","3.131","4.112","3.979","3.257","3.075","2.88","-1.909","-2.853","-4.27","-6.348","-7.496","-4.854","-10.014","-10.35","-6.537","-2.711","-2.848","-2.297","1.339","4.751","4.586","5.554","4.281","2.616","6.886","6.621","3.105","-0.210000000000001","0.382","0.811000000000001","0.844999999999999","1.17","0.451000000000001","0.88","0.697000000000001","0.705","1.37","1.29","0.99","0.757","1.439","2.543","0.462","-1.497","-2.703","-3.388","-3.649","-2.049","-3.722","-3.117","-2.547","-1.14","-0.914000000000001","-2.167","-0.447000000000003","-1.049","-2.144","-1.888","-3.994","-3.118","-2.54","-1.221","-1.911","-2.431"
"P Volatility","12.33","14.14","17.13","16.87","17.1","17.6","18.81","20.16","19.99","19.23","16.94","17.34","13.19","11.34","11.45","15.49","22.85","26","26.71","25.29","26.07","25.84","26.51","27.5","30.25","30.46","16.79","16.24","13.84","13.59","13.74","14.03","14.56","14.2","14.85","11.3","9.24","11.42","12.73","12.61","12.71","13.04","13.74","14.77","14.73","14.18","13.96","13.96","14.53","14.48","13.86","15.73","20.14","21.76","22.03","21.64","22.2","21.97","21.85","22.52","22.69","22.03","21.61","20.81","21.66","20.66","21.11","20.72","21.2","21.34","21.09","21.49"
"B Volatility","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","9.12","11.66","12.73","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","-0.220000000000001","-0.33","0.52","0.260000000000002","0.450000000000003","0.670000000000002","0.16","0.510000000000002","0.52","-0.379999999999999","-0.899999999999999","-0.510000000000002","-0.380000000000001","-0.609999999999999","-0.540000000000001","-0.25","2.7","2.46","2.57","2.34","2.76","1.76","1.73","2.55","3.17","3.33","-1.31","-1.86","-1.12","-1.48","-1.51","-0.92","0.49","1.99","1.44","0.31","0.120000000000001","-0.24","0","-0.120000000000001","-0.0399999999999991","0.0899999999999999","-0.299999999999999","0.0399999999999991","0.00999999999999979","-0.65","-0.85","-0.799999999999999","-0.360000000000001","-0.0499999999999989","-0.270000000000001","0.280000000000001","2.02","1.49","1.55","1.26","1.58","1.25","1.25","1.74","2.2","2","1.5","0.699999999999999","1.53","1.31","1.65","1.71","2.38","2.51","1.64","1.71"
"P Tracking Error","3.12","2.77","2.69","2.59","2.63","2.73","3.04","3","2.86","2.12","2.48","3.2","3.57","3.82","1.96","1.51","3.73","4.01","4.46","4.32","4.53","4.75","5.44","6.66","6.77","6.87","4.72","5.85","6.51","6.07","5.92","6.39","4.97","4.58","3.57","3.87","2.45","2.38","2.63","2.59","2.73","2.85","3","2.99","2.97","2.61","2.81","3.09","3.16","3.29","2.52","1.9","3.32","3.46","3.7","3.59","3.79","4.47","4.31","4.79","4.85","4.83","4.76","4.94","5.86","5.3","5.74","5.59","5.63","4.85","4.54","4.76"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
