"","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.988","22.403","26.963","20.968","5.365","6.422","-7.323","-1.942","6.109","8.179","9.515","2.462","6.641","6.067","-1.56","0.798","13.064","13.497","30.528","21.47","3.17","-16.827","-6.207","5.81","-2.811","3.237","16.548","10.524","4.825","19.184","17.802","21.683","36.842","98.197","78.216","64.318","65.121","55.791","50.903","56.028","65.43","38.572"
"B Annualized Returns","11.584","14.668","18.568","16.233","5.233","3.104","-7.224","-7.5","1.753","7.378","10.656","5.006","8.345","7.278","-0.952","2.189","14.179","17.14","30.272","22.755","6.675","-6.249","-2.199","8.341","5.446","7.251","20.659","9.197","11.557","17.103","14.811","14.484","28.644","49.665","45.449","38.363","40.387","35.872","28.368","32.67","34.241","30.176"
"AR DIFF(P-B)","9.404","7.735","8.395","4.735","0.132000000000001","3.318","-0.0990000000000002","5.558","4.356","0.801","-1.141","-2.544","-1.704","-1.211","-0.608","-1.391","-1.115","-3.643","0.256","-1.285","-3.505","-10.578","-4.008","-2.531","-8.257","-4.014","-4.111","1.327","-6.732","2.081","2.991","7.199","8.198","48.532","32.767","25.955","24.734","19.919","22.535","23.358","31.189","8.396"
"P Volatility","9.42","9.12","9.12","9.21","9.4","12.66","12.19","15.65","19.15","19.77","19.86","19.76","20.43","22","22.14","21.72","21.59","21.72","16.43","12.79","12.4","15.76","27.25","32.89","34.44","34.52","36.54","36.33","36.39","39.32","39.28","40.47","39.2","25.5","20.39","18.53","18.79","19.5","20.52","19.71","20.21","9.39"
"B Volatility","9.54","9.48","9.84","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","26.98","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65"
"V DIFF(P-B)","-0.119999999999999","-0.360000000000001","-0.720000000000001","-0.809999999999999","-0.549999999999999","-0.16","-0.58","0.91","1.73","2.79","2.91","2.36","1.85","3.12","3.4","2.84","4.54","4.63","3.87","2.6","2.31","0.57","7.1","8.94","10.65","10.7","12.54","11.34","10.72","12.34","12.06","13.2","14.86","8.84","7.24","5.03","4.85","5.71","8.06","9.41","7.95","-1.26"
"P Tracking Error","6.46","6.14","6.86","6.48","6.12","5.86","5.72","5.85","5.79","4.77","4.62","5.14","5.01","5.42","5.77","5.46","6.97","7.18","6.4","5.79","5.7","6.08","10.27","11.6","13.78","13.6","15.25","14.56","14.61","16.19","15.79","16.14","16.81","12.36","11.87","11.01","11.53","12.28","13.63","14.51","15.35","10.35"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
