"","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"P Alpha Stat","0.41","0.56","0.59","-0.03","1.16","1.31","1.58","0.36","1.36","1.12","0.96","1.03","1.22","1.22","0.79","0.7","0.4","0.51","0.32","-0.18","0.48","0.52","0.68","0.34","0.45","0.42","0.15","0.26","0.09","0.18","0.3","0.24","0.31","0.38","0.22","-0.08","0.37","0.41","0.59","0.38","0.31","0.26","0.09","0.15","0.04","0.12","0.2","0.17"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.3","1.33","1.3","1.22","1.21","1.24","1.23","1.31","1.11","1.04","0.98","0.95","0.9","0.95","1.04","1.06","1.25","1.28","1.28","1.21","1.19","1.21","1.18","1.18","1.16","1.14","1.14","1.1","1.12","1.13","1.16","1.18","1.21","1.24","1.24","1.19","1.17","1.2","1.18","1.17","1.16","1.14","1.12","1.08","1.12","1.13","1.16","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","79.66","81.15","89.35","95.95","92.79","94.78","92.9","93.16","88.04","76.83","74.97","74.74","69.64","70.26","65.43","69.23","85.23","86.25","91.88","96.66","93.21","93.45","90.68","90.66","92.36","91.76","90.93","90.06","89.59","89.46","89.75","90.93","84.08","84.97","90.65","96.15","92.74","93.63","92","91.76","93.43","92.9","92.54","92.17","92.46","92.34","92.68","92.95"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-40.4592","-40.8117","-40.0773","-39.1689","-38.6716","-38.8451","-38.8379","-38.8112","-18.9617","-8.6175","-8.9279","-7.952","-8.0356","-8.0814","-7.8227","-7.3494","-40.4592","-40.8117","-40.0773","-39.1689","-38.6716","-38.8451","-38.8379","-38.8112","-38.2329","-37.9105","-38.301","-37.8805","-38.7125","-38.4593","-38.5576","-38.9763","-40.4592","-40.8117","-40.0773","-39.1689","-38.6716","-38.8451","-38.8379","-38.8112","-38.2329","-37.9105","-38.301","-37.8805","-38.7125","-38.4593","-38.5576","-38.9763"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-17.4702","-9.6044","-9.6044","-9.6045","-9.6045","-9.6045","-7.4772","-7.4772","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-6.53420000000001","-6.8867","-6.1523","-5.2439","-4.7466","-4.92010000000001","-4.9129","-4.8862","-1.4915","0.9869","0.676500000000001","1.6525","1.5689","1.5231","-0.3455","0.1278","-6.53420000000001","-6.8867","-6.1523","-5.2439","-4.7466","-4.92010000000001","-4.9129","-4.8862","-4.3079","-3.9855","-4.376","-3.9555","-4.7875","-4.5343","-4.6326","-5.0513","-6.53420000000001","-6.8867","-6.1523","-5.2439","-4.7466","-4.92010000000001","-4.9129","-4.8862","-4.3079","-3.9855","-4.376","-3.9555","-4.7875","-4.5343","-4.6326","-5.0513"
