"","2016-12-28_to_2017-12-29_GrowthPortfolio_6QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_6QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_6QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_6QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_6QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_6QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_6QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_6QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_6QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_6QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_6QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_6QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_6QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_6QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_6QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_6QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_6QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_6QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_6QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_6QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_6QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_6QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_6QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_6QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_6QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_6QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_6QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_6QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_6QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_6QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_6QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_6QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_6QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_6QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_6QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_6QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_6QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_6QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_6QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_6QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_6QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_6QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_6QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_6QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_6QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_6QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_6QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","28.831","33.639","23.844","26.013","23.515","24.449","27.736","27.748","32.303","28.11","2.009","8.867","-8.238","-6.109","8.168","7.671","16.697","8.182","13.385","15.024","6.01","2.604","25.02","19.84","36.665","29.951","9.206","-6.84","7.039","17.374","10.787","15.973","17.581","21.263","22.48","29.653","33.096","27.513","35.48","50.983","50.356","44.422","53.816","40.792","39.872","36.7","43.584","37.929"
"B Annualized Returns","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","9.965","8.457","12.086","14.165","11.497","12.938","15.393","13.682","13.183","12.018","-0.658","4.612","-0.728999999999999","1.374","3.462","0.343","5.525","4.719","5.085","7.21","5.648","0.959","10.041","5.114","6.226","5.959","3.11","2.891","7.254","8.214","7.779","7.833","-2.368","9.212","13.837","13.771","17.396","14.4","9.136","-0.373000000000005","7.085","5.66","13.251","5.17","11.238","6","4.453","9.3"
"P Volatility","5.16","5.34","9.01","9.18","10.31","9.67","10.04","11.18","10.54","11.25","11.43","19.16","19.16","20.3","24.9","23.7","23.21","21.84","22.73","24.95","23.6","24.06","18.22","18.46","13.04","12.73","12.59","13.13","20.08","25.96","27.07","24.44","23.61","24.85","24.56","24.34","26.87","27.98","18.12","17.71","15.07","15.03","15.66","14.02","13.78","11.9","14.5","12.96"
"B Volatility","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","1.13","1.28","1.11","1.28","1.37","0.709999999999999","1","2.18","1.19","1.73","1.93","6.69","6.61","5.83","8.29","7.09","6.56","4.91","4.08","5.3","4.13","4.45","0.379999999999999","0.609999999999999","-0.530000000000001","0.780000000000001","0.6","-2.61","-0.0700000000000003","2.42","2.93","1.49","0.300000000000001","0.770000000000003","-0.220000000000002","-0.609999999999999","-0.209999999999997","0.850000000000001","0.0199999999999996","-0.390000000000001","0.109999999999999","-0.0400000000000009","0.41","-0.93","-0.290000000000001","-0.31","1.09","1.97"
"P Tracking Error","3.58","3.83","4.28","4.41","4.75","4.39","4.13","5.54","5.49","5.59","6.08","9.08","8.9","8.29","9.82","8.76","9.1","7.77","7.52","7.39","6.7","7","6.26","6.01","6.08","5.26","3.44","5.97","7.01","7.69","8.91","8.75","7.49","6.98","6.44","6.75","6.42","4.63","6.57","7.44","6.63","5.35","6.15","6.2","5.95","4.9","6.42","4.59"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
