"","2018-06-28_to_2020-06-29_VGPortfolio_20QRank","2018-07-30_to_2020-07-29_VGPortfolio_20QRank","2018-08-28_to_2020-08-29_VGPortfolio_20QRank","2018-09-28_to_2020-09-29_VGPortfolio_20QRank","2018-10-29_to_2020-10-29_VGPortfolio_20QRank","2018-11-28_to_2020-11-29_VGPortfolio_20QRank","2018-12-28_to_2020-12-29_VGPortfolio_20QRank","2019-01-28_to_2021-01-29_VGPortfolio_20QRank","2019-02-28_to_2021-03-01_VGPortfolio_20QRank","2019-03-28_to_2021-03-29_VGPortfolio_20QRank","2019-04-29_to_2021-04-29_VGPortfolio_20QRank","2019-05-28_to_2021-05-29_VGPortfolio_20QRank","2019-06-28_to_2021-06-29_VGPortfolio_20QRank","2019-07-29_to_2021-07-29_VGPortfolio_20QRank","2019-08-28_to_2021-08-29_VGPortfolio_20QRank","2019-09-30_to_2021-09-29_VGPortfolio_20QRank","2019-10-28_to_2021-10-29_VGPortfolio_20QRank","2019-11-29_to_2021-11-29_VGPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","4.459","7.708","8.858","6.774","16.828","21.163","31.298","23.035","18.996","19.001","21.29","26.619","24.782","21.821","33.424","27.73","26.852","25.069"
"B Annualized Returns","6.004","7.826","10.017","6.968","11.931","15.153","22.381","18.472","18.321","18.707","19.595","22.448","20.724","20.916","24.958","21.017","23.024","21.709"
"AR DIFF(P-B)","-1.545","-0.117999999999999","-1.159","-0.194","4.897","6.01","8.917","4.563","0.674999999999997","0.294","1.695","4.171","4.058","0.905000000000001","8.466","6.713","3.828","3.36"
"P Volatility","24.4","24.64","25.76","26.06","25.23","25.56","25.68","24.74","23.31","23.47","23.85","24.5","23.9","23.38","24.72","23.76","23.61","23.83"
"B Volatility","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","19.67","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","3.92","4.26","5.14","4.95","4.63","4.78","5.19","4.71","3.64","3.36","3.72","5.15","4.89","4.37","5.9","4.93","4.16","4.05"
"P Tracking Error","5.41","5.76","6.67","6.63","6.53","6.56","7.12","6.67","5.51","5.45","5.64","6.35","6.49","6.6","7.77","6.59","6.73","6.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.29","-0.02","-0.17","-0.03","0.75","0.92","1.25","0.68","0.12","0.05","0.3","0.66","0.63","0.14","1.09","1.02","0.57","0.49"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.11","-0.15","-0.13","-0.19","0.08","0.18","0.22","0.05","-0.13","-0.06","-0.07","-0.12","-0.06","-0.17","0.13","0.04","0.09","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.18","1.19","1.23","1.21","1.2","1.21","1.23","1.21","1.16","1.14","1.16","1.25","1.23","1.2","1.28","1.23","1.18","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","97.11","96.9","96.47","96.33","95.76","96.07","95.35","95.35","96.13","95.95","96.11","96.97","95.83","94.32","94.3","95.58","93.71","93.22"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.2718","-38.1996","-39.2342","-39.1957","-38.904","-38.8164","-39.2413","-38.757","-38.3578","-37.9541","-38.0457","-39.2532","-38.8203","-38.6434","-40.0327","-39.2892","-38.9272","-38.7802"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.3468","-4.2746","-5.3092","-5.27070000000001","-4.97900000000001","-4.8914","-5.31630000000001","-4.832","-4.4328","-4.0291","-4.1207","-5.3282","-4.89530000000001","-4.7184","-6.1077","-5.3642","-5.0022","-4.8552"
