"","2015-12-28_to_2018-12-29_CorePortfolio_2QRank","2016-01-28_to_2019-01-29_CorePortfolio_2QRank","2016-02-29_to_2019-03-01_CorePortfolio_2QRank","2016-03-28_to_2019-03-29_CorePortfolio_2QRank","2016-04-28_to_2019-04-29_CorePortfolio_2QRank","2016-05-31_to_2019-05-29_CorePortfolio_2QRank","2016-06-28_to_2019-06-29_CorePortfolio_2QRank","2016-07-28_to_2019-07-29_CorePortfolio_2QRank","2016-08-29_to_2019-08-29_CorePortfolio_2QRank","2016-09-28_to_2019-09-29_CorePortfolio_2QRank","2016-10-28_to_2019-10-29_CorePortfolio_2QRank","2016-11-28_to_2019-11-29_CorePortfolio_2QRank","2016-12-28_to_2019-12-29_CorePortfolio_2QRank","2017-01-30_to_2020-01-29_CorePortfolio_2QRank","2017-02-28_to_2020-02-29_CorePortfolio_2QRank","2017-03-28_to_2020-03-29_CorePortfolio_2QRank","2017-04-28_to_2020-04-29_CorePortfolio_2QRank","2017-05-30_to_2020-05-29_CorePortfolio_2QRank","2017-06-28_to_2020-06-29_CorePortfolio_2QRank","2017-07-28_to_2020-07-29_CorePortfolio_2QRank","2017-08-28_to_2020-08-29_CorePortfolio_2QRank","2017-09-28_to_2020-09-29_CorePortfolio_2QRank","2017-10-30_to_2020-10-29_CorePortfolio_2QRank","2017-11-28_to_2020-11-29_CorePortfolio_2QRank","2017-12-28_to_2020-12-29_CorePortfolio_2QRank","2018-01-29_to_2021-01-29_CorePortfolio_2QRank","2018-02-28_to_2021-03-01_CorePortfolio_2QRank","2018-03-28_to_2021-03-29_CorePortfolio_2QRank","2018-04-30_to_2021-04-29_CorePortfolio_2QRank","2018-05-29_to_2021-05-29_CorePortfolio_2QRank","2018-06-28_to_2021-06-29_CorePortfolio_2QRank","2018-07-30_to_2021-07-29_CorePortfolio_2QRank","2018-08-28_to_2021-08-29_CorePortfolio_2QRank","2018-09-28_to_2021-09-29_CorePortfolio_2QRank","2018-10-29_to_2021-10-29_CorePortfolio_2QRank","2018-11-28_to_2021-11-29_CorePortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","8.33","14.901","16.674","13.147","14.298","12.718","16.931","12.915","12.312","12.441","13.463","13.366","15.568","15.679","12.311","5.674","11.292","7.026","5.916","7.994","10.778","6.961","6.4","11.202","10.959","9.051","14.211","14.079","15.728","17.145","14.74","14.958","14.27","16.828","23.377","20.381"
"B Annualized Returns","6.517","11.696","13.199","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","1.813","3.205","3.475","1.518","1.97","2.804","3.881","1.268","2.029","1.528","0.860999999999999","0.805","2.63","2.87","4.593","3.153","4.077","-1.03","-1.819","-1.631","-2.009","-2.96","-2.362","-0.265000000000001","-0.535","-0.125","1.37","-0.981","-0.997999999999999","1.094","-1.699","-1.435","-1.616","2.485","3.036","1.149"
"P Volatility","10.24","11.67","12.47","11.68","11.71","12.03","12.63","12.71","12.78","12.75","11.95","12.05","12.66","12.11","12.22","12.86","16.16","17.61","18.06","17.92","17.82","18.43","18.25","18.98","19.38","20.19","20.12","19.54","19.34","19.54","19.13","19.03","18.84","19.47","19.89","20.83"
"B Volatility","9.36","10.52","11.18","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.880000000000001","1.15","1.29","0.84","0.860000000000001","1.05","0.790000000000001","0.440000000000001","0.529999999999999","0.41","-0.280000000000001","-0.109999999999999","0.43","-0.16","0.0300000000000011","-0.5","0.720000000000001","0.559999999999999","0.859999999999999","0.73","0.41","0.669999999999998","0.260000000000002","0.91","0.379999999999999","1.32","1.68","0.969999999999999","0.690000000000001","0.759999999999998","0.349999999999998","0.290000000000003","0.120000000000001","0.73","1.45","2.12"
"P Tracking Error","2.32","2.69","2.57","2.23","2.29","2.59","2.6","2.02","2.2","2.44","2.26","2.31","2.28","2.19","3.32","3.94","4.76","3.46","3.26","3.59","3.23","3.68","3.59","3.54","3.62","3.57","3.59","4.33","3.89","3.77","3.89","4.59","4.47","4.88","4.89","4.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.78","1.19","1.35","0.68","0.86","1.08","1.49","0.63","0.92","0.63","0.38","0.35","1.15","1.31","1.38","0.8","0.86","-0.3","-0.56","-0.45","-0.62","-0.8","-0.66","-0.07","-0.15","-0.04","0.38","-0.23","-0.26","0.29","-0.44","-0.31","-0.36","0.51","0.62","0.23"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.11","0.13","0.16","0.09","0.1","0.13","0.23","0.1","0.13","0.09","0.12","0.08","0.2","0.21","0.32","0.43","0.25","-0.13","-0.12","-0.17","-0.08","-0.31","-0.23","-0.07","-0.02","-0.03","0.04","-0.12","-0.08","0.06","-0.07","-0.08","-0.08","0.2","0.11","-0.01"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.08","1.1","1.06","1.06","1.07","1.04","1.02","1.03","1.01","0.96","0.97","1.02","0.97","0.97","0.92","1","1.01","1.03","1.02","1.01","1.02","1","1.03","1","1.05","1.08","1.03","1.02","1.02","1","0.99","0.98","1.01","1.05","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.09","95.06","96.38","96.57","96.38","95.66","95.83","97.45","97.03","96.25","96.49","96.3","96.69","96.72","92.5","91.06","91.08","96.05","96.76","95.92","96.62","95.93","96.01","96.51","96.41","97.05","97.22","95.01","95.84","96.21","95.75","94.02","94.25","93.53","93.97","94.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
