"","2016-03-28_to_2018-03-29_CorePortfolio_3QRank","2016-04-28_to_2018-04-29_CorePortfolio_3QRank","2016-05-31_to_2018-05-29_CorePortfolio_3QRank","2016-06-28_to_2018-06-29_CorePortfolio_3QRank","2016-07-28_to_2018-07-29_CorePortfolio_3QRank","2016-08-29_to_2018-08-29_CorePortfolio_3QRank","2016-09-28_to_2018-09-29_CorePortfolio_3QRank","2016-10-28_to_2018-10-29_CorePortfolio_3QRank","2016-11-28_to_2018-11-29_CorePortfolio_3QRank","2016-12-28_to_2018-12-29_CorePortfolio_3QRank","2017-01-30_to_2019-01-29_CorePortfolio_3QRank","2017-02-28_to_2019-03-01_CorePortfolio_3QRank","2017-03-28_to_2019-03-29_CorePortfolio_3QRank","2017-04-28_to_2019-04-29_CorePortfolio_3QRank","2017-05-30_to_2019-05-29_CorePortfolio_3QRank","2017-06-28_to_2019-06-29_CorePortfolio_3QRank","2017-07-28_to_2019-07-29_CorePortfolio_3QRank","2017-08-28_to_2019-08-29_CorePortfolio_3QRank","2017-09-28_to_2019-09-29_CorePortfolio_3QRank","2017-10-30_to_2019-10-29_CorePortfolio_3QRank","2017-11-28_to_2019-11-29_CorePortfolio_3QRank","2017-12-28_to_2019-12-29_CorePortfolio_3QRank","2018-01-29_to_2020-01-29_CorePortfolio_3QRank","2018-02-28_to_2020-02-29_CorePortfolio_3QRank","2018-03-28_to_2020-03-29_CorePortfolio_3QRank","2018-04-30_to_2020-04-29_CorePortfolio_3QRank","2018-05-29_to_2020-05-29_CorePortfolio_3QRank","2018-06-28_to_2020-06-29_CorePortfolio_3QRank","2018-07-30_to_2020-07-29_CorePortfolio_3QRank","2018-08-28_to_2020-08-29_CorePortfolio_3QRank","2018-09-28_to_2020-09-29_CorePortfolio_3QRank","2018-10-29_to_2020-10-29_CorePortfolio_3QRank","2018-11-28_to_2020-11-29_CorePortfolio_3QRank","2018-12-28_to_2020-12-29_CorePortfolio_3QRank","2019-01-28_to_2021-01-29_CorePortfolio_3QRank","2019-02-28_to_2021-03-01_CorePortfolio_3QRank","2019-03-28_to_2021-03-29_CorePortfolio_3QRank","2019-04-29_to_2021-04-29_CorePortfolio_3QRank","2019-05-28_to_2021-05-29_CorePortfolio_3QRank","2019-06-28_to_2021-06-29_CorePortfolio_3QRank","2019-07-29_to_2021-07-29_CorePortfolio_3QRank","2019-08-28_to_2021-08-29_CorePortfolio_3QRank","2019-09-30_to_2021-09-29_CorePortfolio_3QRank","2019-10-28_to_2021-10-29_CorePortfolio_3QRank","2019-11-29_to_2021-11-29_CorePortfolio_3QRank"
"P Information Ratio","2.36","0.97","0.87","1.37","1.09","0.73","0","0.42","0.74","1.02","1.28","1.34","1.49","1.1","0.8","0.84","0.69","0.15","0.5","0.67","-0.25","-0.44","-0.37","-0.09","-1.55","-0.47","-0.54","-0.81","-0.74","-1.22","-0.83","-0.54","-0.35","0.38","-0.27","-0.24","-0.3","-0.21","0.05","-0.47","-0.49","-0.32","0.03","0","-0.75"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.14","0.15","0.13","0.25","0.23","0.18","0.12","0.23","0.1","0.19","0.19","0.25","0.29","0.26","0.18","0.2","0.19","0.04","0.13","0.2","-0.02","-0.03","-0.07","-0.05","-0.14","-0.15","-0.18","-0.15","-0.24","-0.25","-0.42","-0.25","-0.19","0.07","-0.08","-0.14","-0.22","-0.13","-0.2","-0.15","-0.25","-0.28","-0.16","-0.03","-0.26"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.08","1.02","1.03","0.98","0.96","0.96","0.91","0.9","0.97","0.97","1.01","0.97","1.03","0.99","0.98","0.96","0.97","0.98","0.94","0.95","0.95","0.98","1.04","1.05","1.02","1.08","1.07","1.04","1.02","1.06","1.02","1.06","1.04","1.06","1.03","1.06","1.05","1.04","1.1","1.07","1.04","1.08","1.08","1.08","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.09","93.12","90.47","91.11","92.52","89.69","90.67","92.13","95.03","93.43","95.83","96.32","96.51","95.56","94.68","95.36","95.81","95.55","96.54","94.52","96.16","97","97.61","97.76","98.27","97.81","98.46","98.2","97.96","97.78","95.71","96.83","96.18","93.75","96.17","96.15","94.43","94.11","93.93","94.62","92.38","92.48","92.88","94.51","95.04"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.0135","-9.9923","-9.7306","-9.6628","-9.7311","-9.6903","-9.4845","-10.8963","-10.7266","-18.7273","-19.2294","-18.3714","-19.3716","-18.9879","-18.7649","-18.7801","-18.5508","-18.8629","-18.3941","-19.0045","-18.8615","-19.385","-20.043","-20.179","-37.8679","-37.7915","-37.6527","-37.2672","-36.7316","-37.5832","-38.1314","-37.4749","-38.0625","-38.1625","-37.5059","-38.3982","-38.8232","-38.5105","-38.8537","-38.0915","-38.0498","-38.7393","-37.9157","-37.8644","-38.3553"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.145999999999999","0.167199999999999","0.428899999999999","0.496699999999999","0.4284","0.469199999999999","0.674999999999999","-0.736800000000001","-0.552099999999999","1.0509","0.5488","1.4068","0.406599999999997","0.790299999999998","1.0133","0.998099999999997","1.2274","0.915299999999998","1.3841","0.773699999999998","0.916699999999999","0.393199999999997","-0.264800000000001","-0.4008","-3.9429","-3.8665","-3.72770000000001","-3.34220000000001","-2.8066","-3.6582","-4.2064","-3.5499","-4.1375","-4.2375","-3.5809","-4.47320000000001","-4.8982","-4.5855","-4.92870000000001","-4.16650000000001","-4.1248","-4.8143","-3.9907","-3.93940000000001","-4.4303"
