"","2018-06-28_to_2021-06-29_ValuePortfolio_20QRank","2018-07-30_to_2021-07-29_ValuePortfolio_20QRank","2018-08-28_to_2021-08-29_ValuePortfolio_20QRank","2018-09-28_to_2021-09-29_ValuePortfolio_20QRank","2018-10-29_to_2021-10-29_ValuePortfolio_20QRank","2018-11-28_to_2021-11-29_ValuePortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.638","13.91","14.332","13.351","25.998","21.702"
"B Annualized Returns","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","-2.801","-2.483","-1.554","-0.991999999999999","5.657","2.47"
"P Volatility","24.36","25.89","26.8","27.15","28.3","29.86"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","5.58","7.15","8.08","8.41","9.86","11.15"
"P Tracking Error","10.16","12.05","12.74","13.14","14.18","15.22"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.28","-0.21","-0.12","-0.08","0.4","0.16"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.42","-0.31","-0.21","-0.32","-0.23","-0.3"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.19","1.25","1.29","1.3","1.38","1.44"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","84.41","80.98","81.04","80.41","80.52","81.16"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-42.0486","-43.0712","-44.3379","-44.2732","-44.9554","-45.5487"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-8.1236","-9.1462","-10.4129","-10.3482","-11.0304","-11.6237"
