"","1 Y 2017-11-14 to 2019-11-15","1 Y 2017-12-14 to 2019-12-15","1 Y 2018-01-15 to 2020-01-15","1 Y 2018-02-14 to 2020-02-15","1 Y 2018-03-14 to 2020-03-15","1 Y 2018-04-16 to 2020-04-15","1 Y 2018-05-14 to 2020-05-15","1 Y 2018-06-14 to 2020-06-15","1 Y 2018-07-16 to 2020-07-15","1 Y 2018-08-14 to 2020-08-15","1 Y 2018-09-14 to 2020-09-15","1 Y 2018-10-15 to 2020-10-15","1 Y 2018-11-14 to 2020-11-15","1 Y 2018-12-14 to 2020-12-15","1 Y 2019-01-14 to 2021-01-15","1 Y 2019-02-14 to 2021-02-15","1 Y 2019-03-14 to 2021-03-15","1 Y 2019-04-15 to 2021-04-15","1 Y 2019-05-14 to 2021-05-15","1 Y 2019-06-14 to 2021-06-15","1 Y 2019-07-15 to 2021-07-15","1 Y 2019-08-14 to 2021-08-15","1 Y 2019-09-16 to 2021-09-15","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.039","19.459","26.549","19.781","-8.783","-10.721","-6.258","-1.11","-1.223","9.432","6.089","7.558","15.681","21.766","16.297","14.934","79.779","59.532","58.615","46.241","40.311","38.223","38.51","9.106","8.65","8.816","10.579","-3.583","-2.148","-0.444","1.05","3.534","6.438","7.095","8.67","15.631","25.22","22.116","17.064","20.088","18.479","19.343","20.39","16.997","23.35","20.063"
"B Annualized Returns","14.294","19.553","26.012","23.106","-3.47","-4.255","-0.439","6.14","7.407","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.323","38.479","35.129","32.447","32.074","10.306","9.323","8.653","11.917","-0.702","1.951","2.561","5.027","7.377","9.396","8.519","11.34","15.198","20.496","20.017","17.795","16.814","19.774","20.997","21.258","20.474","25.416","23.14"
"AR DIFF(P-B)","-0.255000000000001","-0.0940000000000012","0.536999999999999","-3.325","-5.313","-6.466","-5.819","-7.25","-8.63","-9.013","-7.361","-8.954","-0.0950000000000006","6","2.686","0.901999999999999","18.088","9.69799999999999","12.292","7.762","5.182","5.776","6.436","-1.2","-0.673","0.163","-1.338","-2.881","-4.099","-3.005","-3.977","-3.843","-2.958","-1.424","-2.67","0.433","4.724","2.099","-0.731000000000002","3.274","-1.295","-1.654","-0.867999999999999","-3.477","-2.066","-3.077"
"P Volatility","19.1","14.16","11.98","12.5","15.96","22.49","26.16","26.33","25.74","25.31","25.88","25.74","26.58","31.33","30.73","27.08","17.75","14.78","13.86","13.48","13.91","14.66","12.99","15.2","15.14","15.08","15.54","16.27","19.96","22.19","22.71","21.85","21.62","22.02","21.29","22.19","23.33","22.12","21.3","22.24","21.98","21.28","20.98","21.09","21.09","20.6"
"B Volatility","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","1.25","0.59","0.0300000000000011","0.51","0.220000000000001","2.34","2.62","3.41","2.79","2","1.8","0.959999999999997","1.63","4.25","3.6","2.55","-0.0300000000000011","0.209999999999999","-0.83","-1.39","-0.66","1","1.26","0.44","0.25","0.550000000000001","1.41","0.82","1.84","1.92","2.23","1.47","1","0.91","0.689999999999998","1.41","2.84","2.09","1.29","2.19","1.98","2.07","2.11","2.22","2.41","1.9"
"P Tracking Error","2.63","2.51","1.99","1.78","1.59","3.4","3.47","4.6","4.58","3.72","5.87","5.79","6.25","7.06","7.5","6.79","7.67","7.14","9.68","8.95","9.47","8.63","8.44","2.63","2.76","2.41","2.92","2.08","3.08","3.35","3.91","3.95","3.48","5.19","4.81","4.78","5.16","5.33","4.88","6.3","6.08","7.53","7.25","7.6","7.39","7.15"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
