"","2016-06-27_to_2019-06-28_CorePortfolio_4QRank","2016-07-27_to_2019-07-28_CorePortfolio_4QRank","2016-08-29_to_2019-08-28_CorePortfolio_4QRank","2016-09-27_to_2019-09-28_CorePortfolio_4QRank","2016-10-27_to_2019-10-28_CorePortfolio_4QRank","2016-11-28_to_2019-11-28_CorePortfolio_4QRank","2016-12-27_to_2019-12-28_CorePortfolio_4QRank","2017-01-27_to_2020-01-28_CorePortfolio_4QRank","2017-02-27_to_2020-02-28_CorePortfolio_4QRank","2017-03-27_to_2020-03-28_CorePortfolio_4QRank","2017-04-27_to_2020-04-28_CorePortfolio_4QRank","2017-05-30_to_2020-05-28_CorePortfolio_4QRank","2017-06-27_to_2020-06-28_CorePortfolio_4QRank","2017-07-27_to_2020-07-28_CorePortfolio_4QRank","2017-08-28_to_2020-08-28_CorePortfolio_4QRank","2017-09-27_to_2020-09-28_CorePortfolio_4QRank","2017-10-27_to_2020-10-28_CorePortfolio_4QRank","2017-11-27_to_2020-11-28_CorePortfolio_4QRank","2017-12-27_to_2020-12-28_CorePortfolio_4QRank","2018-01-29_to_2021-01-28_CorePortfolio_4QRank","2018-02-27_to_2021-02-28_CorePortfolio_4QRank","2018-03-27_to_2021-03-28_CorePortfolio_4QRank","2018-04-27_to_2021-04-28_CorePortfolio_4QRank","2018-05-29_to_2021-05-28_CorePortfolio_4QRank","2018-06-27_to_2021-06-28_CorePortfolio_4QRank","2018-07-27_to_2021-07-28_CorePortfolio_4QRank","2018-08-27_to_2021-08-28_CorePortfolio_4QRank","2018-09-27_to_2021-09-28_CorePortfolio_4QRank","2018-10-29_to_2021-10-28_CorePortfolio_4QRank","2018-11-27_to_2021-11-28_CorePortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.773","12.832","11.069","12.765","13.875","13.819","14.178","15.052","8.93","2.759","6.396","7.706","7.302","8.317","11.861","14.603","14.644","11.087","9.659","17.93","11.122","14.648","16.784","15.996","17.133","15.21","14.179","12.883","19.765","17.617"
"B Annualized Returns","13.702","11.79","9.83","11.098","12.517","12.736","12.61","12.591","7.618","2.765","6.215","7.891","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","3.071","1.042","1.239","1.667","1.358","1.083","1.568","2.461","1.312","-0.00600000000000023","0.181","-0.185","-0.239000000000001","-0.808999999999999","-0.926","4.461","6.443","-0.733000000000001","-1.985","8.033","-0.447000000000001","-0.362","0.669999999999998","-0.0549999999999979","0.465999999999998","-0.764999999999999","-1.701","-1.4","-0.518000000000001","-2.035"
"P Volatility","12.8","12.66","12.58","12.57","12.28","12.06","11.86","12.53","12.1","13.18","16.07","17.68","18.28","17.58","17.75","18.88","19.13","18.26","19.19","21.53","19.01","19.51","19.54","20.06","19.84","19.55","19.89","19.49","19.73","19.82"
"B Volatility","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.960000000000001","0.390000000000001","0.33","0.23","0.0499999999999989","-0.0999999999999996","-0.370000000000001","0.26","-0.0899999999999999","-0.18","0.630000000000001","0.629999999999999","1.08","0.389999999999997","0.34","1.12","1.14","0.190000000000001","0.190000000000001","2.66","0.32","0.940000000000001","0.890000000000001","1.28","1.06","0.810000000000002","1.17","0.75","1.29","1.11"
"P Tracking Error","2.65","2.41","2.42","2.55","2.43","2.26","2.51","2.46","2.52","2.67","3.45","3.21","3.23","3.2","3.32","5.51","6.19","4.25","4.39","6.31","4.26","3.83","3.7","3.95","3.64","4.31","4.48","4.49","4.17","4.19"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.16","0.43","0.51","0.65","0.56","0.48","0.62","1","0.52","0","0.05","-0.06","-0.07","-0.25","-0.28","0.81","1.04","-0.17","-0.45","1.27","-0.1","-0.09","0.18","-0.01","0.13","-0.18","-0.38","-0.31","-0.12","-0.49"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
