"","2018-01-09_to_2019-01-10_ALLPortfolio_6QRank","2018-02-09_to_2019-02-10_ALLPortfolio_6QRank","2018-03-09_to_2019-03-10_ALLPortfolio_6QRank","2018-04-09_to_2019-04-10_ALLPortfolio_6QRank","2018-05-09_to_2019-05-10_ALLPortfolio_6QRank","2018-06-11_to_2019-06-10_ALLPortfolio_6QRank","2018-07-09_to_2019-07-10_ALLPortfolio_6QRank","2018-08-09_to_2019-08-10_ALLPortfolio_6QRank","2018-09-10_to_2019-09-10_ALLPortfolio_6QRank","2018-10-09_to_2019-10-10_ALLPortfolio_6QRank","2018-11-09_to_2019-11-10_ALLPortfolio_6QRank","2018-12-10_to_2019-12-10_ALLPortfolio_6QRank","2019-01-09_to_2020-01-10_ALLPortfolio_6QRank","2019-02-11_to_2020-02-10_ALLPortfolio_6QRank","2019-03-11_to_2020-03-10_ALLPortfolio_6QRank","2019-04-09_to_2020-04-10_ALLPortfolio_6QRank","2019-05-09_to_2020-05-10_ALLPortfolio_6QRank","2019-06-10_to_2020-06-10_ALLPortfolio_6QRank","2019-07-09_to_2020-07-10_ALLPortfolio_6QRank","2019-08-09_to_2020-08-10_ALLPortfolio_6QRank","2019-09-09_to_2020-09-10_ALLPortfolio_6QRank","2019-10-09_to_2020-10-10_ALLPortfolio_6QRank","2019-11-11_to_2020-11-10_ALLPortfolio_6QRank","2019-12-09_to_2020-12-10_ALLPortfolio_6QRank","2020-01-09_to_2021-01-10_ALLPortfolio_6QRank","2020-02-10_to_2021-02-10_ALLPortfolio_6QRank","2020-03-09_to_2021-03-10_ALLPortfolio_6QRank","2020-04-09_to_2021-04-10_ALLPortfolio_6QRank","2020-05-11_to_2021-05-10_ALLPortfolio_6QRank","2020-06-09_to_2021-06-10_ALLPortfolio_6QRank","2020-07-09_to_2021-07-10_ALLPortfolio_6QRank","2020-08-10_to_2021-08-10_ALLPortfolio_6QRank","2020-09-09_to_2021-09-10_ALLPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-3.942","6.32","0.181","9.211","6.039","3.132","5.616","2.097","2.721","6.689","10.808","17.383","22.905","18.428","-1.874","-12.068","-3.227","6.92","1.873","12.609","5.547","13.208","12.022","17.937","23.303","22.556","57.408","78.153","78.274","53.064","67.586","48.946","54.409"
"B Annualized Returns","-5.516","3.381","-1.565","8.707","5.814","3.775","7.131","2.28","3.554","5.473","11.254","18.759","25.753","23.775","3.554","-3.41","2.058","10.549","6.171","16.607","11.272","18.345","14.853","16.758","16.795","14.752","33.684","47.995","43.081","32.884","38.626","32.028","33.376"
"AR DIFF(P-B)","1.574","2.939","1.746","0.504","0.225","-0.643","-1.515","-0.183","-0.833","1.216","-0.446","-1.376","-2.848","-5.347","-5.428","-8.658","-5.285","-3.629","-4.298","-3.998","-5.725","-5.137","-2.831","1.179","6.508","7.804","23.724","30.158","35.193","20.18","28.96","16.918","21.033"
"P Volatility","16.39","19.7","19.94","19.88","19.39","20.57","22.07","22.51","22.66","20.55","20.77","16.73","13.37","13.68","16.9","25.25","29.43","29.45","29.34","30.38","30.9","31.67","31.45","33.74","34.47","32.8","21.84","18.1","18.26","17.35","18.63","19.19","17.47"
"B Volatility","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","1.92","3.02","3.33","3.23","2.46","1.92","2.42","3.04","3.05","2.71","2.92","3.16","1.42","1.69","1.16","5.1","5.89","6.53","6.39","7.07","6.82","6.89","6.5","6.66","7.34","8.27","4.06","3.53","3.57","2.48","4.06","5.53","5.74"
"P Tracking Error","3.98","4.72","4.67","4.5","4.25","3.91","3.5","4.13","4.05","3.99","4.31","4.38","2.84","2.69","3.02","6.34","6.97","7.74","7.63","8.08","7.99","8.99","9.46","9.53","9.65","10.44","10.01","10.37","10.59","9.24","10.92","11.29","11.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
