"","2016-03-28_to_2018-03-29_ValuePortfolio_3QRank","2016-04-28_to_2018-04-29_ValuePortfolio_3QRank","2016-05-31_to_2018-05-29_ValuePortfolio_3QRank","2016-06-28_to_2018-06-29_ValuePortfolio_3QRank","2016-07-28_to_2018-07-29_ValuePortfolio_3QRank","2016-08-29_to_2018-08-29_ValuePortfolio_3QRank","2016-09-28_to_2018-09-29_ValuePortfolio_3QRank","2016-10-28_to_2018-10-29_ValuePortfolio_3QRank","2016-11-28_to_2018-11-29_ValuePortfolio_3QRank","2016-12-28_to_2018-12-29_ValuePortfolio_3QRank","2017-01-30_to_2019-01-29_ValuePortfolio_3QRank","2017-02-28_to_2019-03-01_ValuePortfolio_3QRank","2017-03-28_to_2019-03-29_ValuePortfolio_3QRank","2017-04-28_to_2019-04-29_ValuePortfolio_3QRank","2017-05-30_to_2019-05-29_ValuePortfolio_3QRank","2017-06-28_to_2019-06-29_ValuePortfolio_3QRank","2017-07-28_to_2019-07-29_ValuePortfolio_3QRank","2017-08-28_to_2019-08-29_ValuePortfolio_3QRank","2017-09-28_to_2019-09-29_ValuePortfolio_3QRank","2017-10-30_to_2019-10-29_ValuePortfolio_3QRank","2017-11-28_to_2019-11-29_ValuePortfolio_3QRank","2017-12-28_to_2019-12-29_ValuePortfolio_3QRank","2018-01-29_to_2020-01-29_ValuePortfolio_3QRank","2018-02-28_to_2020-02-29_ValuePortfolio_3QRank","2018-03-28_to_2020-03-29_ValuePortfolio_3QRank","2018-04-30_to_2020-04-29_ValuePortfolio_3QRank","2018-05-29_to_2020-05-29_ValuePortfolio_3QRank","2018-06-28_to_2020-06-29_ValuePortfolio_3QRank","2018-07-30_to_2020-07-29_ValuePortfolio_3QRank","2018-08-28_to_2020-08-29_ValuePortfolio_3QRank","2018-09-28_to_2020-09-29_ValuePortfolio_3QRank","2018-10-29_to_2020-10-29_ValuePortfolio_3QRank","2018-11-28_to_2020-11-29_ValuePortfolio_3QRank","2018-12-28_to_2020-12-29_ValuePortfolio_3QRank","2019-01-28_to_2021-01-29_ValuePortfolio_3QRank","2019-02-28_to_2021-03-01_ValuePortfolio_3QRank","2019-03-28_to_2021-03-29_ValuePortfolio_3QRank","2019-04-29_to_2021-04-29_ValuePortfolio_3QRank","2019-05-28_to_2021-05-29_ValuePortfolio_3QRank","2019-06-28_to_2021-06-29_ValuePortfolio_3QRank","2019-07-29_to_2021-07-29_ValuePortfolio_3QRank","2019-08-28_to_2021-08-29_ValuePortfolio_3QRank","2019-09-30_to_2021-09-29_ValuePortfolio_3QRank","2019-10-28_to_2021-10-29_ValuePortfolio_3QRank","2019-11-29_to_2021-11-29_ValuePortfolio_3QRank"
"P Information Ratio","1.3","1.21","1.41","1.7","1.13","0.68","0.82","0.03","-0.01","0.28","-0.47","-0.47","-0.18","-0.54","0.41","0.28","0.49","0.98","-0.79","-0.39","-0.54","-0.59","-0.07","-0.03","-0.88","-1.05","-0.86","-1.55","-0.77","-1.2","-0.43","-0.29","-0.25","-0.24","-0.41","0.01","0.19","0.12","0.7","0.38","-0.01","0.61","0.53","-0.04","0.49"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.58","0.57","0.54","0.75","0.72","0.23","0.43","0.24","0.2","0.36","-0.27","-0.17","0.02","-0.12","0.04","0.21","0.35","0.78","-0.54","-0.2","-0.39","-0.25","0.05","0.14","-0.15","-0.52","-0.45","-1.03","-0.62","-0.52","-0.49","-0.67","-0.52","-0.96","-1.17","-0.5","-0.18","-0.31","0","-0.16","-0.47","-0.19","-0.25","-0.44","0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.21","1.05","0.98","1.07","1.01","1.06","0.99","0.8","0.69","0.69","0.83","1.01","0.79","0.94","0.99","0.9","0.93","1.06","1.09","1.06","1.1","0.98","0.83","0.79","0.94","1.07","0.96","1.17","1.18","1.17","1.3","1.43","1.35","1.53","1.53","1.51","1.57","1.52","1.48","1.53","1.49","1.58","1.44","1.43","1.5"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","41.53","57.43","58.03","52.84","46.6","65.34","60.62","53.57","62.55","58.02","77.17","86.7","65.37","72.4","67.01","63.37","69.75","68.27","83.81","83.85","86.42","86.92","79.76","76.97","88.59","90.83","87.27","92.19","92.98","95.12","96.18","91.84","90.6","90.78","90.45","86.72","88.86","89.08","86.05","85.42","84.61","83.14","84.51","77.71","76.09"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.8703","-10.695","-9.9594","-10.0008","-9.9837","-10.3832","-10.0804","-10.3466","-8.9029","-15.998","-18.1791","-19.7482","-15.2153","-17.2913","-20.5104","-21.7025","-21.1573","-23.7101","-23.1711","-21.7838","-23.3406","-20.574","-16.5763","-16.3142","-38.7178","-38.4996","-38.0456","-41.2536","-41.9944","-40.6578","-41.3523","-45.9075","-42.8429","-45.9939","-46.3104","-45.4889","-44.1735","-43.3535","-43.2384","-44.5878","-43.3352","-46.5655","-43.502","-46.5049","-46.5116"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.7108","-0.535500000000001","0.200099999999999","0.1587","0.175799999999999","-0.223700000000001","0.0791000000000004","-0.187100000000001","1.2716","3.7802","1.5991","0.0299999999999976","4.5629","2.4869","-0.732200000000002","-1.9243","-1.3791","-3.9319","-3.3929","-2.0056","-3.5624","-0.795800000000003","3.2019","3.464","-4.7928","-4.5746","-4.1206","-7.3286","-8.0694","-6.7328","-7.4273","-11.9825","-8.9179","-12.0689","-12.3854","-11.5639","-10.2485","-9.4285","-9.3134","-10.6628","-9.4102","-12.6405","-9.57700000000001","-12.5799","-12.5866"
