"","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.33","1.2","1.11","0.97","0.82","1.13","0.41","0.91","1.26","1.36","1.35","1.46","1.25","1.28","1.18","1.07","1.08","1.24","1.02","0.85","1.02","0.88","1.1","0.85","0.89","1.06","0.78","1.23","1.13","1.06","0.98","0.96","1.07","0.76","0.89","1.12","1.17","1.22","1.31","1.11","1.19","1.15","1.03","1.01","1.15","1.2","1.15","1.13","1.14","1.26","1.07","1.11","1.24","1.26","1.26","1.14","1.04","0.98","0.94","1.06","0.76","0.85","1.09","1.13","1.17","1.25","1.06","1.13","1.1","0.97","0.97","1.12","1.18","1.12","1.1","1.1","1.19","1.06","1.06","1.27","1.3"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.32","81.96","74.42","49.88","49.68","93.52","13.71","40.09","47.81","55.33","53.62","55.95","68.42","69.89","94.42","95.77","94.88","90.89","91.48","81.28","85.32","82.46","85.51","69.97","65.53","64.98","40.55","85.66","83.43","76.45","70.82","79.44","92.43","53.81","54.72","53.48","59.72","60.37","62.94","69.72","68.77","93.48","92.05","90.8","89.19","90.55","89.76","90.93","89.22","90.34","86.01","89.91","85.24","85.04","77.56","78","73.57","67.7","73.63","87.01","53.89","52.39","52","57.41","57.75","59.33","64.72","67.29","89.03","88.2","87.46","87.75","90.18","89.02","90.19","89.82","90.18","88.81","90.68","87.64","87.47"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-24.9194","-19.4136","-18.1952","-9.296","-7.469","-12.5175","-41.8443","-39.8489","-42.9445","-42.9624","-43.1321","-43.638","-39.8949","-41.2918","-38.188","-37.3715","-38.6518","-34.6978","-12.8302","-12.2921","-12.503","-7.8182","-8.159","-7.6617","-6.0013","-7.7283","-7.6369","-25.9409","-23.2095","-21.9582","-20.0527","-19.3708","-23.0358","-41.8443","-39.8489","-42.9445","-42.9624","-43.1321","-43.638","-39.8949","-41.2918","-38.188","-37.3715","-38.6518","-40.3317","-40.7836","-40.2033","-38.7049","-40.2807","-41.8262","-39.5702","-39.5653","-43.3199","-43.7189","-25.9409","-23.2095","-21.9582","-20.0527","-19.3708","-23.0358","-41.8443","-39.8489","-42.9445","-42.9624","-43.1321","-43.638","-39.8949","-41.2918","-38.1955","-37.3715","-38.6518","-41.2388","-41.1897","-40.6889","-38.7049","-40.2807","-41.8262","-39.5702","-39.5653","-43.3199","-43.7189"
"B Max Drawdown","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-5.2849","-2.967","-2.4528","-2.4599","-0.6329","0.238300000000001","-7.9193","-5.9239","-9.0195","-9.03740000000001","-9.2071","-9.713","-5.9699","-7.3668","-4.26300000000001","-3.4465","-4.7268","-6.1775","-3.2257","-2.6876","-2.8985","1.7863","1.4455","1.9428","1.4759","-2.5158","-2.4244","-6.1627","-3.4313","-2.18","-0.274500000000003","0.407399999999999","-3.2576","-7.9193","-5.9239","-9.0195","-9.03740000000001","-9.2071","-9.713","-5.9699","-7.3668","-4.26300000000001","-3.4465","-4.7268","-6.4067","-6.8586","-6.2783","-4.7799","-6.35570000000001","-7.9012","-5.6452","-5.6403","-9.3949","-9.7939","-6.1627","-3.4313","-2.18","-0.274500000000003","0.407399999999999","-3.2576","-7.9193","-5.9239","-9.0195","-9.03740000000001","-9.2071","-9.713","-5.9699","-7.3668","-4.27050000000001","-3.4465","-4.7268","-7.3138","-7.2647","-6.7639","-4.7799","-6.35570000000001","-7.9012","-5.6452","-5.6403","-9.3949","-9.7939"
