"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.27","0.21","0.25","0.54","0.22","0.13","-0.18","-0.01","-0.11","-0.07","-0.47","-0.21","-0.25","-0.76","-0.77","-0.72","-0.49","-0.41","-0.31","-0.4","-0.37","-0.55","-0.61","-0.89","-0.04","0.37","0.39","-0.17","1.54","1.58","1.75","1.51","1.47","1.21","0.7"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.99","1","1.06","1.03","1.16","1.17","1.1","1.09","1.21","1.22","1.23","1.23","1.17","1.24","1.23","1.2","1.04","1.22","1.23","1.28","1.28","1.33","1.29","1.29","1.33","1.28","1.29","1.34","1.17","1.07","1.04","1.03","1.13","1.12","1.12"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.68","85.98","89.19","93.35","96.71","96.05","95.12","97.59","98.36","98.1","98.6","98.14","97.74","96.63","96.99","96.97","97.42","96.59","97.25","97.34","97.47","96.83","97","94.65","95.04","96.05","96.17","95.58","74.91","60.02","57.88","60.78","59.81","52.57","57.16"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.2763","-13.4823","-20.9367","-19.1151","-20.242","-20.9924","-20.75","-20.3654","-22.5751","-22.9481","-23.1653","-17.9577","-16.3664","-9.6583","-8.5979","-8.4632","-29.4781","-38.5618","-38.598","-39.7647","-38.8223","-40.6732","-40.074","-41.0079","-40.8638","-39.8614","-40.0841","-39.9811","-14.5318","-15.2701","-15.629","-8.6524","-8.8631","-8.3791","-6.8098"
"B Max Drawdown","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-9.5713","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4772"
"MD DIFF(P-B)","-1.1168","-2.1951","-1.1585","0.663099999999996","-0.463800000000003","-1.2142","-0.971800000000002","-0.587200000000003","-2.7969","-3.1699","-3.3871","-1.5111","-0.623999999999999","-0.0869999999999997","-1.7617","-1.6271","-2.7365","-4.6368","-4.673","-5.8397","-4.8973","-6.7482","-6.149","-7.0829","-6.9388","-5.93640000000001","-6.1591","-6.0561","-2.9949","-5.6656","-6.0245","0.952","0.741300000000001","1.2254","0.6674"
