"","2016-09-27_to_2019-09-28_GrowthPortfolio_5QRank","2016-10-27_to_2019-10-28_GrowthPortfolio_5QRank","2016-11-28_to_2019-11-28_GrowthPortfolio_5QRank","2016-12-27_to_2019-12-28_GrowthPortfolio_5QRank","2017-01-27_to_2020-01-28_GrowthPortfolio_5QRank","2017-02-27_to_2020-02-28_GrowthPortfolio_5QRank","2017-03-27_to_2020-03-28_GrowthPortfolio_5QRank","2017-04-27_to_2020-04-28_GrowthPortfolio_5QRank","2017-05-30_to_2020-05-28_GrowthPortfolio_5QRank","2017-06-27_to_2020-06-28_GrowthPortfolio_5QRank","2017-07-27_to_2020-07-28_GrowthPortfolio_5QRank","2017-08-28_to_2020-08-28_GrowthPortfolio_5QRank","2017-09-27_to_2020-09-28_GrowthPortfolio_5QRank","2017-10-27_to_2020-10-28_GrowthPortfolio_5QRank","2017-11-27_to_2020-11-28_GrowthPortfolio_5QRank","2017-12-27_to_2020-12-28_GrowthPortfolio_5QRank","2018-01-29_to_2021-01-28_GrowthPortfolio_5QRank","2018-02-27_to_2021-02-28_GrowthPortfolio_5QRank","2018-03-27_to_2021-03-28_GrowthPortfolio_5QRank","2018-04-27_to_2021-04-28_GrowthPortfolio_5QRank","2018-05-29_to_2021-05-28_GrowthPortfolio_5QRank","2018-06-27_to_2021-06-28_GrowthPortfolio_5QRank","2018-07-27_to_2021-07-28_GrowthPortfolio_5QRank","2018-08-27_to_2021-08-28_GrowthPortfolio_5QRank","2018-09-27_to_2021-09-28_GrowthPortfolio_5QRank","2018-10-29_to_2021-10-28_GrowthPortfolio_5QRank","2018-11-27_to_2021-11-28_GrowthPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.11","1.54","1.23","0.74","0.79","1.05","0.81","0.36","0.7","0.8","0.88","1.1","0.75","0.91","1.66","1.78","2.09","2.28","1.74","1.5","1.18","1.21","1.46","1.4","1.18","1.78","1.73"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.51","0.48","0.27","0.06","0.08","0.23","0.33","0.07","0.26","0.3","0.41","0.47","0.22","0.33","0.92","1.18","1.75","1.61","1.09","0.94","0.68","0.48","0.92","0.93","0.79","0.92","0.99"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.03","1.09","1.2","1.32","1.35","1.26","1.22","1.35","1.34","1.33","1.33","1.28","1.37","1.3","1.28","1.4","1.37","1.27","1.18","1.19","1.13","1.17","1.18","1.16","1.18","1.07","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.13","86.75","91.54","92.52","92.39","90.82","91.43","93.34","93.22","93.4","93.41","92.41","92.86","92.98","87.07","86.72","81.98","84.67","88.54","84.7","85.23","86.36","83.99","81.64","81.99","79.56","82.19"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.7911","-22.8835","-23.6575","-25.4254","-26.3808","-24.1611","-37.3151","-38.9734","-38.6029","-38.1071","-37.8453","-37.501","-39.0244","-38.3571","-40.3354","-42.6805","-41.5041","-38.8513","-36.7716","-37.6716","-37.0905","-37.3753","-37.3246","-37.005","-37.6359","-35.9719","-34.9269"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.0129","-3.1053","-3.8793","-5.6472","-6.6026","-4.3829","-3.3901","-5.0484","-4.6779","-4.18210000000001","-3.9203","-3.576","-5.0994","-4.43210000000001","-6.4104","-8.7555","-7.5791","-4.9263","-2.8466","-3.7466","-3.1655","-3.45030000000001","-3.3996","-3.08000000000001","-3.7109","-2.0469","-1.00190000000001"
