"","1 Y 2016-12-28 to 2019-12-29","1 Y 2017-01-30 to 2020-01-29","1 Y 2017-02-28 to 2020-02-29","1 Y 2017-03-28 to 2020-03-29","1 Y 2017-04-28 to 2020-04-29","1 Y 2017-05-30 to 2020-05-29","1 Y 2017-06-28 to 2020-06-29","1 Y 2017-07-28 to 2020-07-29","1 Y 2017-08-28 to 2020-08-29","1 Y 2017-09-28 to 2020-09-29","1 Y 2017-10-30 to 2020-10-29","1 Y 2017-11-28 to 2020-11-29","1 Y 2017-12-28 to 2020-12-29","1 Y 2018-01-29 to 2021-01-29","1 Y 2018-02-28 to 2021-03-01","1 Y 2018-03-28 to 2021-03-29","1 Y 2018-04-30 to 2021-04-29","1 Y 2018-05-29 to 2021-05-29","1 Y 2018-06-28 to 2021-06-29","1 Y 2018-07-30 to 2021-07-29","1 Y 2018-08-28 to 2021-08-29","1 Y 2018-09-28 to 2021-09-29","1 Y 2018-10-29 to 2021-10-29","1 Y 2018-11-28 to 2021-11-29","2 Y 2016-12-28 to 2019-12-29","2 Y 2017-01-30 to 2020-01-29","2 Y 2017-02-28 to 2020-02-29","2 Y 2017-03-28 to 2020-03-29","2 Y 2017-04-28 to 2020-04-29","2 Y 2017-05-30 to 2020-05-29","2 Y 2017-06-28 to 2020-06-29","2 Y 2017-07-28 to 2020-07-29","2 Y 2017-08-28 to 2020-08-29","2 Y 2017-09-28 to 2020-09-29","2 Y 2017-10-30 to 2020-10-29","2 Y 2017-11-28 to 2020-11-29","2 Y 2017-12-28 to 2020-12-29","2 Y 2018-01-29 to 2021-01-29","2 Y 2018-02-28 to 2021-03-01","2 Y 2018-03-28 to 2021-03-29","2 Y 2018-04-30 to 2021-04-29","2 Y 2018-05-29 to 2021-05-29","2 Y 2018-06-28 to 2021-06-29","2 Y 2018-07-30 to 2021-07-29","2 Y 2018-08-28 to 2021-08-29","2 Y 2018-09-28 to 2021-09-29","2 Y 2018-10-29 to 2021-10-29","2 Y 2018-11-28 to 2021-11-29","3 Y 2016-12-28 to 2019-12-29","3 Y 2017-01-30 to 2020-01-29","3 Y 2017-02-28 to 2020-02-29","3 Y 2017-03-28 to 2020-03-29","3 Y 2017-04-28 to 2020-04-29","3 Y 2017-05-30 to 2020-05-29","3 Y 2017-06-28 to 2020-06-29","3 Y 2017-07-28 to 2020-07-29","3 Y 2017-08-28 to 2020-08-29","3 Y 2017-09-28 to 2020-09-29","3 Y 2017-10-30 to 2020-10-29","3 Y 2017-11-28 to 2020-11-29","3 Y 2017-12-28 to 2020-12-29","3 Y 2018-01-29 to 2021-01-29","3 Y 2018-02-28 to 2021-03-01","3 Y 2018-03-28 to 2021-03-29","3 Y 2018-04-30 to 2021-04-29","3 Y 2018-05-29 to 2021-05-29","3 Y 2018-06-28 to 2021-06-29","3 Y 2018-07-30 to 2021-07-29","3 Y 2018-08-28 to 2021-08-29","3 Y 2018-09-28 to 2021-09-29","3 Y 2018-10-29 to 2021-10-29","3 Y 2018-11-28 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","41.769","27.807","13.232","-6.689","11.331","32.467","15.424","22.83","36.124","28.147","34.174","21.444","20.195","18.551","50.689","78.326","57.923","54.056","57.316","50.154","45.7","42.902","56.262","38.509","15.738","11.123","10.541","1.35","12.265","16.574","11.593","16.837","20.107","14.722","23.658","16.044","24.029","18.514","28.966","23.9","26.299","30.481","27.072","27.667","31.631","30.006","35.526","31.291","18.91","16.873","13.497","6.188","13.458","18.931","15.922","18.497","23.035","16.743","18.564","13.135","12.731","11.467","21.307","18.072","21.135","20.683","20.227","20.531","19.928","19.753","28.142","24.795"
"B Annualized Returns","30.182","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","9.899","7.105","4.335","-1.227","5.36","5.716","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709","12.938","12.809","7.718","2.521","7.174","8.056","8.005","9.679","12.767","9.796","8.762","11.467","11.698","9.584","13.18","14.551","16.726","16.051","16.426","16.393","15.886","14.246","19.739","19.034"
"AR DIFF(P-B)","11.587","3.815","7.136","3.042","11.546","23.307","12.416","14.69","16.175","16.096","25.531","6.119","4.495","5.438","24.345","26.97","14.652","15.294","16.751","14.532","16.29","12.202","17.131","9.88","5.839","4.018","6.206","2.577","6.905","10.858","5.621","9.011","10.388","7.919","12.577","0.891","2.064","0.811999999999998","11.023","5.562","6.732","7.573","6.716","6.563","6.673","8.989","12.58","9.582","5.972","4.064","5.779","3.667","6.284","10.875","7.917","8.818","10.268","6.947","9.802","1.668","1.033","1.883","8.127","3.521","4.409","4.632","3.801","4.138","4.042","5.507","8.403","5.761"
"P Volatility","16.52","13.69","13.62","14.2","24.98","34.25","35.56","33.29","34.5","32.22","33.89","30.07","32.57","31.83","21.71","20.66","16.98","18.2","17.11","15.95","15.53","15.39","17.49","13.96","17.44","17.36","17.18","17.65","22.61","27.76","28.07","27.56","28.57","26.98","27.52","25.13","24.58","23.09","25.5","24.78","23.36","23.24","23.4","22.96","22.71","23.62","24.31","23.75","14.26","14.44","14.54","14.9","19.13","22.91","23.18","22.73","23.46","22.72","23.57","21.74","22.39","21.77","23.56","22.81","21.58","22.15","22.16","22.43","22.35","22.43","22.79","22.42"
"B Volatility","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78","12.23","12.27","12.19","13.36","15.66","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.57","18.57","18.65","18.78","18.78","18.74","18.72","18.32","18.44","18.71"
"V DIFF(P-B)","2.95","1.74","1.63","-1.54","4.83","10.71","11.42","10.34","11.19","8.14","9.11","5.12","5.49","4.7","3.61","2.56","2.02","3.13","1.86","1","1.46","3.18","4.08","2.97","2.55","2.83","3.05","2.2","4.49","7.49","7.59","7.18","7.95","6.26","6.92","4.35","4.09","3.06","5.39","4.67","3.23","3.89","3.94","3.95","3.89","4.79","4.86","3.97","2.03","2.17","2.35","1.54","3.47","5.86","5.98","5.54","6.05","4.96","5.58","3.67","3.39","2.9","4.99","4.24","2.93","3.37","3.38","3.69","3.63","4.11","4.35","3.71"
"P Tracking Error","7.38","4.86","4.15","8.59","11.81","17.8","17.71","16.57","17.04","12.5","13.41","7.4","7.94","7.66","7.01","6.07","7.35","7.37","6.34","7.47","7.67","8.39","7.84","6.84","6.25","5.31","4.97","7.41","9.18","13.12","12.55","12.06","12.41","9.68","10.55","6.26","6.08","5.59","8.7","7.82","7.2","6.83","6.86","7.5","7.83","8.28","8.37","7.22","5.16","4.42","4.15","6.22","7.67","10.83","10.39","10.07","10.33","8.16","8.98","5.71","5.51","5.28","7.79","6.91","6.4","6.09","5.92","6.57","6.81","7.2","7.28","6.48"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.57","0.78","1.72","0.35","0.98","1.31","0.7","0.89","0.95","1.29","1.9","0.83","0.57","0.71","3.47","4.44","1.99","2.08","2.64","1.95","2.12","1.45","2.19","1.44","0.93","0.76","1.25","0.35","0.75","0.83","0.45","0.75","0.84","0.82","1.19","0.14","0.34","0.15","1.27","0.71","0.93","1.11","0.98","0.88","0.85","1.09","1.5","1.33","1.16","0.92","1.39","0.59","0.82","1","0.76","0.88","0.99","0.85","1.09","0.29","0.19","0.36","1.04","0.51","0.69","0.76","0.64","0.63","0.59","0.76","1.15","0.89"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.49","0.1","-0.01","1.03","0.54","1.25","1.2","0.63","0.81","0.71","1.35","0.24","0.18","0.2","1.79","1.64","1.15","0.62","0.71","1.27","1.25","0.72","0.27","0.45","0.34","0.23","0.16","0.53","0.32","0.63","0.59","0.53","0.64","0.43","0.56","-0.13","-0.12","-0.13","0.61","0.41","0.47","0.27","0.16","0.29","0.32","0.36","0.46","0.46","0.33","0.16","0.17","0.49","0.33","0.61","0.64","0.49","0.56","0.3","0.46","-0.02","-0.03","0.04","0.37","0.24","0.28","0.2","0.06","0.19","0.19","0.25","0.26","0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.09","1.07","1.09","0.76","1.1","1.27","1.32","1.29","1.33","1.26","1.29","1.18","1.18","1.15","1.14","1.09","1.02","1.11","1.04","0.94","0.96","1.06","1.18","1.11","1.1","1.15","1.18","1.04","1.15","1.23","1.25","1.24","1.28","1.24","1.26","1.19","1.18","1.13","1.21","1.18","1.11","1.16","1.16","1.15","1.14","1.19","1.19","1.15","1.09","1.13","1.15","1.01","1.13","1.2","1.23","1.2","1.23","1.21","1.23","1.17","1.15","1.13","1.22","1.18","1.11","1.14","1.15","1.15","1.15","1.17","1.19","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","78.49","86.47","90.3","67.34","75.84","73.92","77.3","76.93","78.34","87.46","87.57","95.81","95.89","95.35","90.03","91.17","79.26","82.73","84.91","75.97","73.05","67.23","79.75","74.19","87.25","91.8","93.46","81.66","84.25","79.52","82.61","83.24","84.46","89.99","88.62","95.96","95.85","95.11","90.7","91.91","90.97","92.78","92.85","90.47","88.99","89.51","89.97","92.04","87.12","91.54","93.3","82.07","84.52","79.3","82.22","82.17","83.09","89.56","88.36","95.04","95.49","95.16","91.73","92.89","91.87","93.72","94.24","92.89","91.98","91.41","91.83","93.18"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
