"","2015-09-25_to_2017-09-26_CorePortfolio_1QRank","2015-10-26_to_2017-10-26_CorePortfolio_1QRank","2015-11-25_to_2017-11-26_CorePortfolio_1QRank","2015-12-28_to_2017-12-26_CorePortfolio_1QRank","2016-01-25_to_2018-01-26_CorePortfolio_1QRank","2016-02-25_to_2018-02-26_CorePortfolio_1QRank","2016-03-28_to_2018-03-26_CorePortfolio_1QRank","2016-04-25_to_2018-04-26_CorePortfolio_1QRank","2016-05-25_to_2018-05-26_CorePortfolio_1QRank","2016-06-27_to_2018-06-26_CorePortfolio_1QRank","2016-07-25_to_2018-07-26_CorePortfolio_1QRank","2016-08-25_to_2018-08-26_CorePortfolio_1QRank","2016-09-26_to_2018-09-26_CorePortfolio_1QRank","2016-10-25_to_2018-10-26_CorePortfolio_1QRank","2016-11-25_to_2018-11-26_CorePortfolio_1QRank","2016-12-27_to_2018-12-26_CorePortfolio_1QRank","2017-01-25_to_2019-01-26_CorePortfolio_1QRank","2017-02-27_to_2019-02-26_CorePortfolio_1QRank","2017-03-27_to_2019-03-26_CorePortfolio_1QRank","2017-04-25_to_2019-04-26_CorePortfolio_1QRank","2017-05-25_to_2019-05-26_CorePortfolio_1QRank","2017-06-26_to_2019-06-26_CorePortfolio_1QRank","2017-07-25_to_2019-07-26_CorePortfolio_1QRank","2017-08-25_to_2019-08-26_CorePortfolio_1QRank","2017-09-25_to_2019-09-26_CorePortfolio_1QRank","2017-10-25_to_2019-10-26_CorePortfolio_1QRank","2017-11-27_to_2019-11-26_CorePortfolio_1QRank","2017-12-26_to_2019-12-26_CorePortfolio_1QRank","2018-01-25_to_2020-01-26_CorePortfolio_1QRank","2018-02-26_to_2020-02-26_CorePortfolio_1QRank","2018-03-26_to_2020-03-26_CorePortfolio_1QRank","2018-04-25_to_2020-04-26_CorePortfolio_1QRank","2018-05-25_to_2020-05-26_CorePortfolio_1QRank","2018-06-25_to_2020-06-26_CorePortfolio_1QRank","2018-07-25_to_2020-07-26_CorePortfolio_1QRank","2018-08-27_to_2020-08-26_CorePortfolio_1QRank","2018-09-25_to_2020-09-26_CorePortfolio_1QRank","2018-10-25_to_2020-10-26_CorePortfolio_1QRank","2018-11-26_to_2020-11-26_CorePortfolio_1QRank","2018-12-26_to_2020-12-26_CorePortfolio_1QRank","2019-01-25_to_2021-01-26_CorePortfolio_1QRank","2019-02-25_to_2021-02-26_CorePortfolio_1QRank","2019-03-25_to_2021-03-26_CorePortfolio_1QRank","2019-04-25_to_2021-04-26_CorePortfolio_1QRank","2019-05-28_to_2021-05-26_CorePortfolio_1QRank","2019-06-25_to_2021-06-26_CorePortfolio_1QRank","2019-07-25_to_2021-07-26_CorePortfolio_1QRank","2019-08-26_to_2021-08-26_CorePortfolio_1QRank","2019-09-25_to_2021-09-26_CorePortfolio_1QRank","2019-10-25_to_2021-10-26_CorePortfolio_1QRank","2019-11-25_to_2021-11-26_CorePortfolio_1QRank"
"P Information Ratio","0.91","1.83","1.7","1.03","1.97","2.57","2.71","1.77","1.64","1.46","0.64","0.39","0.07","0.42","0.54","0.92","1.03","0.72","0.45","0.36","0.38","0.18","-0.13","0.58","0.71","0.13","0.3","0.09","-0.1","1.22","-1.62","-1.08","-0.57","-0.83","-0.27","-1.44","-1.06","-0.36","-0.52","0.33","-0.77","-0.74","-0.43","-0.33","-0.2","-0.58","-0.55","-0.52","-0.3","-0.63","-0.52"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.16","0.21","0.15","0.08","0.13","0.15","0.24","0.35","0.27","0.25","0.17","0.1","0.12","0.28","0.03","0.17","0.16","0.14","0.15","0.13","0.09","0.09","0.02","0.14","0.16","0.04","0.04","0.05","-0.03","0.15","-0.18","-0.25","-0.18","-0.14","-0.15","-0.3","-0.47","-0.3","-0.21","-0.03","-0.27","-0.39","-0.34","-0.2","-0.26","-0.18","-0.18","-0.25","-0.34","-0.27","-0.35"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1","1.11","1.08","1.09","1.1","1.15","1.07","0.96","0.98","0.97","0.97","0.95","0.92","0.88","0.98","1","1.01","1.02","0.98","0.97","0.96","0.96","0.97","0.98","0.98","1.01","0.98","1","1.04","1.05","1.05","1.09","1.02","1","1.01","1.05","1.02","1.11","1.05","1.09","1.05","1.03","1.07","1.05","1.09","1.04","1.02","1.04","1.13","1.07","1.12"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.67","94.65","95.56","96.03","94.02","94.07","93.1","89.51","89.58","90.63","89.55","94.82","90.85","89.97","94.05","93.29","95.72","95.34","94.94","95.25","93.44","95.95","96.55","96.2","96.43","97.18","96.27","97.16","97.99","96.42","98.17","97.57","96.83","97.88","97.62","97.34","95.95","96.83","95.59","96.35","95.65","94.22","93.82","92.86","94.04","93.49","92.88","92.62","95.05","94.19","93.67"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.263","-13.126","-13.3278","-12.1761","-6.2041","-10.2835","-10.2572","-9.4952","-9.7598","-9.6514","-9.8025","-9.5954","-9.7022","-10.9274","-11.1865","-18.7533","-20.1481","-19.4997","-18.5532","-18.4177","-18.3327","-18.7872","-18.9926","-19.2217","-18.9752","-19.6519","-19.2118","-20.0276","-20.3443","-20.6202","-38.8436","-38.2113","-37.5725","-36.6299","-36.3611","-38.183","-38.1484","-38.3237","-37.8953","-37.5784","-38.2107","-38.8573","-39.2305","-38.8645","-38.0822","-37.8283","-37.3252","-37.9065","-39.2441","-38.3219","-39.1258"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.9579","0.1791","-0.3179","-0.182","-0.474900000000001","-0.124000000000001","-0.0976999999999997","0.664299999999999","0.399699999999999","0.508099999999999","0.356999999999999","0.5641","0.4573","-0.767900000000001","-1.012","1.0249","-0.369900000000001","0.278499999999998","1.225","1.3605","1.4455","0.991","0.785599999999999","0.5565","0.802999999999997","0.126299999999997","0.566399999999998","-0.249400000000001","-0.566100000000002","-0.842000000000002","-4.9186","-4.2863","-3.6475","-2.7049","-2.4361","-4.258","-4.22340000000001","-4.39870000000001","-3.9703","-3.6534","-4.28570000000001","-4.93230000000001","-5.3055","-4.9395","-4.1572","-3.9033","-3.40020000000001","-3.9815","-5.31910000000001","-4.3969","-5.2008"
