"","2015-12-28_to_2018-12-29_ValuePortfolio_2QRank","2016-01-28_to_2019-01-29_ValuePortfolio_2QRank","2016-02-29_to_2019-03-01_ValuePortfolio_2QRank","2016-03-28_to_2019-03-29_ValuePortfolio_2QRank","2016-04-28_to_2019-04-29_ValuePortfolio_2QRank","2016-05-31_to_2019-05-29_ValuePortfolio_2QRank","2016-06-28_to_2019-06-29_ValuePortfolio_2QRank","2016-07-28_to_2019-07-29_ValuePortfolio_2QRank","2016-08-29_to_2019-08-29_ValuePortfolio_2QRank","2016-09-28_to_2019-09-29_ValuePortfolio_2QRank","2016-10-28_to_2019-10-29_ValuePortfolio_2QRank","2016-11-28_to_2019-11-29_ValuePortfolio_2QRank","2016-12-28_to_2019-12-29_ValuePortfolio_2QRank","2017-01-30_to_2020-01-29_ValuePortfolio_2QRank","2017-02-28_to_2020-02-29_ValuePortfolio_2QRank","2017-03-28_to_2020-03-29_ValuePortfolio_2QRank","2017-04-28_to_2020-04-29_ValuePortfolio_2QRank","2017-05-30_to_2020-05-29_ValuePortfolio_2QRank","2017-06-28_to_2020-06-29_ValuePortfolio_2QRank","2017-07-28_to_2020-07-29_ValuePortfolio_2QRank","2017-08-28_to_2020-08-29_ValuePortfolio_2QRank","2017-09-28_to_2020-09-29_ValuePortfolio_2QRank","2017-10-30_to_2020-10-29_ValuePortfolio_2QRank","2017-11-28_to_2020-11-29_ValuePortfolio_2QRank","2017-12-28_to_2020-12-29_ValuePortfolio_2QRank","2018-01-29_to_2021-01-29_ValuePortfolio_2QRank","2018-02-28_to_2021-03-01_ValuePortfolio_2QRank","2018-03-28_to_2021-03-29_ValuePortfolio_2QRank","2018-04-30_to_2021-04-29_ValuePortfolio_2QRank","2018-05-29_to_2021-05-29_ValuePortfolio_2QRank","2018-06-28_to_2021-06-29_ValuePortfolio_2QRank","2018-07-30_to_2021-07-29_ValuePortfolio_2QRank","2018-08-28_to_2021-08-29_ValuePortfolio_2QRank","2018-09-28_to_2021-09-29_ValuePortfolio_2QRank","2018-10-29_to_2021-10-29_ValuePortfolio_2QRank","2018-11-28_to_2021-11-29_ValuePortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.466","21.095","22.337","18.685","17.245","10.549","18.301","14.601","12.277","13.128","16.698","17.883","18.042","15.891","5.155","-0.623","0.323","18.542","13.433","18.402","23.879","4.931","5.096","6.797","10.412","6.378","6.498","13.449","19.602","10.129","12.907","13.675","15.626","12.085","19.89","18.802"
"B Annualized Returns","6.517","11.696","13.199","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","2.949","9.399","9.138","7.056","4.917","0.635","5.251","2.954","1.994","2.215","4.096","5.322","5.104","3.082","-2.563","-3.144","-6.892","10.486","5.698","8.777","11.092","-4.99","-3.666","-4.67","-1.082","-2.798","-6.343","-1.611","2.876","-5.922","-3.532","-2.718","-0.26","-2.258","-0.451000000000001","-0.43"
"P Volatility","14.78","16.03","17.45","15.13","14.7","14.94","17.41","13.68","12.48","13.26","14.77","12.54","12.01","11.86","11.96","12.41","18.28","28.9","27.89","27.51","29.34","20.3","20.96","19.57","20.92","18.36","16.6","22.53","21.51","20.69","23.63","25.15","24.23","24.74","27.63","27.44"
"B Volatility","9.36","10.52","11.18","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","5.42","5.51","6.27","4.29","3.85","3.96","5.57","1.41","0.23","0.92","2.54","0.379999999999999","-0.220000000000001","-0.41","-0.229999999999999","-0.949999999999999","2.84","11.85","10.69","10.32","11.93","2.54","2.97","1.5","1.92","-0.510000000000002","-1.84","3.96","2.86","1.91","4.85","6.41","5.51","6","9.19","8.73"
"P Tracking Error","8.96","8.88","9.39","7.19","6.56","6.87","8.21","4.64","4.88","5.66","7.55","7.31","9.63","7.41","4.65","5.53","7.38","19.32","17.73","17.47","18.38","6.19","6.34","5.54","5.6","6.44","7.3","6.81","6.11","6.69","7.92","8.79","7.88","9.76","12.5","12.24"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
