"","1 Y 2017-04-18 to 2019-04-19","1 Y 2017-05-18 to 2019-05-19","1 Y 2017-06-19 to 2019-06-19","1 Y 2017-07-18 to 2019-07-19","1 Y 2017-08-18 to 2019-08-19","1 Y 2017-09-18 to 2019-09-19","1 Y 2017-10-18 to 2019-10-19","1 Y 2017-11-20 to 2019-11-19","1 Y 2017-12-18 to 2019-12-19","1 Y 2018-01-18 to 2020-01-19","1 Y 2018-02-20 to 2020-02-19","1 Y 2018-03-19 to 2020-03-19","1 Y 2018-04-18 to 2020-04-19","1 Y 2018-05-18 to 2020-05-19","1 Y 2018-06-18 to 2020-06-19","1 Y 2018-07-18 to 2020-07-19","1 Y 2018-08-20 to 2020-08-19","1 Y 2018-09-18 to 2020-09-19","1 Y 2018-10-18 to 2020-10-19","1 Y 2018-11-19 to 2020-11-19","1 Y 2018-12-18 to 2020-12-19","1 Y 2019-01-18 to 2021-01-19","1 Y 2019-02-19 to 2021-02-19","1 Y 2019-03-18 to 2021-03-19","1 Y 2019-04-18 to 2021-04-19","1 Y 2019-05-20 to 2021-05-19","1 Y 2019-06-18 to 2021-06-19","1 Y 2019-07-18 to 2021-07-19","1 Y 2019-08-19 to 2021-08-19","1 Y 2019-09-18 to 2021-09-19","1 Y 2019-10-18 to 2021-10-19","1 Y 2019-11-18 to 2021-11-19","1 Y 2019-12-18 to 2021-12-19","2 Y 2017-04-18 to 2019-04-19","2 Y 2017-05-18 to 2019-05-19","2 Y 2017-06-19 to 2019-06-19","2 Y 2017-07-18 to 2019-07-19","2 Y 2017-08-18 to 2019-08-19","2 Y 2017-09-18 to 2019-09-19","2 Y 2017-10-18 to 2019-10-19","2 Y 2017-11-20 to 2019-11-19","2 Y 2017-12-18 to 2019-12-19","2 Y 2018-01-18 to 2020-01-19","2 Y 2018-02-20 to 2020-02-19","2 Y 2018-03-19 to 2020-03-19","2 Y 2018-04-18 to 2020-04-19","2 Y 2018-05-18 to 2020-05-19","2 Y 2018-06-18 to 2020-06-19","2 Y 2018-07-18 to 2020-07-19","2 Y 2018-08-20 to 2020-08-19","2 Y 2018-09-18 to 2020-09-19","2 Y 2018-10-18 to 2020-10-19","2 Y 2018-11-19 to 2020-11-19","2 Y 2018-12-18 to 2020-12-19","2 Y 2019-01-18 to 2021-01-19","2 Y 2019-02-19 to 2021-02-19","2 Y 2019-03-18 to 2021-03-19","2 Y 2019-04-18 to 2021-04-19","2 Y 2019-05-20 to 2021-05-19","2 Y 2019-06-18 to 2021-06-19","2 Y 2019-07-18 to 2021-07-19","2 Y 2019-08-19 to 2021-08-19","2 Y 2019-09-18 to 2021-09-19","2 Y 2019-10-18 to 2021-10-19","2 Y 2019-11-18 to 2021-11-19","2 Y 2019-12-18 to 2021-12-19"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.1","6.456","4.533","7.333","8.973","3.773","10.333","14.825","30.241","29.588","28.855","-19.004","-3.546","4.278","5.661","4.238","16.461","13.358","24.34","26.158","30.625","30.031","27.443","88.922","67.09","59.986","49.114","45.433","42.892","46.297","45.425","47.405","33.149","14.263","15.427","14.864","16.119","18.874","13.267","11.233","9.993","10.396","12.276","16.457","-8.128","1.025","2.15","3.79","3.321","6.563","7.936","16.321","21.303","29.287","26.016","22.261","20.835","22.162","26.818","23.279","23.254","26.628","25.315","28.586","33.583","26.705"
"B Annualized Returns","7.251","5.125","5.932","6.137","2.338","3.399","7.853","15.96","27.859","26.315","21.814","-14.689","-1.049","2.912","4.86","7.666","16.354","10.399","14.016","15.23","15.725","14.44","15.815","62.41","47.626","40.806","33.74","31.053","30.548","32.052","31.886","31.159","27.049","11.369","9.957","9.215","9.692","9.775","9.523","7.977","9.94","9.333","9.1","11.669","-5.83","3.017","3.421","5.802","7.019","8.685","6.842","11.256","16.439","21.641","19.208","18.445","17.709","19.654","20.377","19.32","19.581","23.247","21.423","22.638","22.937","20.599"
"AR DIFF(P-B)","-0.151000000000001","1.331","-1.399","1.196","6.635","0.374","2.48","-1.135","2.382","3.273","7.041","-4.315","-2.497","1.366","0.800999999999999","-3.428","0.106999999999999","2.959","10.324","10.928","14.9","15.591","11.628","26.512","19.464","19.18","15.374","14.38","12.344","14.245","13.539","16.246","6.1","2.894","5.47","5.649","6.427","9.099","3.744","3.256","0.0530000000000008","1.063","3.176","4.788","-2.298","-1.992","-1.271","-2.012","-3.698","-2.122","1.094","5.065","4.864","7.646","6.808","3.816","3.126","2.508","6.441","3.959","3.673","3.381","3.892","5.948","10.646","6.106"
"P Volatility","21.36","21.95","22.53","24.29","25.13","24.43","21.6","21","15.89","12","12.06","14.65","23.3","27.52","27.92","27.47","27.87","28.9","29.87","29.9","32.51","32.26","30.9","19.46","15.98","17.79","15.34","15","15.62","13.52","15.65","11.47","12.05","15.58","16.23","16.77","17.72","18.25","17.73","17.8","17.32","17.4","16.71","16.53","17.14","21.48","23.88","24.55","24.38","24.87","25.49","24.68","24.73","24.63","23.71","23.98","24.28","23.82","24.16","22.88","23.35","23.86","23.13","24.23","26.24","26.08"
"B Volatility","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","11.29","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","19.86"
"V DIFF(P-B)","4.71","5.02","3.88","4.64","5.66","4.82","3.76","3.15","2.32","0.0500000000000007","0.0700000000000003","-1.09","3.15","3.98","5","4.52","4.56","4.82","5.09","4.95","5.43","5.13","6.06","1.36","1.02","2.72","0.0899999999999999","0.0500000000000007","1.55","1.31","2.24","0.48","0.760000000000002","2.83","3.28","2.73","2.99","3.53","2.9","2.99","2.56","2.51","2.18","2.4","1.69","3.36","3.61","4.07","4","4.25","4.38","4.08","3.95","4.14","3.68","3.89","4.17","3.69","4.81","3.87","4.34","5.04","4.3","4.78","6.46","6.22"
"P Tracking Error","6.57","6.87","6.99","6.67","8.2","6.55","6.99","5.41","4.63","4.21","3.63","3.32","6.42","5.96","6.97","5.35","5.57","7.74","8.05","8.94","8.57","8.37","8.74","4.82","5.29","6.12","5.28","5.33","5.91","5.67","5.81","5.54","5.01","4.9","5.78","5.98","6.05","6.88","5.56","6.28","5.31","5.15","5.38","5.08","4.4","5.78","5.43","5.91","4.89","5.28","6.37","6.35","6.97","6.74","6.39","6.63","6.53","6.24","6.97","6.48","6.98","7.68","6.9","7.34","8.8","8.43"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
