"","2016-12-13_to_2017-12-14_ALLPortfolio_12QRank","2017-01-13_to_2018-01-14_ALLPortfolio_12QRank","2017-02-13_to_2018-02-14_ALLPortfolio_12QRank","2017-03-13_to_2018-03-14_ALLPortfolio_12QRank","2017-04-13_to_2018-04-14_ALLPortfolio_12QRank","2017-05-15_to_2018-05-14_ALLPortfolio_12QRank","2017-06-13_to_2018-06-14_ALLPortfolio_12QRank","2017-07-13_to_2018-07-14_ALLPortfolio_12QRank","2017-08-14_to_2018-08-14_ALLPortfolio_12QRank","2017-09-13_to_2018-09-14_ALLPortfolio_12QRank","2017-10-13_to_2018-10-14_ALLPortfolio_12QRank","2017-11-13_to_2018-11-14_ALLPortfolio_12QRank","2017-12-13_to_2018-12-14_ALLPortfolio_12QRank","2018-01-15_to_2019-01-14_ALLPortfolio_12QRank","2018-02-13_to_2019-02-14_ALLPortfolio_12QRank","2018-03-13_to_2019-03-14_ALLPortfolio_12QRank","2018-04-13_to_2019-04-14_ALLPortfolio_12QRank","2018-05-14_to_2019-05-14_ALLPortfolio_12QRank","2018-06-13_to_2019-06-14_ALLPortfolio_12QRank","2018-07-13_to_2019-07-14_ALLPortfolio_12QRank","2018-08-13_to_2019-08-14_ALLPortfolio_12QRank","2018-09-13_to_2019-09-14_ALLPortfolio_12QRank","2018-10-15_to_2019-10-14_ALLPortfolio_12QRank","2018-11-13_to_2019-11-14_ALLPortfolio_12QRank","2018-12-13_to_2019-12-14_ALLPortfolio_12QRank","2019-01-14_to_2020-01-14_ALLPortfolio_12QRank","2019-02-13_to_2020-02-14_ALLPortfolio_12QRank","2019-03-13_to_2020-03-14_ALLPortfolio_12QRank","2019-04-15_to_2020-04-14_ALLPortfolio_12QRank","2019-05-13_to_2020-05-14_ALLPortfolio_12QRank","2019-06-13_to_2020-06-14_ALLPortfolio_12QRank","2019-07-15_to_2020-07-14_ALLPortfolio_12QRank","2019-08-13_to_2020-08-14_ALLPortfolio_12QRank","2019-09-13_to_2020-09-14_ALLPortfolio_12QRank","2019-10-14_to_2020-10-14_ALLPortfolio_12QRank","2019-11-13_to_2020-11-14_ALLPortfolio_12QRank","2019-12-13_to_2020-12-14_ALLPortfolio_12QRank","2020-01-13_to_2021-01-14_ALLPortfolio_12QRank","2020-02-13_to_2021-02-14_ALLPortfolio_12QRank","2020-03-13_to_2021-03-14_ALLPortfolio_12QRank","2020-04-13_to_2021-04-14_ALLPortfolio_12QRank","2020-05-13_to_2021-05-14_ALLPortfolio_12QRank","2020-06-15_to_2021-06-14_ALLPortfolio_12QRank","2020-07-13_to_2021-07-14_ALLPortfolio_12QRank","2020-08-13_to_2021-08-14_ALLPortfolio_12QRank","2020-09-14_to_2021-09-14_ALLPortfolio_12QRank"
"P Information Ratio","0.62","1.18","0.91","1.27","0.78","1.45","1.83","1.6","1.36","1.17","0.57","0.42","-0.12","0.49","0.22","0.28","-0.14","0.04","-0.66","-0.43","-0.71","-0.2","-0.05","-0.16","0.16","-0.53","-0.75","0.16","-0.43","-0.49","-0.19","-0.31","-0.33","-0.54","-0.36","0.02","0.09","0.5","0.71","2.68","2.18","2.86","1.56","1.64","1.1","1.23"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.07","-0.33","-0.16","-0.1","0.48","0.51","0.85","0.83","0.78","0.65","0.52","0.34","0.19","0.19","0.37","0.08","-0.13","-0.5","-0.41","-0.07","-0.15","0.03","-0.31","-0.3","-0.44","-0.3","-0.72","-0.38","-0.61","-0.63","-0.38","-0.32","-0.57","-0.68","-0.6","-0.22","-0.13","0.24","-0.74","1.44","1.68","1.28","1.53","1.58","0.93","0.86"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.26","1.28","1.1","1.08","0.88","0.84","0.9","0.93","0.77","0.81","0.85","0.96","0.98","1.07","1.16","1.19","1.19","1.15","1.12","1.19","1.19","1.19","1.22","1.25","1.22","1.06","1.06","0.93","1.28","1.31","1.36","1.37","1.41","1.34","1.33","1.36","1.41","1.43","1.53","1.29","1.2","1.09","1.02","1.05","1.16","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","64.7","68.14","72.02","88.02","71.4","66.79","64.26","63.93","51.38","61.43","63.46","81.29","82.06","86.58","90.31","94.92","94.36","93.86","94.07","94.83","93.66","93.81","92.17","89.88","81.45","74.85","74.47","82.72","89.17","92.8","90.28","90.69","91.31","90.02","89.56","89.98","90.7","92.2","93.68","75.48","60.25","52","55.45","51.27","46.77","33.71"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-3.0573","-3.163","-9.9071","-9.9759","-9.8976","-10.0289","-10.0212","-10.0396","-9.9415","-10.0353","-9.9929","-11.6203","-14.0579","-21.8294","-22.2223","-21.7901","-22.2003","-22.1109","-21.8612","-22.0425","-22.0111","-21.6432","-17.2349","-15.8414","-10.0285","-7.0645","-7.3876","-29.6133","-36.3343","-35.9897","-36.6884","-36.4778","-37.3743","-36.8971","-37.0471","-37.6356","-37.8903","-38.1168","-38.131","-10.5101","-10.9508","-11.6473","-8.4364","-8.5496","-8.573","-6.8157"
"B Max Drawdown","-2.7968","-2.7968","-9.5507","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.878","-10.0305","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.2973","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6044","-9.6044","-9.6044","-9.6044","-9.6044","-7.4469"
"MD DIFF(P-B)","-0.2605","-0.3662","-0.356399999999999","-0.4253","-0.347000000000001","-0.478300000000001","-0.470600000000001","-0.489000000000001","-0.3909","-0.4847","-0.442300000000001","-1.7423","-4.0274","-2.0512","-2.4441","-2.0119","-2.4221","-2.3327","-2.083","-2.2643","-2.2329","-1.865","-0.7883","-0.0990000000000002","1.2688","-0.2283","-0.5515","-2.8717","-2.4093","-2.0647","-2.7634","-2.5528","-3.4493","-2.9721","-3.1221","-3.7106","-3.96530000000001","-4.1918","-4.206","1.0268","-1.3464","-2.0429","1.168","1.0548","1.0314","0.631200000000001"
