"","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.738","4.424","10.513","18.079","25.622","29.003","25.305","-2.822","3.581","7.251","9.943","10.667","21.603","19.055","26.703","25.575","34.778","37.646","38.535","75.72","54.217","41.227","41.652","38.177","36.943","46.687"
"B Annualized Returns","1.037","3.535","8.903","14.294","21.946","26.012","23.106","-3.47","-4.255","-0.439","6.14","7.407","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.322","38.479","35.129","32.572","34.539"
"AR DIFF(P-B)","6.701","0.889","1.61","3.785","3.676","2.991","2.199","0.648","7.836","7.69","3.803","3.26","3.158","5.605","10.191","9.799","19.012","24.035","24.503","14.029","4.383","-5.09500000000001","3.173","3.048","4.371","12.148"
"P Volatility","23.5","23.91","19.83","19.05","14.09","11.68","11.16","12.86","18.9","24.67","24.6","25.21","24.41","23.81","24.02","25.73","28.35","29.63","28.82","19.15","14.79","14.8","15.35","13.08","12.29","11.11"
"B Volatility","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","4.03","4.3","1.99","1.2","0.52","-0.27","-0.83","-2.88","-1.25","1.13","1.68","2.26","1.1","-0.27","-0.760000000000002","0.780000000000001","1.27","2.5","4.29","1.37","0.219999999999999","0.110000000000001","0.48","-1.49","-1.37","-0.620000000000001"
"P Tracking Error","6.45","6.87","6.26","6.43","6.01","6.12","5.51","6.73","8.09","7.54","8.51","8.17","8.35","7.18","7.5","7.12","5.38","5.94","8.22","7.13","6.88","5.63","6.27","5.82","5.54","4.47"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.04","0.13","0.26","0.59","0.61","0.49","0.4","0.1","0.97","1.02","0.45","0.4","0.38","0.78","1.36","1.38","3.53","4.05","2.98","1.97","0.64","-0.9","0.51","0.52","0.79","2.72"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.41","0.45","0.12","0.33","0.47","0.38","0.25","0.4","0.49","0.25","0.57","0.35","0.42","0.28","0.74","0.69","1.36","1.45","0.77","0.78","0.62","0.27","0.21","0.47","0.79","0.79"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.17","1.18","1.06","1","0.94","0.85","0.83","0.74","0.86","1","1.01","1.04","0.98","0.94","0.92","0.99","1.03","1.07","1.13","1","0.9","0.93","0.94","0.82","0.82","0.88"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.94","93.31","89.21","87.35","80.12","72.21","76.71","80.63","82.16","89.62","86.71","88.47","87.01","90.25","89.84","91.5","96.07","96.03","92.42","84.59","76.99","84.41","81.81","82.28","81.73","83.9"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.8842","-24.3785","-20.0581","-16.9939","-10.2277","-5.8309","-5.9631","-27.9833","-35.1318","-35.3036","-36.2064","-35.836","-34.3232","-35.0895","-34.4727","-35.9468","-35.8297","-36.0139","-37.5098","-12.9806","-10.3812","-10.7971","-10.4356","-10.7464","-9.9716","-9.9398"
"B Max Drawdown","-19.7782","-19.7782","-16.4466","-15.7424","-9.5713","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4772"
"MD DIFF(P-B)","-4.106","-4.6003","-3.6115","-1.2515","-0.6564","1.0053","0.873","-1.2417","-1.2068","-1.37860000000001","-2.2814","-1.911","-0.398200000000003","-1.1645","-0.547700000000006","-2.02180000000001","-1.90470000000001","-2.0889","-3.5848","-1.4437","-0.7767","-1.1926","-0.831200000000001","-1.142","-0.367100000000001","-2.4626"
