"","2016-03-28_to_2017-03-29_VGPortfolio_3QRank","2016-04-28_to_2017-04-29_VGPortfolio_3QRank","2016-05-31_to_2017-05-29_VGPortfolio_3QRank","2016-06-28_to_2017-06-29_VGPortfolio_3QRank","2016-07-28_to_2017-07-29_VGPortfolio_3QRank","2016-08-29_to_2017-08-29_VGPortfolio_3QRank","2016-09-28_to_2017-09-29_VGPortfolio_3QRank","2016-10-28_to_2017-10-29_VGPortfolio_3QRank","2016-11-28_to_2017-11-29_VGPortfolio_3QRank","2016-12-28_to_2017-12-29_VGPortfolio_3QRank","2017-01-30_to_2018-01-29_VGPortfolio_3QRank","2017-02-28_to_2018-03-01_VGPortfolio_3QRank","2017-03-28_to_2018-03-29_VGPortfolio_3QRank","2017-04-28_to_2018-04-29_VGPortfolio_3QRank","2017-05-30_to_2018-05-29_VGPortfolio_3QRank","2017-06-28_to_2018-06-29_VGPortfolio_3QRank","2017-07-28_to_2018-07-29_VGPortfolio_3QRank","2017-08-28_to_2018-08-29_VGPortfolio_3QRank","2017-09-28_to_2018-09-29_VGPortfolio_3QRank","2017-10-30_to_2018-10-29_VGPortfolio_3QRank","2017-11-28_to_2018-11-29_VGPortfolio_3QRank","2017-12-28_to_2018-12-29_VGPortfolio_3QRank","2018-01-29_to_2019-01-29_VGPortfolio_3QRank","2018-02-28_to_2019-03-01_VGPortfolio_3QRank","2018-03-28_to_2019-03-29_VGPortfolio_3QRank","2018-04-30_to_2019-04-29_VGPortfolio_3QRank","2018-05-29_to_2019-05-29_VGPortfolio_3QRank","2018-06-28_to_2019-06-29_VGPortfolio_3QRank","2018-07-30_to_2019-07-29_VGPortfolio_3QRank","2018-08-28_to_2019-08-29_VGPortfolio_3QRank","2018-09-28_to_2019-09-29_VGPortfolio_3QRank","2018-10-29_to_2019-10-29_VGPortfolio_3QRank","2018-11-28_to_2019-11-29_VGPortfolio_3QRank","2018-12-28_to_2019-12-29_VGPortfolio_3QRank","2019-01-28_to_2020-01-29_VGPortfolio_3QRank","2019-02-28_to_2020-02-29_VGPortfolio_3QRank","2019-03-28_to_2020-03-29_VGPortfolio_3QRank","2019-04-29_to_2020-04-29_VGPortfolio_3QRank","2019-05-28_to_2020-05-29_VGPortfolio_3QRank","2019-06-28_to_2020-06-29_VGPortfolio_3QRank","2019-07-29_to_2020-07-29_VGPortfolio_3QRank","2019-08-28_to_2020-08-29_VGPortfolio_3QRank","2019-09-30_to_2020-09-29_VGPortfolio_3QRank","2019-10-28_to_2020-10-29_VGPortfolio_3QRank","2019-11-29_to_2020-11-29_VGPortfolio_3QRank","2019-12-30_to_2020-12-29_VGPortfolio_3QRank","2020-01-28_to_2021-01-29_VGPortfolio_3QRank","2020-02-28_to_2021-03-01_VGPortfolio_3QRank","2020-03-30_to_2021-03-29_VGPortfolio_3QRank","2020-04-28_to_2021-04-29_VGPortfolio_3QRank","2020-05-28_to_2021-05-29_VGPortfolio_3QRank","2020-06-29_to_2021-06-29_VGPortfolio_3QRank","2020-07-28_to_2021-07-29_VGPortfolio_3QRank","2020-08-28_to_2021-08-29_VGPortfolio_3QRank","2020-09-28_to_2021-09-29_VGPortfolio_3QRank","2020-10-28_to_2021-10-29_VGPortfolio_3QRank","2020-11-30_to_2021-11-29_VGPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.215","22.97","22.59","24.983","18.784","16.757","24.005","26.352","21.505","22.36","25.349","15.063","14.524","13.15","18.966","20.556","21.105","30.246","23.016","7.709","9.12","-5.57","-1.287","9.749","8.988","9.74","2.89","7.033","6.968","0.096","0.99","19.839","13.956","28.697","17.969","0.579","-17.451","-5.262","5.46","-2.807","5.379","16.597","11.11","6.004","22.32","23.911","24.699","41","101.242","70.161","68.63","68.416","57.142","53.768","59.835","66.327","35.963"
"B Annualized Returns","14.896","14.856","15.433","16.85","13.919","12.196","17.118","21.446","19.115","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","8.319","8.114","7.157","8.133","4.865","4.561","6.887","4.906","2.39","3.494","0.167000000000002","3.305","2.676","1.132","7.455","8.213","7.039","11.126","6.924","5.042","4.865","1.939","6.196","5.043","1.66","-1.432","-0.573","-1.267","-0.846","-0.266","-0.655","4.86","-0.770000000000001","-1.742","-6.023","-5.517","-7.72","-5.047","-3.7","-5.815","-2.761","-3.352","-0.941000000000001","-2.639","6.438","8.211","11.586","14.656","49.886","26.89","29.868","27.851","21.52","25.134","29.135","27.196","7.334"
"P Volatility","9.03","8.47","8.05","9.22","8.18","7.77","8.47","7.4","4.53","5.45","4.97","8.04","7.87","8.82","9.06","9.37","9.75","9.18","8.65","9.13","14.27","13.45","15.41","18.63","19.17","19.19","18.83","21.72","22.96","22.2","23.4","20.59","21.51","18.35","14.93","14.28","16.71","24.83","28.44","31.9","31.03","31.4","32.06","31.93","32.81","37.82","37.17","22.12","26.59","20.04","20.2","20.51","21.16","21.22","19.52","20.86","10.03"
"B Volatility","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","2.73","2.1","1.68","2.98","2.48","2.15","2.9","3.15","0.74","1.42","0.91","0.139999999999999","-0.0300000000000002","-0.119999999999999","0.0999999999999996","0.33","0.75","-0.17","-0.869999999999999","-0.369999999999999","1.8","0.899999999999999","0.94","2.02","2.56","2.54","1.9","3.07","3.31","2.73","3.79","2.75","3.66","4.78","2.98","2.29","0.970000000000001","4.68","4.9","7.76","8.08","8.09","7.98","7.15","7.86","10.74","10.04","4.02","8.49","5.08","5.13","5.26","6.21","7.15","7.31","7.45","-0.960000000000001"
"P Tracking Error","4.25","3.1","3.04","4.44","3.93","3.71","4.59","4.77","2.6","3","1.8","2.29","2.28","3.06","3.44","4.08","3.85","5.17","4.28","3.56","5","5.1","4.84","4.09","4.01","4.26","4.29","4.43","4.56","3.67","4.47","3.99","4.78","5.46","3.96","3.2","3.73","6.35","6.18","9.22","9.5","9.25","9.03","9.36","10.97","13.17","12.26","7.93","12.97","10.72","11.05","11.9","11.62","11.62","11.95","13.39","8.34"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
