"","2016-03-28_to_2017-03-29_CorePortfolio_3QRank","2016-04-28_to_2017-04-29_CorePortfolio_3QRank","2016-05-31_to_2017-05-29_CorePortfolio_3QRank","2016-06-28_to_2017-06-29_CorePortfolio_3QRank","2016-07-28_to_2017-07-29_CorePortfolio_3QRank","2016-08-29_to_2017-08-29_CorePortfolio_3QRank","2016-09-28_to_2017-09-29_CorePortfolio_3QRank","2016-10-28_to_2017-10-29_CorePortfolio_3QRank","2016-11-28_to_2017-11-29_CorePortfolio_3QRank","2016-12-28_to_2017-12-29_CorePortfolio_3QRank","2017-01-30_to_2018-01-29_CorePortfolio_3QRank","2017-02-28_to_2018-03-01_CorePortfolio_3QRank","2017-03-28_to_2018-03-29_CorePortfolio_3QRank","2017-04-28_to_2018-04-29_CorePortfolio_3QRank","2017-05-30_to_2018-05-29_CorePortfolio_3QRank","2017-06-28_to_2018-06-29_CorePortfolio_3QRank","2017-07-28_to_2018-07-29_CorePortfolio_3QRank","2017-08-28_to_2018-08-29_CorePortfolio_3QRank","2017-09-28_to_2018-09-29_CorePortfolio_3QRank","2017-10-30_to_2018-10-29_CorePortfolio_3QRank","2017-11-28_to_2018-11-29_CorePortfolio_3QRank","2017-12-28_to_2018-12-29_CorePortfolio_3QRank","2018-01-29_to_2019-01-29_CorePortfolio_3QRank","2018-02-28_to_2019-03-01_CorePortfolio_3QRank","2018-03-28_to_2019-03-29_CorePortfolio_3QRank","2018-04-30_to_2019-04-29_CorePortfolio_3QRank","2018-05-29_to_2019-05-29_CorePortfolio_3QRank","2018-06-28_to_2019-06-29_CorePortfolio_3QRank","2018-07-30_to_2019-07-29_CorePortfolio_3QRank","2018-08-28_to_2019-08-29_CorePortfolio_3QRank","2018-09-28_to_2019-09-29_CorePortfolio_3QRank","2018-10-29_to_2019-10-29_CorePortfolio_3QRank","2018-11-28_to_2019-11-29_CorePortfolio_3QRank","2018-12-28_to_2019-12-29_CorePortfolio_3QRank","2019-01-28_to_2020-01-29_CorePortfolio_3QRank","2019-02-28_to_2020-02-29_CorePortfolio_3QRank","2019-03-28_to_2020-03-29_CorePortfolio_3QRank","2019-04-29_to_2020-04-29_CorePortfolio_3QRank","2019-05-28_to_2020-05-29_CorePortfolio_3QRank","2019-06-28_to_2020-06-29_CorePortfolio_3QRank","2019-07-29_to_2020-07-29_CorePortfolio_3QRank","2019-08-28_to_2020-08-29_CorePortfolio_3QRank","2019-09-30_to_2020-09-29_CorePortfolio_3QRank","2019-10-28_to_2020-10-29_CorePortfolio_3QRank","2019-11-29_to_2020-11-29_CorePortfolio_3QRank","2019-12-30_to_2020-12-29_CorePortfolio_3QRank","2020-01-28_to_2021-01-29_CorePortfolio_3QRank","2020-02-28_to_2021-03-01_CorePortfolio_3QRank","2020-03-30_to_2021-03-29_CorePortfolio_3QRank","2020-04-28_to_2021-04-29_CorePortfolio_3QRank","2020-05-28_to_2021-05-29_CorePortfolio_3QRank","2020-06-29_to_2021-06-29_CorePortfolio_3QRank","2020-07-28_to_2021-07-29_CorePortfolio_3QRank","2020-08-28_to_2021-08-29_CorePortfolio_3QRank","2020-09-28_to_2021-09-29_CorePortfolio_3QRank","2020-10-28_to_2021-10-29_CorePortfolio_3QRank","2020-11-30_to_2021-11-29_CorePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.263","16.241","16.826","20.27","15.967","12.295","17.941","25.109","22.311","21.683","27.3","12.36","15.736","16.1","13.459","13.532","14.11","17.637","13.565","0.269","1.7","-8.823","-6.97","6.147","6.253","10.881","3.161","8.989","8.675","2.066","5.227","16.094","14.593","32.06","23.453","4.608","-14.504","-5.517","2.547","-4.593","0.446","8.627","2.953","2.667","10.459","7.774","7.556","25.316","60.453","52.653","47.715","47.116","40.517","36.939","37.759","42.225","26.775"
"B Annualized Returns","14.896","14.856","15.433","16.85","13.919","12.196","17.118","21.446","19.115","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","3.367","1.385","1.393","3.42","2.048","0.0990000000000002","0.823","3.663","3.196","2.817","2.118","0.602","3.888","4.082","1.948","1.189","0.0439999999999987","-1.483","-2.527","-2.398","-2.555","-1.314","0.513","1.441","-1.075","-0.291","-0.302","0.689","0.861000000000001","1.704","3.582","1.115","-0.133000000000001","1.621","-0.539000000000001","-1.488","-4.773","-5.302","-6.613","-7.601","-7.694","-11.322","-9.098","-5.976","-5.423","-7.926","-5.557","-1.028","9.097","9.382","8.953","6.551","4.895","8.305","7.059","3.094","-1.854"
"P Volatility","7.41","7.43","7.95","7.2","6.47","6.56","6.28","4.65","3.75","4.09","4.32","7.61","7.59","7.53","7.51","7.84","7.43","8.25","8.23","7.91","10.95","11.96","15.05","18.2","17.86","17.85","18.15","18.63","19.62","20.1","19.59","18.98","18.32","13.46","11.21","11.51","15.87","23.03","27.6","27.28","25.8","27.21","26.88","27.11","26.64","28.37","29.09","16.42","16.78","14.51","14.16","13.83","14.51","14.3","13.6","15.9","11.92"
"B Volatility","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","1.11","1.06","1.58","0.96","0.77","0.94","0.71","0.4","-0.04","0.0599999999999996","0.260000000000001","-0.29","-0.31","-1.41","-1.45","-1.2","-1.57","-1.1","-1.29","-1.59","-1.52","-0.59","0.58","1.59","1.25","1.2","1.22","-0.0199999999999996","-0.0299999999999976","0.630000000000003","-0.0199999999999996","1.14","0.469999999999999","-0.109999999999999","-0.739999999999998","-0.48","0.129999999999999","2.88","4.06","3.14","2.85","3.9","2.8","2.33","1.69","1.29","1.96","-1.68","-1.32","-0.450000000000001","-0.91","-1.42","-0.44","0.23","1.39","2.49","0.93"
"P Tracking Error","1.89","2.02","2.57","2.02","1.95","1.88","1.54","1.25","1.28","1.47","1.79","1.95","1.75","2.86","3.18","3.05","2.97","3.16","2.86","3.25","2.93","2.66","2.45","2.55","2.48","3.02","2.73","2.75","2.46","2.8","2.5","2.37","2.43","2.45","2.48","2.17","2.2","4.67","5.41","4.87","4.72","5.56","5.43","5.48","5.44","6","6.5","5.67","5.73","5.9","6.49","5.81","7.12","5.94","5.71","5.46","5.39"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
