"","2017-01-10_to_2019-01-11_ALLPortfolio_2QRank","2017-02-10_to_2019-02-11_ALLPortfolio_2QRank","2017-03-10_to_2019-03-11_ALLPortfolio_2QRank","2017-04-10_to_2019-04-11_ALLPortfolio_2QRank","2017-05-10_to_2019-05-11_ALLPortfolio_2QRank","2017-06-12_to_2019-06-11_ALLPortfolio_2QRank","2017-07-10_to_2019-07-11_ALLPortfolio_2QRank","2017-08-10_to_2019-08-11_ALLPortfolio_2QRank","2017-09-11_to_2019-09-11_ALLPortfolio_2QRank","2017-10-10_to_2019-10-11_ALLPortfolio_2QRank","2017-11-10_to_2019-11-11_ALLPortfolio_2QRank","2017-12-11_to_2019-12-11_ALLPortfolio_2QRank","2018-01-10_to_2020-01-11_ALLPortfolio_2QRank","2018-02-12_to_2020-02-11_ALLPortfolio_2QRank","2018-03-12_to_2020-03-11_ALLPortfolio_2QRank","2018-04-10_to_2020-04-11_ALLPortfolio_2QRank","2018-05-10_to_2020-05-11_ALLPortfolio_2QRank","2018-06-11_to_2020-06-11_ALLPortfolio_2QRank","2018-07-10_to_2020-07-11_ALLPortfolio_2QRank","2018-08-10_to_2020-08-11_ALLPortfolio_2QRank","2018-09-10_to_2020-09-11_ALLPortfolio_2QRank","2018-10-10_to_2020-10-11_ALLPortfolio_2QRank","2018-11-12_to_2020-11-11_ALLPortfolio_2QRank","2018-12-10_to_2020-12-11_ALLPortfolio_2QRank","2019-01-10_to_2021-01-11_ALLPortfolio_2QRank","2019-02-11_to_2021-02-11_ALLPortfolio_2QRank","2019-03-11_to_2021-03-11_ALLPortfolio_2QRank","2019-04-10_to_2021-04-11_ALLPortfolio_2QRank","2019-05-10_to_2021-05-11_ALLPortfolio_2QRank","2019-06-10_to_2021-06-11_ALLPortfolio_2QRank","2019-07-10_to_2021-07-11_ALLPortfolio_2QRank","2019-08-12_to_2021-08-11_ALLPortfolio_2QRank","2019-09-10_to_2021-09-11_ALLPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.08","0.06","0.17","0.07","0.18","0.35","0.24","0.51","-0.07","0.1","0.13","0.05","0.17","0.24","0.07","-0.13","-0.2","-0.02","-0.17","-0.23","-0.35","-0.19","-0.13","-0.06","0.13","-0.2","-0.03","0.06","0.08","-0.03","0.04","-0.01","0"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.02","1.13","1.13","1.15","1.16","1.09","1.08","1.11","1.16","1.09","1.06","1.05","1.05","0.99","1.01","1.13","1.12","1.12","1.19","1.23","1.22","1.21","1.14","1.19","1.19","1.17","1.13","1.16","1.17","1.21","1.19","1.21","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.44","94.34","93.15","93.02","92.47","91.65","92.45","90.59","95.67","95.05","93.22","93.96","92.7","93.85","95.1","95.72","96.47","96.57","97.66","97.56","97.96","97.59","95.31","94.32","94.22","93.96","92.53","92.14","94.39","93.82","94.01","92.3","92.11"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.7368","-21.4041","-21.1645","-22.1294","-22.1646","-21.8927","-21.7681","-22.056","-22.8303","-21.2449","-20.8188","-21.2889","-20.7052","-19.5559","-20.8366","-38.4235","-38.317","-37.7883","-38.4828","-39.306","-39.3904","-38.7769","-38.929","-40.0032","-38.8198","-38.9126","-38.9527","-38.6159","-38.07","-39.3264","-38.6385","-39.7376","-40.1998"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.958600000000001","-1.6259","-1.3863","-2.3512","-2.3864","-2.1145","-1.9899","-2.2778","-3.0521","-1.4667","-1.0406","-1.5107","-0.927000000000003","0.222299999999997","-1.0584","-4.4985","-4.392","-3.8633","-4.5578","-5.381","-5.4654","-4.8519","-5.004","-6.0782","-4.8948","-4.9876","-5.0277","-4.69090000000001","-4.145","-5.4014","-4.7135","-5.8126","-6.27480000000001"
