"","2017-01-10_to_2020-01-11_ALLPortfolio_2QRank","2017-02-10_to_2020-02-11_ALLPortfolio_2QRank","2017-03-10_to_2020-03-11_ALLPortfolio_2QRank","2017-04-10_to_2020-04-11_ALLPortfolio_2QRank","2017-05-10_to_2020-05-11_ALLPortfolio_2QRank","2017-06-12_to_2020-06-11_ALLPortfolio_2QRank","2017-07-10_to_2020-07-11_ALLPortfolio_2QRank","2017-08-10_to_2020-08-11_ALLPortfolio_2QRank","2017-09-11_to_2020-09-11_ALLPortfolio_2QRank","2017-10-10_to_2020-10-11_ALLPortfolio_2QRank","2017-11-10_to_2020-11-11_ALLPortfolio_2QRank","2017-12-11_to_2020-12-11_ALLPortfolio_2QRank","2018-01-10_to_2021-01-11_ALLPortfolio_2QRank","2018-02-12_to_2021-02-11_ALLPortfolio_2QRank","2018-03-12_to_2021-03-11_ALLPortfolio_2QRank","2018-04-10_to_2021-04-11_ALLPortfolio_2QRank","2018-05-10_to_2021-05-11_ALLPortfolio_2QRank","2018-06-11_to_2021-06-11_ALLPortfolio_2QRank","2018-07-10_to_2021-07-11_ALLPortfolio_2QRank","2018-08-10_to_2021-08-11_ALLPortfolio_2QRank","2018-09-10_to_2021-09-11_ALLPortfolio_2QRank","2018-10-10_to_2021-10-11_ALLPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.842","14.955","8.386","6.886","12.781","13.999","15.153","19.775","10.768","13.456","19.249","17.616","21.267","22.682","17.604","20.593","17.08","18.218","18.495","19.414","18.134","21.367"
"B Annualized Returns","12.903","13.166","4.924","5.773","6.872","7.311","9.468","10.969","10.314","10.881","11.406","11.249","11.381","13.203","11.454","15.829","15.069","15.133","16.077","16.188","16.321","18.123"
"AR DIFF(P-B)","1.939","1.789","3.462","1.113","5.909","6.688","5.685","8.806","0.454000000000001","2.575","7.843","6.367","9.886","9.479","6.15","4.764","2.011","3.085","2.418","3.226","1.813","3.244"
"P Volatility","13.58","13.77","14.07","18.89","21.47","22.47","22.18","22.86","21.55","20.56","21.19","22.91","23.2","21.74","21.69","22.22","21.19","21.06","22.08","22.8","22.84","22.28"
"B Volatility","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","1.31","1.58","0.710000000000001","3.45","4.42","5.27","4.99","5.45","3.79","2.57","3.12","3.91","4.33","3.08","3.16","3.66","2.5","2.37","3.43","4.17","4.19","4.05"
"P Tracking Error","4.09","3.62","4.83","6.4","7.48","9.32","9.24","9.62","5.36","5.15","6.47","6.82","7.66","6.51","6.1","6.34","5.86","5.88","6.18","6.84","6.49","6.1"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.47","0.49","0.72","0.17","0.79","0.72","0.62","0.92","0.08","0.5","1.21","0.93","1.29","1.46","1.01","0.75","0.34","0.52","0.39","0.47","0.28","0.53"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.07","0.05","0.36","0.02","0.3","0.56","0.32","0.51","-0.14","0.1","0.47","0.34","0.57","0.44","0.25","0.23","0.05","0.11","0.08","0.06","-0.04","-0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.09","0.99","1.16","1.2","1.21","1.19","1.21","1.19","1.11","1.12","1.16","1.17","1.12","1.13","1.16","1.09","1.09","1.15","1.18","1.19","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","90.92","93.6","87.85","89.99","90.01","84.84","84.32","84.38","96.18","94.52","91.54","92.74","90.83","91.84","93.12","93.4","92.81","92.57","93.51","93.01","94.13","94.78"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.7368","-21.4041","-22.047","-40.3309","-39.5004","-40.4051","-40.1385","-40.3525","-38.7061","-37.7446","-38.726","-39.3006","-39.4997","-38.4268","-38.4461","-38.4235","-38.317","-37.7883","-38.4828","-39.306","-39.3904","-38.7769"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.958600000000001","-1.6259","-2.2688","-6.4059","-5.5754","-6.4801","-6.2135","-6.4275","-4.7811","-3.8196","-4.801","-5.37560000000001","-5.5747","-4.5018","-4.5211","-4.4985","-4.392","-3.8633","-4.5578","-5.381","-5.4654","-4.8519"
