"","1 Y 2017-01-10 to 2018-01-11","1 Y 2017-02-10 to 2018-02-11","1 Y 2017-03-10 to 2018-03-11","1 Y 2017-04-10 to 2018-04-11","1 Y 2017-05-10 to 2018-05-11","1 Y 2017-06-12 to 2018-06-11","1 Y 2017-07-10 to 2018-07-11","1 Y 2017-08-10 to 2018-08-11","1 Y 2017-09-11 to 2018-09-11","1 Y 2017-10-10 to 2018-10-11","1 Y 2017-11-10 to 2018-11-11","1 Y 2017-12-11 to 2018-12-11","1 Y 2018-01-10 to 2019-01-11","1 Y 2018-02-12 to 2019-02-11","1 Y 2018-03-12 to 2019-03-11","1 Y 2018-04-10 to 2019-04-11","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.577","13.98","21.492","16.356","20.887","23.827","22.634","24.654","21.697","9.398","11.671","0.257","-3.525","6.808","2.289","10.724","6.573","4.818","5.799","1.602","0.791","7.495","12.369","18.173","22.6","18.807","-7.875","-11.086","0.014","-1.705","1.159","10.63","6.219","11.832","13.188","20.247","24.539","23.088","70.219","72.898","71.096","64.383","60.988","49.977","52.166"
"B Annualized Returns","21.634","13.14","17.5","12.253","13.919","14.557","14.368","16.203","16.068","6.776","7.717","-0.873","-6.19","2.031","0.01","9.315","5.814","3.728","8.143","3.022","3.914","8.866","13.273","19.146","25.753","23.911","-1.796","-3.41","4.22","4.245","6.171","15.629","11.012","18.345","15.551","15.619","15.601","14.015","40.552","48.155","41.701","41.482","37.309","33.417","35.898"
"AR DIFF(P-B)","0.943000000000001","0.84","3.992","4.103","6.968","9.27","8.266","8.451","5.629","2.622","3.954","1.13","2.665","4.777","2.279","1.409","0.759","1.09","-2.344","-1.42","-3.123","-1.371","-0.904","-0.973000000000003","-3.153","-5.104","-6.079","-7.676","-4.206","-5.95","-5.012","-4.999","-4.793","-6.513","-2.363","4.628","8.938","9.073","29.667","24.743","29.395","22.901","23.679","16.56","16.268"
"P Volatility","5.01","5.71","7.23","7.95","8.43","8.91","9.09","8.51","8.7","8.41","12.8","12.63","16","18.15","19.26","19.73","18.84","20.66","23.14","23.57","23.3","21.7","20.72","16.37","14.08","13.44","16.32","24.72","28.35","28.95","28.63","29.99","31.37","31.34","32.17","34.93","33.75","32.14","21.39","18.31","17.95","17.85","18.79","19.21","16.47"
"B Volatility","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","0.95","0.17","-0.67","-0.989999999999999","-0.530000000000001","-0.129999999999999","0.0899999999999999","-0.84","-0.82","-1.09","0.33","0.0800000000000001","1.53","1.47","2.65","3.08","1.91","2.01","3.49","4.1","3.69","3.86","2.87","2.8","2.13","1.45","0.58","4.57","4.81","6.03","5.68","6.68","7.29","6.56","7.22","7.85","6.62","7.61","3.61","3.74","3.26","2.98","4.22","5.55","4.74"
"P Tracking Error","1.96","1.84","2.03","2.88","2.82","3.5","3.84","4.26","2.81","3.41","3.83","3.93","4.4","4.03","3.89","4.15","3.82","4.01","4.33","4.84","4.47","4.52","3.83","3.85","2.9","2.13","2.04","5.81","5.78","7.05","6.71","7.8","8.48","8.81","9.47","9.84","8.7","9.56","9.44","10.65","10.67","10.45","11.12","12.14","10.62"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.48","0.46","1.97","1.42","2.47","2.65","2.15","1.98","2","0.77","1.03","0.29","0.61","1.19","0.59","0.34","0.2","0.27","-0.54","-0.29","-0.7","-0.3","-0.24","-0.25","-1.09","-2.4","-2.98","-1.32","-0.73","-0.84","-0.75","-0.64","-0.57","-0.74","-0.25","0.47","1.03","0.95","3.14","2.32","2.75","2.19","2.13","1.36","1.53"
