"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.451","10.185","5.03","1.177","25.874","30.361","37.546","27.942","8.942","-1.95","1.588","25.554","15.255","21.07","39.21","36.496","44.559","55.3","62.293","47.452","56.901","72.178","67.674","45.193","55.106","48.016","39.587","36.536","46.535","35.545","18.201","18.908","16.344","13.293","12.756","17.035","13.99","10.302","7.008","3.94","8.05","14.248","12.249","16.731","19.263","17.218","34.436","39.461","50.767","41.279","35.227","31.514","34.548","32.894","32.525","33.192","33.929","31.672","36.124","34.638"
"B Annualized Returns","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","9.786","10.576","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703"
"AR DIFF(P-B)","5.151","3.545","5.361","-0.463","10.755","12.783","7.364","4.023","2.846","7.781","4.294","16.689","12.379","14.533","19.261","23.866","36.849","39.975","46.287","31.75","28.957","21.059","21.582","6.431","14.448","11.284","10.177","6.669","6.016","9.041","8.415","8.332","7.646","4.601","4.252","6.932","4.091","3.141","2.673","5.167","4.058","8.118","6.674","9.559","9.544","9.982","23.151","24.308","28.216","21.504","18.401","12.486","15.326","9.986","11.787","12.498","8.971","10.718","13.098","13.935"
"P Volatility","23.18","25.39","24.36","26.43","22.15","21.67","18.86","17.8","17.25","16.01","22.87","28.86","30.12","30.07","30.61","30.83","31.12","28.24","30.25","29.78","29.3","21.34","17.99","15.71","16.93","16.07","14.98","14.13","16.34","15.14","17.09","18.41","17.96","19.66","19.53","18.99","19.99","20.79","20.67","19.99","22.81","26.23","27.72","27.1","27.66","27.54","25.48","23.2","22.45","21.98","22.53","22.44","22.22","20.28","21.01","20.62","20.13","19.77","20.86","21.72"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","4.53","5.74","4.89","6.82","4.31","3.82","5.29","5.85","5.26","0.270000000000001","2.72","5.32","7.2","7.12","7.3","6.75","6.34","3.29","3.17","2.65","4.46","3.24","3.03","0.640000000000001","1.68","1.12","0.91","1.92","2.93","4.15","3.05","3.68","3.24","4.83","4.72","4.23","5.1","6.26","6.54","4.54","4.69","5.96","7.24","6.72","7.04","6.43","4.88","2.42","1.96","1.95","2.44","2.33","2.09","0.93","2","1.61","1.31","0.940000000000001","1.41","1.94"
"P Tracking Error","6.99","7.5","6.74","8.53","5.72","7.39","6.45","7.05","6.27","6.33","4.76","8.72","10.06","10.82","11.33","10.22","10.34","8.17","7.82","8.29","7.69","7.06","9.19","6.37","6.62","7.16","6.85","7.46","6.93","7.25","6","6.18","5.65","7.06","6.64","7.42","7.01","8.01","7.92","8.36","7.19","8.77","9.79","9.5","9.91","9.51","9.36","7.86","8","7.76","7.15","7.04","7.85","6.84","7.11","7.6","7.45","6.98","6.6","6.69"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.74","0.47","0.8","-0.05","1.88","1.73","1.14","0.57","0.45","1.23","0.9","1.91","1.23","1.34","1.7","2.34","3.56","4.89","5.92","3.83","3.77","2.98","2.35","1.01","2.18","1.58","1.49","0.89","0.87","1.25","1.4","1.35","1.35","0.65","0.64","0.93","0.58","0.39","0.34","0.62","0.56","0.93","0.68","1.01","0.96","1.05","2.47","3.09","3.53","2.77","2.57","1.77","1.95","1.46","1.66","1.64","1.2","1.54","1.98","2.08"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.43","0.37","0.47","0.16","0.36","0.58","-0.2","-0.45","-0.37","1.16","0.33","0.93","1.07","0.9","1.15","1.34","2.34","2.4","2.6","2.28","1.53","1.38","1.23","0.51","0.41","0.66","0.76","0.61","0.04","0","0.61","0.53","0.46","0.28","0.12","0.42","0.16","0.07","-0.08","0.57","0.3","0.47","0.49","0.66","0.62","0.57","1.3","1.5","1.6","1.44","1.19","1.01","1.05","0.7","0.58","0.81","0.66","0.85","0.81","0.9"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.2","1.26","1.22","1.31","1.22","1.15","1.35","1.44","1.4","0.94","1.12","1.18","1.27","1.25","1.24","1.23","1.2","1.09","1.08","1.06","1.15","1.12","1.03","0.95","1.02","0.96","0.95","0.98","1.11","1.23","1.15","1.19","1.17","1.27","1.27","1.2","1.29","1.37","1.41","1.19","1.21","1.24","1.3","1.28","1.28","1.25","1.16","1.05","1.02","1.03","1.07","1.06","1.03","0.99","1.04","1.01","0.99","0.98","1.02","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.83","94.87","95","94.43","96.06","88.79","94.15","92.09","93.85","83.09","96.35","92.34","92.2","89.57","88.61","91.35","90.6","91.36","93.18","91.67","94.08","88.95","71.09","81.96","83.08","78.1","77.06","69.06","80.93","77.62","88.65","90.69","91.69","90.71","92.27","86.54","92.03","91.51","92.93","83.97","92.6","91.99","92.17","91.61","91.28","91.36","87.66","88.19","86.74","87","89.81","90.02","87.03","88.12","88.14","85.77","85.67","86.99","89.54","90.22"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.9183","-23.8128","-22.9688","-23.9148","-17.4789","-17.3235","-9.6627","-10.5983","-14.2492","-37.9748","-36.2507","-37.4324","-38.0304","-38.233","-38.6083","-38.4192","-38.106","-35.7585","-35.1247","-35.2907","-30.5964","-11.6303","-11.3258","-8.5316","-9.0214","-9.1345","-8.2563","-9.1166","-8.7535","-8.3822","-22.9183","-23.8128","-22.9688","-24.3104","-24.5027","-23.8398","-25.5031","-26.0364","-27.02","-37.9748","-36.2507","-37.4324","-38.0304","-38.233","-38.6083","-38.4192","-38.106","-35.7585","-35.1247","-35.2907","-36.0383","-35.6011","-35.4985","-34.5977","-34.6766","-33.8052","-34.1988","-34.4148","-34.2015","-34.5452"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.1401","-4.0346","-3.1906","-4.2803","-1.0323","-1.5811","-2.8266","-3.7622","-1.4934","-4.0498","-2.3257","-3.5074","-4.1054","-4.308","-4.6833","-4.4942","-4.181","-1.8335","-1.1997","-1.3657","-2.0761","-2.0258","-1.7213","1.0729","0.583","0.470000000000001","1.3482","-1.6394","-3.541","-3.1697","-3.1401","-4.0346","-3.1906","-4.5322","-4.7245","-4.0616","-5.7249","-6.2582","-7.2418","-4.0498","-2.3257","-3.5074","-4.1054","-4.308","-4.6833","-4.4942","-4.181","-1.8335","-1.1997","-1.3657","-2.1133","-1.67610000000001","-1.5735","-0.672700000000006","-0.751600000000003","0.119799999999998","-0.273800000000001","-0.489800000000002","-0.276500000000006","-0.620200000000004"
