"","2015-09-25_to_2016-09-26_CorePortfolio_1QRank","2015-10-26_to_2016-10-26_CorePortfolio_1QRank","2015-11-25_to_2016-11-26_CorePortfolio_1QRank","2015-12-28_to_2016-12-26_CorePortfolio_1QRank","2016-01-25_to_2017-01-26_CorePortfolio_1QRank","2016-02-25_to_2017-02-26_CorePortfolio_1QRank","2016-03-28_to_2017-03-26_CorePortfolio_1QRank","2016-04-25_to_2017-04-26_CorePortfolio_1QRank","2016-05-25_to_2017-05-26_CorePortfolio_1QRank","2016-06-27_to_2017-06-26_CorePortfolio_1QRank","2016-07-25_to_2017-07-26_CorePortfolio_1QRank","2016-08-25_to_2017-08-26_CorePortfolio_1QRank","2016-09-26_to_2017-09-26_CorePortfolio_1QRank","2016-10-25_to_2017-10-26_CorePortfolio_1QRank","2016-11-25_to_2017-11-26_CorePortfolio_1QRank","2016-12-27_to_2017-12-26_CorePortfolio_1QRank","2017-01-25_to_2018-01-26_CorePortfolio_1QRank","2017-02-27_to_2018-02-26_CorePortfolio_1QRank","2017-03-27_to_2018-03-26_CorePortfolio_1QRank","2017-04-25_to_2018-04-26_CorePortfolio_1QRank","2017-05-25_to_2018-05-26_CorePortfolio_1QRank","2017-06-26_to_2018-06-26_CorePortfolio_1QRank","2017-07-25_to_2018-07-26_CorePortfolio_1QRank","2017-08-25_to_2018-08-26_CorePortfolio_1QRank","2017-09-25_to_2018-09-26_CorePortfolio_1QRank","2017-10-25_to_2018-10-26_CorePortfolio_1QRank","2017-11-27_to_2018-11-26_CorePortfolio_1QRank","2017-12-26_to_2018-12-26_CorePortfolio_1QRank","2018-01-25_to_2019-01-26_CorePortfolio_1QRank","2018-02-26_to_2019-02-26_CorePortfolio_1QRank","2018-03-26_to_2019-03-26_CorePortfolio_1QRank","2018-04-25_to_2019-04-26_CorePortfolio_1QRank","2018-05-25_to_2019-05-26_CorePortfolio_1QRank","2018-06-25_to_2019-06-26_CorePortfolio_1QRank","2018-07-25_to_2019-07-26_CorePortfolio_1QRank","2018-08-27_to_2019-08-26_CorePortfolio_1QRank","2018-09-25_to_2019-09-26_CorePortfolio_1QRank","2018-10-25_to_2019-10-26_CorePortfolio_1QRank","2018-11-26_to_2019-11-26_CorePortfolio_1QRank","2018-12-26_to_2019-12-26_CorePortfolio_1QRank","2019-01-25_to_2020-01-26_CorePortfolio_1QRank","2019-02-25_to_2020-02-26_CorePortfolio_1QRank","2019-03-25_to_2020-03-26_CorePortfolio_1QRank","2019-04-25_to_2020-04-26_CorePortfolio_1QRank","2019-05-28_to_2020-05-26_CorePortfolio_1QRank","2019-06-25_to_2020-06-26_CorePortfolio_1QRank","2019-07-25_to_2020-07-26_CorePortfolio_1QRank","2019-08-26_to_2020-08-26_CorePortfolio_1QRank","2019-09-25_to_2020-09-26_CorePortfolio_1QRank","2019-10-25_to_2020-10-26_CorePortfolio_1QRank","2019-11-25_to_2020-11-26_CorePortfolio_1QRank","2019-12-26_to_2020-12-26_CorePortfolio_1QRank","2020-01-27_to_2021-01-26_CorePortfolio_1QRank","2020-02-25_to_2021-02-26_CorePortfolio_1QRank","2020-03-25_to_2021-03-26_CorePortfolio_1QRank","2020-04-27_to_2021-04-26_CorePortfolio_1QRank","2020-05-26_to_2021-05-26_CorePortfolio_1QRank","2020-06-25_to_2021-06-26_CorePortfolio_1QRank","2020-07-27_to_2021-07-26_CorePortfolio_1QRank","2020-08-25_to_2021-08-26_CorePortfolio_1QRank","2020-09-25_to_2021-09-26_CorePortfolio_1QRank","2020-10-26_to_2021-10-26_CorePortfolio_1QRank","2020-11-25_to_2021-11-26_CorePortfolio_1QRank"
"P Information Ratio","0.82","1.61","1.83","1.64","2.22","2.24","2.61","2.14","1.89","1.88","0.03","1.08","1.17","2.47","1","2.09","1.35","0.78","0.78","0.61","-0.12","-0.2","-0.7","0.1","-0.11","-0.79","0.65","-0.3","0","0.71","-0.21","-0.25","0.83","-0.03","0.38","0.69","1.1","0.44","-0.1","0.98","-0.92","-1.1","-3.97","-1.71","-1.59","-2.1","-1.52","-2.49","-1.57","-1.32","-0.85","-0.67","-0.85","-0.27","1.67","1.94","1.34","2.44","0.97","1.6","1.81","0.96","-0.13"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.26","0.42","0.2","0.27","0.21","0.06","0.14","0.12","0.01","0.06","-0.1","0","0.04","0.49","0.37","0.45","0.23","0.41","0.17","0.37","0.17","0.1","0.01","0.27","0.19","0.13","-0.08","-0.02","-0.03","0.1","-0.06","-0.01","0.13","0.07","0.12","0.16","0.18","0.04","-0.03","0.02","0.01","-0.11","-0.36","-0.6","-0.74","-0.65","-0.64","-0.76","-1.08","-0.81","-0.66","-0.53","-0.45","-0.58","0.94","1.03","0.81","1.37","0.88","0.79","0.52","0.04","0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","1.1","1.08","1.1","1.12","1.25","1.18","1.15","1.15","1.16","1.18","1.08","1.06","0.84","0.83","0.96","1","0.85","0.89","0.8","0.79","0.84","0.84","0.83","0.85","0.84","0.9","0.98","1.02","1.09","1.07","1.06","0.97","0.95","0.98","1.01","0.99","1.1","1.07","1.12","0.87","0.89","0.98","1.14","1.12","1.1","1.08","1.11","1.15","1.07","1.14","1.12","1.08","1.13","0.87","0.91","0.87","0.88","0.99","0.98","1.06","1.14","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.38","95.84","96.59","97.55","95.22","95.59","94.3","93.87","95.15","91.23","89.93","95.87","89.55","77.09","72.07","82.19","74.04","78.7","88.56","89.3","83.2","88.59","90.8","87.77","90.1","93.98","96.15","94.87","97.75","97.43","97.95","98.08","97.71","97.58","97.11","98.31","98.36","97.89","97.19","97.63","93.99","95","97.89","95.73","98.18","98.23","97.7","97.5","97.63","95.3","93.73","94.19","94.28","93.47","87.36","81.61","80.3","82.42","75.48","79.62","83.06","90.27","82.83"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.263","-13.126","-13.3278","-12.1761","-6.2041","-6.6216","-6.3467","-6.0991","-6.4372","-4.6857","-5.6179","-5.1378","-4.0433","-2.386","-2.4333","-2.5765","-2.4413","-9.9229","-9.3562","-9.3862","-9.6516","-9.4538","-9.6144","-9.8673","-9.8786","-10.6443","-10.3123","-20.0276","-20.3443","-20.6202","-19.7796","-19.5319","-17.8925","-18.1803","-18.203","-18.7607","-18.16","-16.6752","-16.3152","-6.8806","-5.7641","-7.601","-39.2305","-38.8645","-38.0822","-37.8283","-37.3252","-37.9065","-39.2441","-38.3219","-39.1258","-38.8418","-38.5466","-33.7756","-11.0071","-11.0524","-11.3101","-7.3953","-7.7992","-7.6649","-6.6012","-5.3688","-4.9732"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-5.5957","-5.5957","-5.5957","-5.5957","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-7.9666","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6044","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.9579","0.1791","-0.3179","-0.182","-0.474900000000001","-1.0259","-0.751","-0.5034","-0.8415","0.107","-0.8251","-0.5048","-0.0739000000000005","0.4108","0.3635","0.2203","0.3555","0.236599999999999","0.8033","0.773299999999999","0.507899999999999","0.7057","0.5451","0.292299999999999","0.280899999999999","-0.4848","-0.1378","-0.249400000000001","-0.566100000000002","-0.842000000000002","-0.00140000000000029","0.246299999999998","1.8857","1.5979","1.5752","1.0175","1.4745","-0.2286","-0.572800000000001","-0.0445000000000002","1.072","0.3656","-5.3055","-4.9395","-4.1572","-3.9033","-3.40020000000001","-3.9815","-5.31910000000001","-4.3969","-5.2008","-4.9168","-4.6216","-5.2553","-1.4027","-1.4479","-1.7056","2.2092","1.8053","1.9396","0.875999999999999","-0.1563","0.2393"
