"","1 Y 2018-06-26 to 2020-06-27","1 Y 2018-07-26 to 2020-07-27","1 Y 2018-08-27 to 2020-08-27","1 Y 2018-09-26 to 2020-09-27","1 Y 2018-10-26 to 2020-10-27","1 Y 2018-11-26 to 2020-11-27","1 Y 2018-12-26 to 2020-12-27","1 Y 2019-01-28 to 2021-01-27","1 Y 2019-02-26 to 2021-02-27","1 Y 2019-03-26 to 2021-03-27","1 Y 2019-04-26 to 2021-04-27","1 Y 2019-05-28 to 2021-05-27","1 Y 2019-06-26 to 2021-06-27","1 Y 2019-07-26 to 2021-07-27","1 Y 2019-08-26 to 2021-08-27","1 Y 2019-09-26 to 2021-09-27","1 Y 2019-10-28 to 2021-10-27","1 Y 2019-11-26 to 2021-11-27","2 Y 2018-06-26 to 2020-06-27","2 Y 2018-07-26 to 2020-07-27","2 Y 2018-08-27 to 2020-08-27","2 Y 2018-09-26 to 2020-09-27","2 Y 2018-10-26 to 2020-10-27","2 Y 2018-11-26 to 2020-11-27","2 Y 2018-12-26 to 2020-12-27","2 Y 2019-01-28 to 2021-01-27","2 Y 2019-02-26 to 2021-02-27","2 Y 2019-03-26 to 2021-03-27","2 Y 2019-04-26 to 2021-04-27","2 Y 2019-05-28 to 2021-05-27","2 Y 2019-06-26 to 2021-06-27","2 Y 2019-07-26 to 2021-07-27","2 Y 2019-08-26 to 2021-08-27","2 Y 2019-09-26 to 2021-09-27","2 Y 2019-10-28 to 2021-10-27","2 Y 2019-11-26 to 2021-11-27"
"P Information Ratio","-0.4","-0.28","-0.13","-0.05","0.01","0.62","0.24","0.39","1.16","1.32","2.56","1.88","2.18","1.53","1.93","1.87","1.48","0.99","-0.36","-0.28","-0.08","-0.1","-0.11","0.31","0.07","0.12","0.24","0.38","0.46","0.56","0.35","0.2","0.37","0.41","0.33","0.39"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.08","-0.21","-0.05","-0.4","-0.25","0.26","0","0.78","-0.21","1.22","1.03","0.47","1.08","1.07","0.75","0.57","0.96","1.35","-0.17","-0.24","-0.03","-0.27","-0.28","-0.06","-0.32","-0.09","-0.28","-0.09","0.12","-0.08","-0.15","-0.04","-0.24","-0.12","-0.06","-0.08"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.31","1.31","1.34","1.25","1.27","1.27","1.29","1.3","1.41","1.16","1.27","1.17","1.01","0.99","1.12","1.14","1.04","0.66","1.25","1.26","1.28","1.21","1.26","1.25","1.28","1.27","1.28","1.27","1.33","1.31","1.28","1.29","1.33","1.31","1.3","1.31"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.36","91.26","88.76","89.22","89.17","86.99","90.52","90.56","91.46","81.16","80.55","76.94","71.12","70.8","68.26","62.17","64.35","48.11","91.1","92.28","90.84","90.88","90.33","88.63","89.84","88.04","88.12","87.32","90.21","88.13","86.39","86.66","85.82","86.39","85.86","85.07"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-35.8372","-35.5598","-36.2666","-35.4213","-36.2131","-36.7951","-36.2969","-36.2574","-30.7229","-8.44","-8.6633","-8.7176","-8.4324","-8.3792","-8.4305","-5.9721","-4.9236","-5.0501","-35.8372","-35.5598","-36.2666","-35.4213","-36.2131","-36.7951","-36.2969","-36.2574","-36.4852","-36.1308","-36.377","-36.4951","-36.5894","-36.7255","-37.4798","-37.0343","-37.4018","-38.1225"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.91220000000001","-1.63480000000001","-2.3416","-1.49630000000001","-2.2881","-2.8701","-2.3719","-2.3324","-2.2026","1.1645","0.9412","0.886900000000001","1.1721","1.2253","1.174","1.4748","0.2889","0.162400000000001","-1.91220000000001","-1.63480000000001","-2.3416","-1.49630000000001","-2.2881","-2.8701","-2.3719","-2.3324","-2.5602","-2.2058","-2.45200000000001","-2.5701","-2.6644","-2.8005","-3.5548","-3.1093","-3.4768","-4.19750000000001"
