"","2017-06-27_to_2018-06-28_CorePortfolio_8QRank","2017-07-27_to_2018-07-28_CorePortfolio_8QRank","2017-08-28_to_2018-08-28_CorePortfolio_8QRank","2017-09-27_to_2018-09-28_CorePortfolio_8QRank","2017-10-27_to_2018-10-28_CorePortfolio_8QRank","2017-11-27_to_2018-11-28_CorePortfolio_8QRank","2017-12-27_to_2018-12-28_CorePortfolio_8QRank","2018-01-29_to_2019-01-28_CorePortfolio_8QRank","2018-02-27_to_2019-02-28_CorePortfolio_8QRank","2018-03-27_to_2019-03-28_CorePortfolio_8QRank","2018-04-27_to_2019-04-28_CorePortfolio_8QRank","2018-05-29_to_2019-05-28_CorePortfolio_8QRank","2018-06-27_to_2019-06-28_CorePortfolio_8QRank","2018-07-27_to_2019-07-28_CorePortfolio_8QRank","2018-08-27_to_2019-08-28_CorePortfolio_8QRank","2018-09-27_to_2019-09-28_CorePortfolio_8QRank","2018-10-29_to_2019-10-28_CorePortfolio_8QRank","2018-11-27_to_2019-11-28_CorePortfolio_8QRank","2018-12-27_to_2019-12-28_CorePortfolio_8QRank","2019-01-28_to_2020-01-28_CorePortfolio_8QRank","2019-02-27_to_2020-02-28_CorePortfolio_8QRank","2019-03-27_to_2020-03-28_CorePortfolio_8QRank","2019-04-29_to_2020-04-28_CorePortfolio_8QRank","2019-05-28_to_2020-05-28_CorePortfolio_8QRank","2019-06-27_to_2020-06-28_CorePortfolio_8QRank","2019-07-29_to_2020-07-28_CorePortfolio_8QRank","2019-08-27_to_2020-08-28_CorePortfolio_8QRank","2019-09-27_to_2020-09-28_CorePortfolio_8QRank","2019-10-28_to_2020-10-28_CorePortfolio_8QRank","2019-11-27_to_2020-11-28_CorePortfolio_8QRank","2019-12-27_to_2020-12-28_CorePortfolio_8QRank","2020-01-27_to_2021-01-28_CorePortfolio_8QRank","2020-02-27_to_2021-02-28_CorePortfolio_8QRank","2020-03-27_to_2021-03-28_CorePortfolio_8QRank","2020-04-27_to_2021-04-28_CorePortfolio_8QRank","2020-05-27_to_2021-05-28_CorePortfolio_8QRank","2020-06-29_to_2021-06-28_CorePortfolio_8QRank","2020-07-27_to_2021-07-28_CorePortfolio_8QRank","2020-08-27_to_2021-08-28_CorePortfolio_8QRank","2020-09-28_to_2021-09-28_CorePortfolio_8QRank","2020-10-27_to_2021-10-28_CorePortfolio_8QRank","2020-11-27_to_2021-11-28_CorePortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.881","11.318","17.422","13.511","0.678","3.961","-7.747","-6.086","5.927","8.006","10.427","4.603","9.711","8.82","2.703","6.246","18.579","17.819","30.381","21.973","2.86","-14.561","-9.253","0.959","-6.385","-1.914","6.94","1.717","-0.067","10.396","9.673","9.555","26.52","64.057","51.054","45.627","45.513","40.079","35.973","35.048","40.794","21.961"
"B Annualized Returns","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","-1.412","-2.554","-1.123","-2.581","-2.338","-0.483","-0.238","1.282","3.323","-0.0719999999999992","0.286","0.407999999999999","1.411","1.454","3.034","4.606","3.46","0.241","0.199000000000002","-1.946","-3.236","-4.83","-6.547","-7.906","-9.261","-8.451","-13.009","-10.913","-7.777","-4.929","-6.333","-6.147","-1.424","7.477","4.962","6.865","4.855","3.347","6.563","5.181","0.274999999999999","-4.403"
"P Volatility","7.84","8.04","8.05","8.06","8.03","11.04","11.74","14.22","17.15","17.47","17.35","17.26","19.3","20.09","19.84","20.41","18.44","18.39","14.65","11.7","11.67","15.57","23.33","27.22","26.23","26.34","26.82","26.79","26.86","26.19","29.58","29.01","27.04","17.14","14.78","14.77","14.29","15.23","15","13.77","15.89","11.88"
"B Volatility","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","-1.2","-0.960000000000001","-1.3","-1.46","-1.47","-1.43","-0.81","-0.25","0.469999999999999","0.859999999999999","0.700000000000003","0.330000000000002","0.650000000000002","0.440000000000001","0.370000000000001","0.800000000000001","0.600000000000001","0.539999999999999","1.08","-0.25","-0.32","-0.17","3.18","3.68","3.31","3.39","3.51","2.71","2.08","1.24","2.5","1.88","2.2","-0.960000000000001","-0.180000000000001","-0.300000000000001","-0.960000000000001","0.280000000000001","0.93","1.56","2.48","0.890000000000001"
"P Tracking Error","2.94","2.89","2.88","3.02","3.09","2.7","3.06","2.67","3.17","2.47","3.09","2.46","2.7","2.86","2.34","2.25","2.23","2.3","2.7","2.24","2.35","1.83","5.04","5.44","5.09","5.43","5.41","4.9","5.23","5.71","6.3","6.18","6.24","6.16","6.05","6.15","5.6","6.92","6.07","5.68","5.73","5.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
