"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.73","17.83","19.581","24.33","38.299","29.456","27.143","30.858","28.369","25.705","24.259","28.932","20.675","24.917","26.934","21.867","2.39","5.912","-2.42","-2.244","10.267","13.128","13.539","3.186","6.028","9.291","2.784","1.269","20.13","20.113","35.478","29.931","12.59","-7.788","7.721","17.367","8.812","14.434","13.354","10.763","20.673","30.998","34.353","42.207","36.895","61.685","45.21","45.653","49.33","41.587","52.196","40.578","52.681","40.142"
"B Annualized Returns","19.871","13.919","12.137","15.598","21.004","19.318","19.45","25.274","14.816","10.448","11.769","12.971","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","-0.140999999999998","3.911","7.444","8.732","17.295","10.138","7.693","5.584","13.553","15.257","12.49","15.961","9.382","11.045","8.389","5.775","-0.626","1.468","5.089","5.124","7.663","5.05","3.398","-1.009","-2.272","1.925","3.115","-0.371","5.011","2.535","5.296","6.012","6.494","1.943","10.427","8.502","5.936","7.897","-6.595","-1.867","12.963","15.673","18.347","26.505","8.951","5.105","-0.881999999999998","6.891","8.672","4.855","22.786","10.711","12.162","13.778"
"P Volatility","8.13","8.13","8.23","8.31","5.36","4.7","6.05","5.97","8.39","9.29","10.6","11.11","11","10.83","11.23","11.89","11.81","16.59","16.36","17.21","21.58","22.54","22.05","21.24","23.81","24.32","24.35","23.52","17.52","17.76","12.19","9.17","8.56","11.11","19.57","22.16","23.91","23.44","23.34","24.34","27.35","27.82","31.63","30.13","26.11","18.78","14.92","14.98","14.39","12.53","13.24","11.35","13.83","11.37"
"B Volatility","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","1.89","2.43","2.61","2.74","1.11","0.91","2.02","1.91","2.85","1.39","1.66","2.15","1.96","1.83","1.88","2.37","2.31","4.12","3.81","2.74","4.9","5.93","5.4","4.31","5.16","4.67","4.88","3.91","-0.32","-0.0899999999999999","-1.38","-2.78","-3.43","-4.63","-0.579999999999998","-1.38","0.989999999999998","0.490000000000002","0.0300000000000011","0.260000000000002","2.57","2.87","4.55","3","1.27","0.68","-0.0400000000000009","-0.0899999999999999","-0.859999999999999","-2.42","-0.83","-0.860000000000001","0.42","0.379999999999999"
"P Tracking Error","5.7","4.26","4.58","5.12","4.2","3.93","4.13","4.13","4.33","4.23","5.45","5.96","4.9","4.85","4.69","4.92","4.83","7.47","7.38","6.31","8.33","8.79","8.6","7.29","8.01","7.29","6.81","6.13","6.36","6.21","7.44","7.72","7.24","8.1","6.77","7.81","7.61","8.61","7.96","8.33","7.54","7.41","7.4","6.84","5.98","7.33","7.79","5.61","5.83","7.31","5.38","5.43","6.12","6.32"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.02","0.92","1.63","1.71","4.12","2.58","1.86","1.35","3.13","3.61","2.29","2.68","1.91","2.28","1.79","1.17","-0.13","0.2","0.69","0.81","0.92","0.57","0.4","-0.14","-0.28","0.26","0.46","-0.06","0.79","0.41","0.71","0.78","0.9","0.24","1.54","1.09","0.78","0.92","-0.83","-0.22","1.72","2.12","2.48","3.88","1.5","0.7","-0.11","1.23","1.49","0.66","4.24","1.97","1.99","2.18"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.14","-0.02","0.25","0.49","1.29","1.05","0.39","0.24","0.28","0.97","1.1","0.91","0.77","0.83","0.32","0.25","0.4","0.14","0.46","0.48","0.4","0.39","0.08","-0.17","-0.29","0.21","0.15","0.26","0.38","0.06","0.87","0.78","0.78","0.53","0.53","0.39","0.69","0.52","-0.09","-0.39","0.77","1.13","1.14","1.66","0.87","0.7","0.49","0.57","0.56","0.8","1.56","1.23","1","1.14"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.93","1.24","1.24","1.19","0.81","0.73","1.1","1.06","1.34","1.05","1.02","1.05","1.09","1.08","1.1","1.15","1.14","1.21","1.18","1.11","1.21","1.28","1.24","1.19","1.22","1.2","1.22","1.17","0.92","0.93","0.75","0.59","0.57","0.62","0.92","0.89","0.99","0.95","0.94","0.95","1.06","1.08","1.14","1.09","1.02","0.96","0.86","0.92","0.87","0.73","0.87","0.83","0.93","0.87"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","45.76","72.68","68.51","59.65","34.31","27.56","48.9","46.83","76.12","77.15","70.64","68.25","78.55","78.15","81.33","82.52","82.84","80.11","79.48","86.04","86.43","87.88","86.87","89.57","90.8","92.83","94.75","94.71","86.1","86.91","67.03","53.59","60.35","73.69","87.54","87.77","88.74","85.27","87.45","87.25","91.91","92.65","95.62","94.93","94.22","83.26","71.85","85.07","83.77","73.59","83.81","78.13","78.83","67.39"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.434","-6.5637","-6.6097","-6.4306","-3.1904","-2.6822","-4.7581","-4.9772","-10.737","-10.3353","-10.1123","-9.9742","-10.3955","-10.2267","-10.6027","-10.8367","-15.0262","-14.4119","-22.7232","-22.4174","-23.456","-23.9489","-24.0995","-23.947","-25.7558","-24.853","-24.825","-23.7917","-17.555","-16.7304","-5.2863","-4.8852","-11.9474","-36.6847","-34.6704","-34.0612","-34.2143","-34.1181","-34.7329","-35.1683","-37.0931","-37.1079","-38.4096","-35.2434","-30.9161","-11.3064","-10.9502","-10.8962","-10.5183","-11.0808","-8.8714","-9.7434","-9.5948","-9.8016"
"B Max Drawdown","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-2.6413","-1.7709","-1.9767","-2.4612","-0.3936","0.1146","-1.9613","-2.1804","-0.577500000000001","-0.175800000000001","0.0472000000000001","0.1853","-0.236000000000001","-0.0671999999999997","-0.443200000000001","-0.677200000000001","-4.8667","-4.2374","-2.945","-2.6392","-3.6778","-4.1707","-4.3213","-4.1688","-5.9776","-5.0748","-5.0468","-4.1572","-1.1084","-0.988","1.5498","1.9509","0.808400000000001","-2.7597","-0.745400000000004","-0.136200000000002","-0.289300000000004","-0.193100000000001","-0.807900000000004","-1.2433","-3.1681","-3.1829","-4.4846","-1.3184","-2.3958","-1.7019","-1.3457","-1.2917","-0.9138","-1.4763","0.7331","-2.2662","-4.3823","-4.5891"
