"","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.62","22.578","34.62","30.569","33.618","36.765","49.933","55.769","39.827","76.806","59.213","52.276","55.025","52.684","46.717","41.799","56.507","38.373","12.076","16.88","19.947","15.841","26.536","24.461","40.219","39.59","20.18","26.211","21.626","29.122","26.343","27.035","31.837","25.994","35.962","34.013","15.986","19.199","23.198","17.964","19.423","18.359","22.451","23.723","15.105","19.611","17.237","19.207","19.153","19.519","19.172","16.584","28.857","27.562"
"B Annualized Returns","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","12.744","16.041","14.671","17.939","25.908","21.44","33.927","40.067","11.883","25.687","13.121","13.514","14.367","15.952","17.307","11.932","15.988","11.869","6.501","9.708","10.228","8.605","15.251","9.308","17.668","19.815","3.354","7.183","2.404","6.214","5.605","6.341","6.879","5.04","12.936","13.31","8.445","10.015","10.431","7.982","11.083","6.892","10.659","13.826","3.536","4.601","0.755999999999997","3.156","2.722","3.273","3.286","2.287","8.574","7.91"
"P Volatility","32.29","32.41","33.25","31.53","33.04","31.13","34.95","35.98","31.13","19.57","15.51","16.2","15.68","16.36","16.18","14.12","17.8","14.76","27","27.25","27.84","27.15","26.71","25.46","25.93","26.09","23.88","23.69","22.86","22.53","21.57","22.87","22.95","22.31","24.42","24.66","22.32","22.49","22.95","22.38","23.01","21.94","23.69","24.21","22.03","22","21.43","21.89","21.17","22.23","22.69","21.95","22.98","23.25"
"B Volatility","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","9.37","9.46","9.94","7.45","8.26","6.18","7.87","8.85","6.29","1.47","0.549999999999999","1.13","0.43","1.41","2.11","1.91","4.39","3.77","6.52","6.87","7.22","6.04","6.11","4.68","5.44","6.06","3.79","3.58","2.73","3.18","2.56","3.86","4.13","3.48","4.97","4.88","5.12","5.3","5.54","4.62","5.02","3.87","4.69","5.34","3.34","3.43","2.78","3.11","2.39","3.49","3.97","3.21","4.54","4.54"
"P Tracking Error","15.44","16","16.34","12.12","13.4","10.54","11.95","13.96","8.08","5.78","4.62","7.1","6.6","7.25","8.08","7.45","8.44","8.01","11.48","11.76","12.03","9.6","10.44","8.32","9.39","10.91","6.03","7.02","4.98","6.83","6.19","7.39","7.96","7.33","8.21","7.92","9.55","9.84","10.03","8.08","8.91","7.28","8.24","9.35","5.41","6.31","4.85","6.25","5.58","6.47","7.07","6.43","7.31","7.14"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
