"","2015-09-25_to_2017-09-26_GrowthPortfolio_1QRank","2015-10-26_to_2017-10-26_GrowthPortfolio_1QRank","2015-11-25_to_2017-11-26_GrowthPortfolio_1QRank","2015-12-28_to_2017-12-26_GrowthPortfolio_1QRank","2016-01-25_to_2018-01-26_GrowthPortfolio_1QRank","2016-02-25_to_2018-02-26_GrowthPortfolio_1QRank","2016-03-28_to_2018-03-26_GrowthPortfolio_1QRank","2016-04-25_to_2018-04-26_GrowthPortfolio_1QRank","2016-05-25_to_2018-05-26_GrowthPortfolio_1QRank","2016-06-27_to_2018-06-26_GrowthPortfolio_1QRank","2016-07-25_to_2018-07-26_GrowthPortfolio_1QRank","2016-08-25_to_2018-08-26_GrowthPortfolio_1QRank","2016-09-26_to_2018-09-26_GrowthPortfolio_1QRank","2016-10-25_to_2018-10-26_GrowthPortfolio_1QRank","2016-11-25_to_2018-11-26_GrowthPortfolio_1QRank","2016-12-27_to_2018-12-26_GrowthPortfolio_1QRank","2017-01-25_to_2019-01-26_GrowthPortfolio_1QRank","2017-02-27_to_2019-02-26_GrowthPortfolio_1QRank","2017-03-27_to_2019-03-26_GrowthPortfolio_1QRank","2017-04-25_to_2019-04-26_GrowthPortfolio_1QRank","2017-05-25_to_2019-05-26_GrowthPortfolio_1QRank","2017-06-26_to_2019-06-26_GrowthPortfolio_1QRank","2017-07-25_to_2019-07-26_GrowthPortfolio_1QRank","2017-08-25_to_2019-08-26_GrowthPortfolio_1QRank","2017-09-25_to_2019-09-26_GrowthPortfolio_1QRank","2017-10-25_to_2019-10-26_GrowthPortfolio_1QRank","2017-11-27_to_2019-11-26_GrowthPortfolio_1QRank","2017-12-26_to_2019-12-26_GrowthPortfolio_1QRank","2018-01-25_to_2020-01-26_GrowthPortfolio_1QRank","2018-02-26_to_2020-02-26_GrowthPortfolio_1QRank","2018-03-26_to_2020-03-26_GrowthPortfolio_1QRank","2018-04-25_to_2020-04-26_GrowthPortfolio_1QRank","2018-05-25_to_2020-05-26_GrowthPortfolio_1QRank","2018-06-25_to_2020-06-26_GrowthPortfolio_1QRank","2018-07-25_to_2020-07-26_GrowthPortfolio_1QRank","2018-08-27_to_2020-08-26_GrowthPortfolio_1QRank","2018-09-25_to_2020-09-26_GrowthPortfolio_1QRank","2018-10-25_to_2020-10-26_GrowthPortfolio_1QRank","2018-11-26_to_2020-11-26_GrowthPortfolio_1QRank","2018-12-26_to_2020-12-26_GrowthPortfolio_1QRank","2019-01-25_to_2021-01-26_GrowthPortfolio_1QRank","2019-02-25_to_2021-02-26_GrowthPortfolio_1QRank","2019-03-25_to_2021-03-26_GrowthPortfolio_1QRank","2019-04-25_to_2021-04-26_GrowthPortfolio_1QRank","2019-05-28_to_2021-05-26_GrowthPortfolio_1QRank","2019-06-25_to_2021-06-26_GrowthPortfolio_1QRank","2019-07-25_to_2021-07-26_GrowthPortfolio_1QRank","2019-08-26_to_2021-08-26_GrowthPortfolio_1QRank","2019-09-25_to_2021-09-26_GrowthPortfolio_1QRank","2019-10-25_to_2021-10-26_GrowthPortfolio_1QRank","2019-11-25_to_2021-11-26_GrowthPortfolio_1QRank"
"P Information Ratio","0.41","2.34","2.57","2.35","0.66","-1.2","-0.81","1.28","1.77","0.92","1.33","1.64","2.29","1.05","0.25","-0.87","-0.11","1.56","1.61","1.22","0.82","0.91","1.12","2.15","0.82","1.35","0.38","0.48","0.69","-0.69","1.07","0.59","0.61","-0.11","0.86","1.03","0.63","0.04","0.94","0.9","2.31","2.02","1.68","1.83","0.81","0.87","0.65","1.87","1.91","1.81","1.35"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.5","0.49","0.38","0.59","0.34","-0.18","-0.26","0.31","0.56","0.21","0.46","0.59","0.71","0.56","-0.16","-0.43","-0.3","0.38","0.75","0.41","0.34","0.38","0.47","1.05","0.47","0.68","0.11","0.13","0.32","-0.47","0.78","0.35","0.13","-0.01","0.53","0.36","0.13","0.05","0.56","0.75","0.97","0.91","1.05","0.79","0.47","0.3","0.31","0.72","0.9","0.9","0.76"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.75","1.02","1.35","1.28","0.96","0.79","0.88","1.19","1.23","1.01","0.95","0.98","1.19","1.18","1.3","1.22","1.26","1.19","1.2","1.23","1.19","1.2","1.21","1.12","1.22","1.1","1.17","1.13","1.18","1.21","1.01","1.08","1.24","1.25","1.19","1.04","1.1","0.84","0.88","0.82","1.13","1.25","1.28","1.21","0.96","1.04","1.03","1.03","1.01","1.08","1.29"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","72.33","88","93.71","85.42","53.71","38.99","58.7","68.35","66.52","75.8","72.1","64.83","70.91","66.26","85.79","77.02","85.64","93.3","84.89","88.92","84.82","90.92","91.13","80.5","87.14","80.32","90.28","87.58","84.5","92.22","80.08","88.47","93.18","91.94","90.77","94.99","96","92.06","83.1","75.54","90.78","91.97","91.6","91.41","87.04","89.49","89.19","92.1","86.97","87.77","86.45"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-9.6277","-11.3719","-17.2949","-15.9376","-7.8449","-9.1106","-9.5917","-11.3346","-10.8339","-9.9817","-10.0111","-10.081","-10.3857","-16.3043","-16.6743","-28.3595","-25.6066","-22.3291","-21.6319","-23.1415","-23.6346","-23.0734","-23.5828","-21.5715","-25.2334","-22.9162","-24.7775","-23.0821","-24.5755","-23.8852","-35.0124","-37.9216","-38.8098","-39.7245","-37.0632","-33.9122","-36.2261","-34.5731","-36.5004","-35.8227","-37.8381","-38.3242","-38.5788","-38.1146","-36.0022","-37.54","-37.2368","-33.6815","-35.1917","-36.5001","-41.7174"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","3.6774","1.9332","-4.285","-3.9435","-2.1157","1.0489","0.5678","-1.1751","-0.6744","0.1778","0.148399999999999","0.0785","-0.2262","-6.1448","-6.4998","-8.5813","-5.8284","-2.5509","-1.8537","-3.3633","-3.8564","-3.2952","-3.8046","-1.7933","-5.4552","-3.138","-4.9993","-3.3039","-4.7973","-4.107","-1.0874","-3.9966","-4.88480000000001","-5.7995","-3.1382","0.0127999999999986","-2.30110000000001","-0.648099999999999","-2.5754","-1.8977","-3.9131","-4.3992","-4.6538","-4.18960000000001","-2.0772","-3.615","-3.31180000000001","0.243499999999997","-1.2667","-2.57510000000001","-7.7924"
