"","2017-04-11_to_2019-04-12_ALLPortfolio_3QRank","2017-05-11_to_2019-05-12_ALLPortfolio_3QRank","2017-06-12_to_2019-06-12_ALLPortfolio_3QRank","2017-07-11_to_2019-07-12_ALLPortfolio_3QRank","2017-08-11_to_2019-08-12_ALLPortfolio_3QRank","2017-09-11_to_2019-09-12_ALLPortfolio_3QRank","2017-10-11_to_2019-10-12_ALLPortfolio_3QRank","2017-11-13_to_2019-11-12_ALLPortfolio_3QRank","2017-12-11_to_2019-12-12_ALLPortfolio_3QRank","2018-01-11_to_2020-01-12_ALLPortfolio_3QRank","2018-02-12_to_2020-02-12_ALLPortfolio_3QRank","2018-03-12_to_2020-03-12_ALLPortfolio_3QRank","2018-04-11_to_2020-04-12_ALLPortfolio_3QRank","2018-05-11_to_2020-05-12_ALLPortfolio_3QRank","2018-06-11_to_2020-06-12_ALLPortfolio_3QRank","2018-07-11_to_2020-07-12_ALLPortfolio_3QRank","2018-08-13_to_2020-08-12_ALLPortfolio_3QRank","2018-09-11_to_2020-09-12_ALLPortfolio_3QRank","2018-10-11_to_2020-10-12_ALLPortfolio_3QRank","2018-11-12_to_2020-11-12_ALLPortfolio_3QRank","2018-12-11_to_2020-12-12_ALLPortfolio_3QRank","2019-01-11_to_2021-01-12_ALLPortfolio_3QRank","2019-02-11_to_2021-02-12_ALLPortfolio_3QRank","2019-03-11_to_2021-03-12_ALLPortfolio_3QRank","2019-04-11_to_2021-04-12_ALLPortfolio_3QRank","2019-05-13_to_2021-05-12_ALLPortfolio_3QRank","2019-06-11_to_2021-06-12_ALLPortfolio_3QRank","2019-07-11_to_2021-07-12_ALLPortfolio_3QRank","2019-08-12_to_2021-08-12_ALLPortfolio_3QRank","2019-09-11_to_2021-09-12_ALLPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.153","12.897","12.728","15.615","16.198","10.664","8.721","11.832","10.891","10.91","14.963","-4.481","1.401","0.484","3.493","4.856","8.606","8.207","17.414","15.78","20.827","28.508","23.345","21.417","23.048","22.658","25.075","23.309","28.492","27.82"
"B Annualized Returns","11.124","9.712","8.877","11.452","8.659","9.967","7.816","9.382","9.129","8.634","12.8","-5.581","2.756","2.57","4.544","7.153","9.448","7.548","13.774","13.883","17.845","20.937","19.186","17.606","19.491","20.206","21.289","20.833","24.351","22.903"
"AR DIFF(P-B)","1.029","3.185","3.851","4.163","7.539","0.696999999999999","0.905","2.45","1.762","2.276","2.163","1.1","-1.355","-2.086","-1.051","-2.297","-0.842000000000001","0.659000000000001","3.64","1.897","2.982","7.571","4.159","3.811","3.557","2.452","3.786","2.476","4.141","4.917"
"P Volatility","14.78","15.44","16.34","16.93","17.12","16.94","16.9","16.63","16.8","15.53","14.92","15.8","21.32","23.03","23.19","24.16","25.13","25.79","25.06","24.95","24.93","24.77","24.55","23.59","24.35","23.44","23.29","23.46","23.78","24.03"
"B Volatility","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","2.03","2.49","2.3","2.2","2.4","2.11","2.09","1.87","1.91","1","0.789999999999999","0.350000000000001","3.2","2.76","2.71","3.78","4.51","4.68","4.46","4.17","4.44","4.74","4.54","3.54","4.35","4.23","4.42","4.59","5.1","5.33"
"P Tracking Error","3.94","4.5","4.96","4.9","5.37","3.93","3.74","4.36","4.28","4.04","4.03","3.35","5.13","4.97","5.13","5.23","6.02","6.11","6.1","6.47","6.72","6.81","7.15","7.05","7.04","7","7.21","7.77","7.7","7.74"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.26","0.71","0.78","0.85","1.4","0.18","0.24","0.56","0.41","0.56","0.54","0.33","-0.26","-0.42","-0.2","-0.44","-0.14","0.11","0.6","0.29","0.44","1.11","0.58","0.54","0.51","0.35","0.53","0.32","0.54","0.64"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.03","0.09","0.24","0.24","0.49","-0.04","0.02","0.11","0.06","0.2","0.15","0.15","-0.16","-0.26","-0.11","-0.15","-0.16","-0.02","0.06","0.04","-0.01","0.08","-0.25","0.01","0.18","-0.02","0.02","-0.07","-0.02","-0.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.15","1.11","1.1","1.11","1.12","1.12","1.09","1.1","1.03","1.02","1","1.15","1.12","1.11","1.17","1.2","1.2","1.2","1.17","1.19","1.21","1.19","1.13","1.18","1.18","1.19","1.19","1.22","1.24"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.77","92.78","91.39","92.09","90.63","95.47","96.01","93.48","93.96","93.01","92.39","95.28","95.67","96.22","95.87","97.26","96.82","97.05","96.51","95.12","94.85","95.02","93.58","91.93","93.51","92.87","92.42","90.89","92.3","92.8"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.5931","-21.6606","-22.0923","-21.8306","-22.2433","-22.4663","-21.795","-21.3145","-21.9987","-20.4596","-20.4228","-28.5894","-38.7325","-38.5038","-38.1127","-38.1643","-39.5717","-39.0234","-39.3469","-39.5158","-39.6574","-39.114","-39.4185","-38.6953","-38.8706","-38.8377","-39.1638","-39.1899","-40.1586","-40.2683"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.8149","-1.8824","-2.3141","-2.0524","-2.4651","-2.6881","-2.0168","-1.5363","-2.2205","-0.6814","-0.644600000000001","-1.8478","-4.8075","-4.5788","-4.1877","-4.2393","-5.6467","-5.09840000000001","-5.4219","-5.5908","-5.73240000000001","-5.189","-5.4935","-4.77030000000001","-4.94560000000001","-4.9127","-5.2388","-5.2649","-6.2336","-6.34330000000001"
