"","1 Y 2016-06-27 to 2019-06-28","1 Y 2016-07-27 to 2019-07-28","1 Y 2016-08-29 to 2019-08-28","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-06-27 to 2019-06-28","2 Y 2016-07-27 to 2019-07-28","2 Y 2016-08-29 to 2019-08-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-06-27 to 2019-06-28","3 Y 2016-07-27 to 2019-07-28","3 Y 2016-08-29 to 2019-08-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-2.78","0.21","-3.831","0.078","24.086","25.107","43.059","27.514","18.645","-3.462","10.761","40.213","19.138","28.558","35.269","-4.093","-8.949","0.255","4.005","1.588","18.04","56.323","47.944","44.321","40.759","43.809","38.815","41.916","46.931","29.576","8.899","12.009","10.049","9.477","13.769","15.278","17.038","11.553","13.562","3.7","9.878","23.079","14.076","21.173","23.18","-2.436","-4.539","0.081","11.925","4.803","7.349","11.36","13.722","18.363","9.3","14.147","21.356","19.555","20.957","22.685","18.326","16.424","10.72","11.985","15.887","15.854","18.24","14.323","11.289","4.255","9.023","20.148","15.555","19.228","24.203","2.325","0.126","2.427","4.297","1.496","6.697","10.679","11.627","13.149","8.68","10.096","13.011","14.091","19.936","19.68"
"B Annualized Returns","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","9.786","10.507","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","13.05","11.79","9.83","11.098","12.646","12.736","12.61","12.591","7.718","2.521","6.289","7.891","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","-11.08","-6.43","-3.5","-1.562","8.967","7.529","12.877","3.595","12.549","6.269","13.467","31.348","16.262","22.021","15.32","-16.723","-16.659","-15.07","-12.001","-14.114","-9.904","5.204","1.852","5.559","0.100999999999999","7.077","9.405","12.049","6.412","3.072","-0.887","1.502","1.351","0.785","5.265","5.175","7.139","4.392","9.227","4.927","5.886","16.949","8.501","14.001","13.461","-9.672","-15.824","-15.072","-10.626","-14.972","-9.477","-7.668","-5.5","-4.545","-11.438","-6.547","-3.602","-1.399","-2.069","1.982","5.276","4.634","0.890000000000001","0.886999999999999","3.241","3.118","5.63","1.732","3.571","1.734","2.734","12.257","8.014","10.044","11.436","-7.657","-8.214","-9.04","-7.495","-8.401","-4.872","-4.331","-4.854","-2.902","-7.751","-6.15","-2.875","-0.206000000000001","-0.347000000000001","0.0279999999999987"
"P Volatility","26.61","27.64","26.47","26.61","22.81","21.95","16.86","10.69","10.12","13","28.66","41","38.74","38.93","44.53","29.46","31.44","32.35","33.54","31.42","31.08","19.31","14.77","16.21","13.97","17.49","15.63","14.72","18.22","12.57","19.61","19.96","18.86","19.02","17.89","17.11","16.61","13.33","12.61","14.68","23.14","30.95","29.48","30.13","34.32","24.06","25.25","26.9","25.07","22.27","23.22","23.08","22.9","21.8","21.14","24.28","22.79","24.15","26.28","27.32","18.08","17.49","16.19","16.5","15.22","14.12","13.78","11.36","11.26","13.11","19.61","25.65","24.61","25.17","28.41","20.27","21.67","22.84","22.64","20.89","21.4","21.25","20.99","20.22","20.24","22.63","21.55","23.27","25.7","26.6"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","7.96","7.99","7","7","4.97","4.1","3.29","-1.26","-1.87","-2.74","8.51","17.46","15.82","15.98","21.22","5.38","6.66","7.4","6.46","4.29","6.24","1.21","-0.190000000000001","1.14","-1.28","2.54","1.56","2.51","4.81","1.58","5.57","5.23","4.14","4.19","3.08","2.35","1.72","-1.2","-1.52","-0.77","5.02","10.68","9","9.75","13.7","2.95","4.65","6.12","4.58","2.24","3.13","2.97","2.77","2.45","2.13","5.27","3.97","5.32","6.83","7.54","6.24","5.22","3.94","4.16","2.99","1.96","1.55","-0.91","-0.93","-0.25","4.17","8.6","7.41","7.98","11","2.51","3.68","4.77","3.64","2.02","2.71","2.68","2.34","1.44","1.46","3.89","2.83","4.53","7.26","7.89"
"P Tracking Error","9.82","9.29","8.99","9.94","10.34","11.25","12.1","9.07","8.86","15.6","19.35","28.72","26.31","26.43","30.19","7.6","9.38","10.9","8.66","7.98","8.73","4.96","4.6","5.26","6.28","6.44","6.49","8.18","10.34","8.87","7.96","7.55","6.68","7.53","7.9","8.49","8.92","6.95","7.1","11.48","13.78","20.71","19.26","19.26","21.77","6.6","7.29","8.95","6.91","6.35","6.66","6.52","6.32","6.02","7.06","8.39","7.23","8.77","11.3","11.45","9.3","8.26","6.68","7.56","7.35","7.15","7.65","6.47","6.68","10.47","12.16","17.49","16.62","16.74","18.71","7.27","7.69","8.44","6.9","6.99","6.65","6.34","6.26","6.16","6.61","7.43","6.42","7.83","10.8","10.94"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
