"","2016-06-27_to_2018-06-28_VGPortfolio_4QRank","2016-07-27_to_2018-07-28_VGPortfolio_4QRank","2016-08-29_to_2018-08-28_VGPortfolio_4QRank","2016-09-27_to_2018-09-28_VGPortfolio_4QRank","2016-10-27_to_2018-10-28_VGPortfolio_4QRank","2016-11-28_to_2018-11-28_VGPortfolio_4QRank","2016-12-27_to_2018-12-28_VGPortfolio_4QRank","2017-01-27_to_2019-01-28_VGPortfolio_4QRank","2017-02-27_to_2019-02-28_VGPortfolio_4QRank","2017-03-27_to_2019-03-28_VGPortfolio_4QRank","2017-04-27_to_2019-04-28_VGPortfolio_4QRank","2017-05-30_to_2019-05-28_VGPortfolio_4QRank","2017-06-27_to_2019-06-28_VGPortfolio_4QRank","2017-07-27_to_2019-07-28_VGPortfolio_4QRank","2017-08-28_to_2019-08-28_VGPortfolio_4QRank","2017-09-27_to_2019-09-28_VGPortfolio_4QRank","2017-10-27_to_2019-10-28_VGPortfolio_4QRank","2017-11-27_to_2019-11-28_VGPortfolio_4QRank","2017-12-27_to_2019-12-28_VGPortfolio_4QRank","2018-01-29_to_2020-01-28_VGPortfolio_4QRank","2018-02-27_to_2020-02-28_VGPortfolio_4QRank","2018-03-27_to_2020-03-28_VGPortfolio_4QRank","2018-04-27_to_2020-04-28_VGPortfolio_4QRank","2018-05-29_to_2020-05-28_VGPortfolio_4QRank","2018-06-27_to_2020-06-28_VGPortfolio_4QRank","2018-07-27_to_2020-07-28_VGPortfolio_4QRank","2018-08-27_to_2020-08-28_VGPortfolio_4QRank","2018-09-27_to_2020-09-28_VGPortfolio_4QRank","2018-10-29_to_2020-10-28_VGPortfolio_4QRank","2018-11-27_to_2020-11-28_VGPortfolio_4QRank","2018-12-27_to_2020-12-28_VGPortfolio_4QRank","2019-01-28_to_2021-01-28_VGPortfolio_4QRank","2019-02-27_to_2021-02-28_VGPortfolio_4QRank","2019-03-27_to_2021-03-28_VGPortfolio_4QRank","2019-04-29_to_2021-04-28_VGPortfolio_4QRank","2019-05-28_to_2021-05-28_VGPortfolio_4QRank","2019-06-27_to_2021-06-28_VGPortfolio_4QRank","2019-07-29_to_2021-07-28_VGPortfolio_4QRank","2019-08-27_to_2021-08-28_VGPortfolio_4QRank","2019-09-27_to_2021-09-28_VGPortfolio_4QRank","2019-10-28_to_2021-10-28_VGPortfolio_4QRank","2019-11-27_to_2021-11-28_VGPortfolio_4QRank"
"P Alpha Stat","0.57","0.65","0.44","0.45","0.51","0.13","0.16","-0.03","0.14","0.12","0.06","0.14","0.15","0.24","0.36","-0.23","-0.14","-0.1","0.12","0.02","0.17","0.14","-0.16","-0.18","-0.3","-0.19","0.05","0.07","0.18","0.24","0.15","0.11","0.01","0.14","0.31","0.12","0.05","0.03","-0.04","-0.01","0.06","0.18"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.03","1","0.96","0.99","0.96","1.08","1.09","1.04","1.13","1.16","1.19","1.2","1.11","1.15","1.17","1.16","1.16","1.12","1.1","1.04","1.06","1.03","1.13","1.11","1.16","1.18","1.17","1.21","1.2","1.2","1.23","1.18","1.16","1.23","1.24","1.23","1.25","1.25","1.26","1.21","1.22","1.29"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","83.86","81.53","86.55","83.98","78.67","84.71","87.6","92.71","93.99","92.36","92.92","89.95","90.09","91.58","88.92","96.1","95.83","93.63","91.54","93.29","90.67","93.17","93.54","95.56","96.15","95.5","95.85","95.82","94.96","94.07","94.19","93.46","93.8","92.58","94.4","93.61","92.83","93.69","91.97","92.09","90.62","93.06"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.0491","-10.2143","-10.3826","-10.3035","-12.9543","-13.7597","-22.9276","-21.9301","-22.5093","-23.5244","-23.5059","-23.1039","-22.8349","-22.8935","-23.7339","-22.9627","-22.9642","-22.9601","-22.1646","-20.7557","-21.4922","-37.8272","-38.4915","-38.2285","-39.0323","-39.3912","-38.5214","-38.9731","-39.1814","-38.7636","-39.4468","-39.64","-39.2827","-40.8791","-38.8188","-39.5304","-39.1621","-39.2898","-41.0637","-40.1578","-40.5821","-41.2791"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.1104","-0.0548000000000002","-0.223100000000001","-0.144","-2.7948","-3.5852","-3.1494","-2.1519","-2.7311","-3.7462","-3.7277","-3.3257","-3.0567","-3.1153","-3.9557","-3.1845","-3.186","-3.1819","-2.3864","-0.977500000000003","-1.714","-3.9022","-4.5665","-4.3035","-5.1073","-5.4662","-4.5964","-5.04810000000001","-5.2564","-4.8386","-5.52180000000001","-5.715","-5.3577","-6.9541","-4.89380000000001","-5.6054","-5.23710000000001","-5.3648","-7.1387","-6.2328","-6.6571","-7.3541"
