"","1 Y 2015-09-25 to 2017-09-26","1 Y 2015-10-26 to 2017-10-26","1 Y 2015-11-25 to 2017-11-26","1 Y 2015-12-28 to 2017-12-26","1 Y 2016-01-25 to 2018-01-26","1 Y 2016-02-25 to 2018-02-26","1 Y 2016-03-28 to 2018-03-26","1 Y 2016-04-25 to 2018-04-26","1 Y 2016-05-25 to 2018-05-26","1 Y 2016-06-27 to 2018-06-26","1 Y 2016-07-25 to 2018-07-26","1 Y 2016-08-25 to 2018-08-26","1 Y 2016-09-26 to 2018-09-26","1 Y 2016-10-25 to 2018-10-26","1 Y 2016-11-25 to 2018-11-26","1 Y 2016-12-27 to 2018-12-26","1 Y 2017-01-25 to 2019-01-26","1 Y 2017-02-27 to 2019-02-26","1 Y 2017-03-27 to 2019-03-26","1 Y 2017-04-25 to 2019-04-26","1 Y 2017-05-25 to 2019-05-26","1 Y 2017-06-26 to 2019-06-26","1 Y 2017-07-25 to 2019-07-26","1 Y 2017-08-25 to 2019-08-26","1 Y 2017-09-25 to 2019-09-26","1 Y 2017-10-25 to 2019-10-26","1 Y 2017-11-27 to 2019-11-26","1 Y 2017-12-26 to 2019-12-26","1 Y 2018-01-25 to 2020-01-26","1 Y 2018-02-26 to 2020-02-26","1 Y 2018-03-26 to 2020-03-26","1 Y 2018-04-25 to 2020-04-26","1 Y 2018-05-25 to 2020-05-26","1 Y 2018-06-25 to 2020-06-26","1 Y 2018-07-25 to 2020-07-26","1 Y 2018-08-27 to 2020-08-26","1 Y 2018-09-25 to 2020-09-26","1 Y 2018-10-25 to 2020-10-26","1 Y 2018-11-26 to 2020-11-26","1 Y 2018-12-26 to 2020-12-26","1 Y 2019-01-25 to 2021-01-26","1 Y 2019-02-25 to 2021-02-26","1 Y 2019-03-25 to 2021-03-26","1 Y 2019-04-25 to 2021-04-26","1 Y 2019-05-28 to 2021-05-26","1 Y 2019-06-25 to 2021-06-26","1 Y 2019-07-25 to 2021-07-26","1 Y 2019-08-26 to 2021-08-26","1 Y 2019-09-25 to 2021-09-26","1 Y 2019-10-25 to 2021-10-26","1 Y 2019-11-25 to 2021-11-26","2 Y 2015-09-25 to 2017-09-26","2 Y 2015-10-26 to 2017-10-26","2 Y 2015-11-25 to 2017-11-26","2 Y 2015-12-28 to 2017-12-26","2 Y 2016-01-25 to 2018-01-26","2 Y 2016-02-25 to 2018-02-26","2 Y 2016-03-28 to 2018-03-26","2 Y 2016-04-25 to 2018-04-26","2 Y 2016-05-25 to 2018-05-26","2 Y 2016-06-27 to 2018-06-26","2 Y 2016-07-25 to 2018-07-26","2 Y 2016-08-25 to 2018-08-26","2 Y 2016-09-26 to 2018-09-26","2 Y 2016-10-25 to 2018-10-26","2 Y 2016-11-25 to 2018-11-26","2 Y 2016-12-27 to 2018-12-26","2 Y 2017-01-25 to 2019-01-26","2 Y 2017-02-27 to 2019-02-26","2 Y 2017-03-27 to 2019-03-26","2 Y 2017-04-25 to 2019-04-26","2 Y 2017-05-25 to 2019-05-26","2 Y 2017-06-26 to 2019-06-26","2 Y 2017-07-25 to 2019-07-26","2 Y 2017-08-25 to 2019-08-26","2 Y 2017-09-25 to 2019-09-26","2 Y 2017-10-25 to 2019-10-26","2 Y 2017-11-27 to 2019-11-26","2 Y 2017-12-26 to 2019-12-26","2 Y 2018-01-25 to 2020-01-26","2 Y 2018-02-26 to 2020-02-26","2 Y 2018-03-26 to 2020-03-26","2 Y 2018-04-25 to 2020-04-26","2 Y 2018-05-25 to 2020-05-26","2 Y 2018-06-25 to 2020-06-26","2 Y 2018-07-25 to 2020-07-26","2 Y 2018-08-27 to 2020-08-26","2 Y 2018-09-25 to 2020-09-26","2 Y 2018-10-25 to 2020-10-26","2 Y 2018-11-26 to 2020-11-26","2 Y 2018-12-26 to 2020-12-26","2 Y 2019-01-25 to 2021-01-26","2 Y 2019-02-25 to 2021-02-26","2 Y 2019-03-25 to 2021-03-26","2 Y 2019-04-25 to 2021-04-26","2 Y 2019-05-28 to 2021-05-26","2 Y 2019-06-25 to 2021-06-26","2 Y 2019-07-25 to 2021-07-26","2 Y 2019-08-26 to 2021-08-26","2 Y 2019-09-25 to 2021-09-26","2 Y 2019-10-25 to 2021-10-26","2 Y 2019-11-25 to 2021-11-26"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.809","27.676","22.51","23.927","27.646","16.685","15.543","16.123","17.537","19.94","19.413","25.471","22.835","3.35","2.572","-9.916","-4.159","6.634","9.133","11.607","3.852","5.802","9.411","5.185","3.92","18.569","16.618","35.251","27.204","7.736","-8.189","-4.81","4.248","-1.752","4.323","21.307","14.201","18.557","24.759","23.034","28.898","43.912","75.872","73.253","56.745","65.611","56.538","52.999","58.142","54.867","38.162","20.002","16.555","16.794","20.437","31.938","24.291","17.604","17.335","19.106","23.084","20.064","20.451","21.096","13.397","11.914","4.721","8.791","11.404","12.301","13.438","12.195","13.721","15.713","14.296","11.31","12.27","9.57","11.058","10.488","6.902","-0.294","1.967","2.63","2.495","4.596","9.724","8.792","18.221","20.133","25.666","25.688","22.58","25.992","25.52","29.021","29.598","27.617","34.343","29.331","30.52","28.99"
"B Annualized Returns","16.383","19.317","18.236","18.515","23.533","14.438","12.572","10.499","13.449","11.431","14.894","16.896","16.778","5.804","2.314","-7.906","-6.88","0.596","5.274","10.865","3.254","7.372","5.537","2.136","2.377","13.335","17.265","30.379","26.029","11.877","-12.166","-4.422","3.229","5.834","7.157","19.637","8.768","14.943","16.012","14.412","18.916","22.877","57.925","47.714","40.118","39.87","33.317","30.566","37.445","34.379","31.113","15.23","11.114","11.909","14.381","22.127","17.757","14.044","12.437","14.249","16.589","14.563","14.72","16.581","12.358","9.652","4.326","7.232","8.649","9.346","10.682","8.125","9.38","10.116","9.436","9.341","8.511","9.782","9.712","8.249","6.094","-3.503","2.961","4.744","6.417","6.634","9.045","5.524","13.017","16.636","22.351","20.82","17.073","17.776","18.93","22.317","20.931","20.646","24.982","22.12","22.642","22.381"
"AR DIFF(P-B)","5.426","8.359","4.274","5.412","4.113","2.247","2.971","5.624","4.088","8.509","4.519","8.575","6.057","-2.454","0.258","-2.01","2.721","6.038","3.859","0.741999999999999","0.598","-1.57","3.874","3.049","1.543","5.234","-0.647000000000002","4.872","1.175","-4.141","3.977","-0.388","1.019","-7.586","-2.834","1.67","5.433","3.614","8.747","8.622","9.982","21.035","17.947","25.539","16.627","25.741","23.221","22.433","20.697","20.488","7.049","4.772","5.441","4.885","6.056","9.811","6.534","3.56","4.898","4.857","6.495","5.501","5.731","4.515","1.039","2.262","0.395","1.559","2.755","2.955","2.756","4.07","4.341","5.597","4.86","1.969","3.759","-0.212","1.346","2.239","0.808","3.209","-0.994","-2.114","-3.922","-2.038","0.679","3.268","5.204","3.497","3.315","4.868","5.507","8.216","6.59","6.704","8.667","6.971","9.361","7.211","7.878","6.609"
"P Volatility","9.61","7.41","5.7","5.97","6.29","6.71","8.45","8.73","8.37","9.26","9.17","9.16","9.41","8.87","12.33","12.36","15.4","19.69","21.22","21.38","21.4","22.18","23.11","23","22.78","20.58","20.7","15.56","10.82","10.14","13.01","26.02","32.33","34.39","35.14","34.28","34.67","33.98","35.46","38.66","37.72","36.06","22.1","18.57","16.84","18.26","18.65","18.83","14.77","16.58","9.09","11.27","10.37","10.36","9.97","8.43","8.59","9.04","8.81","8.84","9.17","8.82","9","9.08","8.38","9.77","9.57","12.5","14.6","15.48","15.62","15.95","16.41","16.9","16.88","16.65","16.25","16.18","15.86","15.27","14.16","15.67","22.31","26.27","27.99","28.16","27.55","28.03","26.59","27.65","28.08","27.23","27.22","27.01","27.09","26.69","27.79","28.22","28.59","26.2","27.36","26.23"
"B Volatility","5.14","4.31","3.95","4.11","4.11","5.1","7.64","9.44","9.48","9.54","9.48","9.84","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","10.9","9.25","9.28","9.27","6","6.51","6.6","7.61","7.62","7.62","7.45","7.65","7.59","7.39","9.37","9.32","11.77","13","13.1","13.1","13.39","14.14","14.43","14.43","14.56","14.52","14.47","14.59","14.29","13.9","15.36","18.32","20.44","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","19.77"
"V DIFF(P-B)","4.47","3.1","1.75","1.86","2.18","1.61","0.81","-0.709999999999999","-1.11","-0.279999999999999","-0.31","-0.68","-0.609999999999999","-1.08","-0.49","-0.41","0.66","2.27","4.24","4.43","4","3.6","4.23","4.26","3.9","3.53","3.61","3","0.630000000000001","0.0500000000000007","-2.18","5.87","8.38","10.6","11.32","10.28","9.68","8.31","9.78","11.44","10.45","11.72","5.44","5.42","3.34","4.32","4.86","6.37","4.47","4.32","-1.56","0.369999999999999","1.12","1.08","0.700000000000001","2.43","2.08","2.44","1.2","1.22","1.55","1.37","1.35","1.49","0.990000000000001","0.4","0.25","0.73","1.6","2.38","2.52","2.56","2.27","2.47","2.45","2.09","1.73","1.71","1.27","0.98","0.26","0.31","3.99","5.83","7.39","7.64","6.89","6.73","5.8","6.77","7.81","7.6","7.62","7.41","7.55","7.59","8.76","9.19","9.74","7.35","7.89","6.46"
"P Tracking Error","5.1","3.89","3.13","3.56","3.41","3.28","1.98","4.87","4.65","5.68","5.43","6.32","5.98","5.57","6.1","6.18","6.19","6.34","6.38","6.4","6.39","6.27","5.87","5.85","5.66","6.94","6.1","5.68","5.13","4.88","6.27","10.09","11.43","14.37","14.9","14.17","13.72","13.62","14.25","15.54","14.31","13.99","9.35","9.06","8.31","8.8","9.4","10.31","8.15","8.44","5.36","4.91","4.67","4.45","4.09","4.59","4.32","4.03","4.73","4.76","5.16","4.93","5.59","5.35","5.11","4.93","4.8","4.76","4.78","5.45","5.56","6.21","6.09","6.22","5.92","5.87","6.28","5.54","5.57","5.84","5.48","5.43","7.6","8.57","10.55","10.73","10.31","10.23","9.94","10.48","11.24","11.05","10.78","10.68","10.4","11.15","12.1","12.4","12.93","11.09","11.54","10.54"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
