"","2016-12-28_to_2018-12-29_VGPortfolio_6QRank","2017-01-30_to_2019-01-29_VGPortfolio_6QRank","2017-02-28_to_2019-03-01_VGPortfolio_6QRank","2017-03-28_to_2019-03-29_VGPortfolio_6QRank","2017-04-28_to_2019-04-29_VGPortfolio_6QRank","2017-05-30_to_2019-05-29_VGPortfolio_6QRank","2017-06-28_to_2019-06-29_VGPortfolio_6QRank","2017-07-28_to_2019-07-29_VGPortfolio_6QRank","2017-08-28_to_2019-08-29_VGPortfolio_6QRank","2017-09-28_to_2019-09-29_VGPortfolio_6QRank","2017-10-30_to_2019-10-29_VGPortfolio_6QRank","2017-11-28_to_2019-11-29_VGPortfolio_6QRank","2017-12-28_to_2019-12-29_VGPortfolio_6QRank","2018-01-29_to_2020-01-29_VGPortfolio_6QRank","2018-02-28_to_2020-02-29_VGPortfolio_6QRank","2018-03-28_to_2020-03-29_VGPortfolio_6QRank","2018-04-30_to_2020-04-29_VGPortfolio_6QRank","2018-05-29_to_2020-05-29_VGPortfolio_6QRank","2018-06-28_to_2020-06-29_VGPortfolio_6QRank","2018-07-30_to_2020-07-29_VGPortfolio_6QRank","2018-08-28_to_2020-08-29_VGPortfolio_6QRank","2018-09-28_to_2020-09-29_VGPortfolio_6QRank","2018-10-29_to_2020-10-29_VGPortfolio_6QRank","2018-11-28_to_2020-11-29_VGPortfolio_6QRank","2018-12-28_to_2020-12-29_VGPortfolio_6QRank","2019-01-28_to_2021-01-29_VGPortfolio_6QRank","2019-02-28_to_2021-03-01_VGPortfolio_6QRank","2019-03-28_to_2021-03-29_VGPortfolio_6QRank","2019-04-29_to_2021-04-29_VGPortfolio_6QRank","2019-05-28_to_2021-05-29_VGPortfolio_6QRank","2019-06-28_to_2021-06-29_VGPortfolio_6QRank","2019-07-29_to_2021-07-29_VGPortfolio_6QRank","2019-08-28_to_2021-08-29_VGPortfolio_6QRank","2019-09-30_to_2021-09-29_VGPortfolio_6QRank","2019-10-28_to_2021-10-29_VGPortfolio_6QRank","2019-11-29_to_2021-11-29_VGPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.96","1.06","1.24","0.83","0.7","0.95","1.07","1.12","1.36","0.54","0.67","-0.1","-0.16","0.05","0.56","-0.78","0.14","0.2","-0.16","0.03","-0.13","0.4","0.78","0.62","0.78","0.82","0.47","0.58","0.91","1.02","1.03","0.71","0.98","0.61","0.5","0.59"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.32","0.16","0.28","0.22","0.17","0.21","0.32","0.34","0.52","0.21","0.16","-0.15","-0.1","-0.03","0.03","-0.01","-0.05","-0.03","-0.08","-0.1","-0.06","0.03","0.1","0.1","0.03","0.15","0","0.2","0.31","0.14","0.16","0.06","0.11","0","0.02","0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.04","1.11","1.19","1.2","1.19","1.16","1.13","1.1","1.11","1.15","1.16","1.16","1.11","1.08","1.1","1.03","1.08","1.13","1.16","1.19","1.19","1.2","1.2","1.14","1.2","1.17","1.2","1.29","1.22","1.27","1.26","1.26","1.25","1.2","1.23","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.26","91.94","94.51","92.83","91.77","88.68","90.51","91.83","90.3","92.66","91.33","93.68","94.62","94.32","92.27","93.85","93.13","96.25","96.12","96.38","96.01","95.9","94.85","94.89","94.18","94.4","94.55","94.58","94.91","93.98","94.03","93.94","92.33","90.44","90.68","90.73"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.9101","-23.0517","-23.2563","-23.5019","-23.0497","-23.0173","-22.9835","-22.2656","-22.6361","-22.7423","-22.7939","-23.1285","-22.0322","-21.1677","-22.147","-39.0266","-37.7668","-37.9124","-38.2719","-38.5177","-38.7142","-39.0514","-39.629","-38.2677","-38.858","-38.0628","-38.3292","-40.566","-38.1769","-39.6937","-39.3693","-40.2989","-41.3333","-40.5052","-40.5694","-40.6322"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.1319","-3.2735","-3.4781","-3.7237","-3.2715","-3.2391","-3.2053","-2.4874","-2.8579","-2.9641","-3.0157","-3.3503","-2.254","-1.3895","-2.3688","-5.1016","-3.84180000000001","-3.9874","-4.34690000000001","-4.5927","-4.7892","-5.1264","-5.704","-4.3427","-4.933","-4.13780000000001","-4.4042","-6.64100000000001","-4.25190000000001","-5.7687","-5.44430000000001","-6.37390000000001","-7.4083","-6.5802","-6.6444","-6.7072"
