"","2017-07-11_to_2019-07-12_ALLPortfolio_4QRank","2017-08-11_to_2019-08-12_ALLPortfolio_4QRank","2017-09-11_to_2019-09-12_ALLPortfolio_4QRank","2017-10-11_to_2019-10-12_ALLPortfolio_4QRank","2017-11-13_to_2019-11-12_ALLPortfolio_4QRank","2017-12-11_to_2019-12-12_ALLPortfolio_4QRank","2018-01-11_to_2020-01-12_ALLPortfolio_4QRank","2018-02-12_to_2020-02-12_ALLPortfolio_4QRank","2018-03-12_to_2020-03-12_ALLPortfolio_4QRank","2018-04-11_to_2020-04-12_ALLPortfolio_4QRank","2018-05-11_to_2020-05-12_ALLPortfolio_4QRank","2018-06-11_to_2020-06-12_ALLPortfolio_4QRank","2018-07-11_to_2020-07-12_ALLPortfolio_4QRank","2018-08-13_to_2020-08-12_ALLPortfolio_4QRank","2018-09-11_to_2020-09-12_ALLPortfolio_4QRank","2018-10-11_to_2020-10-12_ALLPortfolio_4QRank","2018-11-12_to_2020-11-12_ALLPortfolio_4QRank","2018-12-11_to_2020-12-12_ALLPortfolio_4QRank","2019-01-11_to_2021-01-12_ALLPortfolio_4QRank","2019-02-11_to_2021-02-12_ALLPortfolio_4QRank","2019-03-11_to_2021-03-12_ALLPortfolio_4QRank","2019-04-11_to_2021-04-12_ALLPortfolio_4QRank","2019-05-13_to_2021-05-12_ALLPortfolio_4QRank","2019-06-11_to_2021-06-12_ALLPortfolio_4QRank","2019-07-11_to_2021-07-12_ALLPortfolio_4QRank","2019-08-12_to_2021-08-12_ALLPortfolio_4QRank","2019-09-11_to_2021-09-12_ALLPortfolio_4QRank"
"P Information Ratio","0.73","1.02","0.52","0.03","0.28","0.37","0.39","0.63","0.11","-0.02","-0.27","-0.05","-0.74","-0.18","0.02","0.56","0.43","0.67","0.97","0.64","0.58","0.54","0.54","0.56","0.63","0.37","0.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.2","0.36","0.16","-0.05","-0.01","0.03","0.13","0.15","0.1","-0.04","-0.21","-0.04","-0.24","-0.15","-0.04","0.05","0.12","0.09","0.07","-0.23","0.04","0.19","0.09","0","0.05","-0.11","-0.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.11","1.13","1.15","1.15","1.12","1.11","1.06","1.07","1.04","1.12","1.13","1.1","1.16","1.17","1.19","1.19","1.17","1.2","1.18","1.17","1.12","1.21","1.19","1.21","1.21","1.23","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.94","90.47","93.51","96.34","93.97","94.02","93.66","92.35","94.85","95.34","96.33","96","97.13","96.95","96.83","96.25","95.23","95.01","94.54","94","91.47","93.5","92.72","92.62","92.32","91.32","88.93"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.7118","-22.5032","-22.6705","-22.5595","-21.9354","-22.1451","-20.7866","-21.1806","-29.1277","-37.9105","-38.301","-37.8805","-38.7125","-38.4593","-38.5576","-38.9763","-38.8903","-39.2216","-39.2724","-39.5047","-38.9704","-39.9438","-39.1377","-39.5294","-39.0757","-40.4908","-40.0526"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.9336","-2.725","-2.8923","-2.7813","-2.1572","-2.3669","-1.0084","-1.4024","-2.3861","-3.9855","-4.376","-3.9555","-4.7875","-4.5343","-4.6326","-5.0513","-4.96530000000001","-5.29660000000001","-5.3474","-5.5797","-5.0454","-6.01880000000001","-5.21270000000001","-5.60440000000001","-5.1507","-6.5658","-6.1276"
